building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,kitchen,bilayout__fg_extended__regions,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,bilayout__fg_extended__regions,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,bilayout__fg_extended__regions,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,bilayout__fg_extended__regions,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,bilayout__fg_extended__regions,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,bilayout__fg_extended__regions,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,bilayout__fg_extended__regions,global,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,bilayout__fg_extended__regions,global,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,bilayout__fg_extended__regions,coarse,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,bilayout__fg_extended__regions,coarse,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,bilayout__fg_extended__regions,main,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,bilayout__fg_extended__regions,main,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,bilayout__fg_extended__regions,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,bilayout__fg_extended__regions,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,bilayout__fg_extended__regions,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,bilayout__fg_extended__regions,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,bilayout__fg_extended__regions,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,bilayout__fg_extended__regions,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,sleep,bilayout__fg_extended__regions,global,3,0.0995078757405281,29,"[19, 10, 0]",ridge,0,0.1,0
S9hNv5qa7GM,sleep,bilayout__fg_extended__regions,global,6,0.158620223402977,29,"[19, 10, 0]",knn,0,0.0,5
S9hNv5qa7GM,sleep,bilayout__fg_extended__regions,coarse,3,0.09872787445783615,29,"[19, 10, 0]",ridge,0,0.1,0
S9hNv5qa7GM,sleep,bilayout__fg_extended__regions,coarse,6,0.15833508968353271,29,"[19, 10, 0]",knn,0,0.0,5
S9hNv5qa7GM,sleep,bilayout__fg_extended__regions,main,3,0.0995078757405281,29,"[19, 10, 0]",ridge,0,0.1,0
S9hNv5qa7GM,sleep,bilayout__fg_extended__regions,main,6,0.158620223402977,29,"[19, 10, 0]",knn,0,0.0,5
VFuaQ6m2Qom,bathroom,bilayout__fg_extended__regions,global,3,0.05490057170391083,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,bilayout__fg_extended__regions,global,5,0.09722231328487396,16,"[0, 6, 10]",knn,0,0.0,3
VFuaQ6m2Qom,bathroom,bilayout__fg_extended__regions,coarse,3,0.05490057170391083,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,bilayout__fg_extended__regions,coarse,5,0.09722231328487396,16,"[0, 6, 10]",knn,0,0.0,3
VFuaQ6m2Qom,bathroom,bilayout__fg_extended__regions,main,3,0.05490057170391083,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,bilayout__fg_extended__regions,main,5,0.09722231328487396,16,"[0, 6, 10]",knn,0,0.0,3
Z6MFQCViBuw,dining,bilayout__fg_extended__regions,global,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,bilayout__fg_extended__regions,global,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,bilayout__fg_extended__regions,coarse,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,bilayout__fg_extended__regions,coarse,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,bilayout__fg_extended__regions,main,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,bilayout__fg_extended__regions,main,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,sleep,bilayout__fg_extended__regions,global,3,0.110936738550663,27,"[17, 10, 0]",ridge,0,0.1,0
e9zR4mvMWw7,sleep,bilayout__fg_extended__regions,global,13,0.1851845383644104,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,sleep,bilayout__fg_extended__regions,coarse,3,0.110936738550663,27,"[17, 10, 0]",ridge,0,0.1,0
e9zR4mvMWw7,sleep,bilayout__fg_extended__regions,coarse,13,0.1851845383644104,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,sleep,bilayout__fg_extended__regions,main,3,0.110936738550663,27,"[17, 10, 0]",ridge,0,0.1,0
e9zR4mvMWw7,sleep,bilayout__fg_extended__regions,main,13,0.1851845383644104,27,"[17, 10, 0]",knn,16,0.0,5
jtcxE69GiFV,sleep,bilayout__fg_extended__regions,global,7,0.1009136214852333,29,"[24, 5, 0]",ridge,16,100.0,0
jtcxE69GiFV,sleep,bilayout__fg_extended__regions,global,5,0.0938694030046463,29,"[24, 5, 0]",knn,0,0.0,3
