building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,kitchen,da3__layer5__faces_local16,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,da3__layer5__faces_local16,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,da3__layer5__faces_local16,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,da3__layer5__faces_local16,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,da3__layer5__faces_local16,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,da3__layer5__faces_local16,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,da3__layer5__faces_local16,global,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,da3__layer5__faces_local16,global,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,da3__layer5__faces_local16,coarse,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,da3__layer5__faces_local16,coarse,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,da3__layer5__faces_local16,main,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,da3__layer5__faces_local16,main,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,da3__layer5__faces_local16,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,da3__layer5__faces_local16,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,da3__layer5__faces_local16,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,da3__layer5__faces_local16,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,da3__layer5__faces_local16,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,da3__layer5__faces_local16,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,sleep,da3__layer5__faces_local16,global,3,0.18180589377880096,29,"[19, 10, 0]",ridge,0,0.1,0
S9hNv5qa7GM,sleep,da3__layer5__faces_local16,global,5,0.19731782376766205,29,"[19, 10, 0]",knn,0,0.0,3
S9hNv5qa7GM,sleep,da3__layer5__faces_local16,coarse,3,0.18177174031734467,29,"[19, 10, 0]",ridge,0,0.1,0
S9hNv5qa7GM,sleep,da3__layer5__faces_local16,coarse,5,0.19760023057460785,29,"[19, 10, 0]",knn,0,0.0,3
S9hNv5qa7GM,sleep,da3__layer5__faces_local16,main,3,0.18180589377880096,29,"[19, 10, 0]",ridge,0,0.1,0
S9hNv5qa7GM,sleep,da3__layer5__faces_local16,main,5,0.19731782376766205,29,"[19, 10, 0]",knn,0,0.0,3
VFuaQ6m2Qom,bathroom,da3__layer5__faces_local16,global,0,0.16653314232826233,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,bathroom,da3__layer5__faces_local16,global,6,0.18999981880187988,16,"[0, 6, 10]",knn,0,0.0,5
VFuaQ6m2Qom,bathroom,da3__layer5__faces_local16,coarse,0,0.16653314232826233,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,bathroom,da3__layer5__faces_local16,coarse,6,0.18999981880187988,16,"[0, 6, 10]",knn,0,0.0,5
VFuaQ6m2Qom,bathroom,da3__layer5__faces_local16,main,0,0.16653314232826233,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,bathroom,da3__layer5__faces_local16,main,6,0.18999981880187988,16,"[0, 6, 10]",knn,0,0.0,5
Z6MFQCViBuw,dining,da3__layer5__faces_local16,global,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,da3__layer5__faces_local16,global,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,da3__layer5__faces_local16,coarse,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,da3__layer5__faces_local16,coarse,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,da3__layer5__faces_local16,main,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,da3__layer5__faces_local16,main,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,sleep,da3__layer5__faces_local16,global,3,0.17247918248176575,27,"[17, 10, 0]",ridge,0,0.1,0
e9zR4mvMWw7,sleep,da3__layer5__faces_local16,global,13,0.17999988794326782,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,sleep,da3__layer5__faces_local16,coarse,3,0.17247918248176575,27,"[17, 10, 0]",ridge,0,0.1,0
e9zR4mvMWw7,sleep,da3__layer5__faces_local16,coarse,13,0.17999988794326782,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,sleep,da3__layer5__faces_local16,main,3,0.17247918248176575,27,"[17, 10, 0]",ridge,0,0.1,0
e9zR4mvMWw7,sleep,da3__layer5__faces_local16,main,13,0.17999988794326782,27,"[17, 10, 0]",knn,16,0.0,5
jtcxE69GiFV,sleep,da3__layer5__faces_local16,global,0,0.10282856225967407,29,"[24, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,sleep,da3__layer5__faces_local16,global,5,0.130267933011055,29,"[24, 5, 0]",knn,0,0.0,3
jtcxE69GiFV,sleep,da3__layer5__faces_local16,coarse,0,0.10340061038732529,29,"[24, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,sleep,da3__layer5__faces_local16,coarse,5,0.1308518499135971,29,"[24, 5, 0]",knn,0,0.0,3
jtcxE69GiFV,sleep,da3__layer5__faces_local16,main,0,0.10282856225967407,29,"[24, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,sleep,da3__layer5__faces_local16,main,5,0.130267933011055,29,"[24, 5, 0]",knn,0,0.0,3
pa4otMbVnkk,living,da3__layer5__faces_local16,global,0,1.013364956184426e-12,15,"[0, 15, 0]",ridge,0,100.0,0
pa4otMbVnkk,living,da3__layer5__faces_local16,global,4,1.013364956184426e-12,15,"[0, 15, 0]",knn,0,0.0,1
pa4otMbVnkk,living,da3__layer5__faces_local16,coarse,0,0.0022423735354095697,15,"[0, 15, 0]",ridge,0,100.0,0
pa4otMbVnkk,living,da3__layer5__faces_local16,coarse,4,0.0022423735354095697,15,"[0, 15, 0]",knn,0,0.0,1
pa4otMbVnkk,living,da3__layer5__faces_local16,main,0,1.013364956184426e-12,15,"[0, 15, 0]",ridge,0,100.0,0
pa4otMbVnkk,living,da3__layer5__faces_local16,main,4,1.013364956184426e-12,15,"[0, 15, 0]",knn,0,0.0,1
rPc6DW4iMge,sleep,da3__layer5__faces_local16,global,3,0.1572825312614441,31,"[21, 10, 0]",ridge,0,0.1,0
rPc6DW4iMge,sleep,da3__layer5__faces_local16,global,5,0.15591377019882202,31,"[21, 10, 0]",knn,0,0.0,3
rPc6DW4iMge,sleep,da3__layer5__faces_local16,coarse,3,0.15709617733955383,31,"[21, 10, 0]",ridge,0,0.1,0
rPc6DW4iMge,sleep,da3__layer5__faces_local16,coarse,5,0.1562025249004364,31,"[21, 10, 0]",knn,0,0.0,3
rPc6DW4iMge,sleep,da3__layer5__faces_local16,main,3,0.1572825312614441,31,"[21, 10, 0]",ridge,0,0.1,0
rPc6DW4iMge,sleep,da3__layer5__faces_local16,main,5,0.15591377019882202,31,"[21, 10, 0]",knn,0,0.0,3
uNb9QFRL6hY,bathroom,da3__layer5__faces_local16,global,0,0.25903433561325073,11,"[0, 3, 8]",ridge,0,100.0,0
uNb9QFRL6hY,bathroom,da3__layer5__faces_local16,global,6,0.2345450520515442,11,"[0, 3, 8]",knn,0,0.0,5
uNb9QFRL6hY,bathroom,da3__layer5__faces_local16,coarse,0,0.25903433561325073,11,"[0, 3, 8]",ridge,0,100.0,0
uNb9QFRL6hY,bathroom,da3__layer5__faces_local16,coarse,6,0.2345450520515442,11,"[0, 3, 8]",knn,0,0.0,5
uNb9QFRL6hY,bathroom,da3__layer5__faces_local16,main,0,0.25903433561325073,11,"[0, 3, 8]",ridge,0,100.0,0
