building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,kitchen,da3__layer9__faces_concat,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,da3__layer9__faces_concat,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,da3__layer9__faces_concat,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,da3__layer9__faces_concat,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,da3__layer9__faces_concat,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,da3__layer9__faces_concat,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,da3__layer9__faces_concat,global,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,da3__layer9__faces_concat,global,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,da3__layer9__faces_concat,coarse,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,da3__layer9__faces_concat,coarse,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,da3__layer9__faces_concat,main,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,da3__layer9__faces_concat,main,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,da3__layer9__faces_concat,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,da3__layer9__faces_concat,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,da3__layer9__faces_concat,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,da3__layer9__faces_concat,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,da3__layer9__faces_concat,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,da3__layer9__faces_concat,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,sleep,da3__layer9__faces_concat,global,0,0.24885031580924988,29,"[19, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,sleep,da3__layer9__faces_concat,global,6,0.21793067455291748,29,"[19, 10, 0]",knn,0,0.0,5
S9hNv5qa7GM,sleep,da3__layer9__faces_concat,coarse,0,0.2492348551750183,29,"[19, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,sleep,da3__layer9__faces_concat,coarse,6,0.2176235169172287,29,"[19, 10, 0]",knn,0,0.0,5
S9hNv5qa7GM,sleep,da3__layer9__faces_concat,main,0,0.24885031580924988,29,"[19, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,sleep,da3__layer9__faces_concat,main,6,0.21793067455291748,29,"[19, 10, 0]",knn,0,0.0,5
VFuaQ6m2Qom,bathroom,da3__layer9__faces_concat,global,3,0.12768280506134033,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,da3__layer9__faces_concat,global,5,0.14930561184883118,16,"[0, 6, 10]",knn,0,0.0,3
VFuaQ6m2Qom,bathroom,da3__layer9__faces_concat,coarse,3,0.12768280506134033,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,da3__layer9__faces_concat,coarse,5,0.14930561184883118,16,"[0, 6, 10]",knn,0,0.0,3
VFuaQ6m2Qom,bathroom,da3__layer9__faces_concat,main,3,0.12768280506134033,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,da3__layer9__faces_concat,main,5,0.14930561184883118,16,"[0, 6, 10]",knn,0,0.0,3
Z6MFQCViBuw,dining,da3__layer9__faces_concat,global,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,da3__layer9__faces_concat,global,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,da3__layer9__faces_concat,coarse,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,da3__layer9__faces_concat,coarse,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,da3__layer9__faces_concat,main,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,da3__layer9__faces_concat,main,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,sleep,da3__layer9__faces_concat,global,7,0.20269377529621124,27,"[17, 10, 0]",ridge,16,100.0,0
e9zR4mvMWw7,sleep,da3__layer9__faces_concat,global,13,0.19407369196414948,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,sleep,da3__layer9__faces_concat,coarse,7,0.20269377529621124,27,"[17, 10, 0]",ridge,16,100.0,0
e9zR4mvMWw7,sleep,da3__layer9__faces_concat,coarse,13,0.19407369196414948,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,sleep,da3__layer9__faces_concat,main,7,0.20269377529621124,27,"[17, 10, 0]",ridge,16,100.0,0
e9zR4mvMWw7,sleep,da3__layer9__faces_concat,main,13,0.19407369196414948,27,"[17, 10, 0]",knn,16,0.0,5
jtcxE69GiFV,sleep,da3__layer9__faces_concat,global,7,0.12683261930942535,29,"[24, 5, 0]",ridge,16,100.0,0
jtcxE69GiFV,sleep,da3__layer9__faces_concat,global,13,0.10896526277065277,29,"[24, 5, 0]",knn,16,0.0,5
jtcxE69GiFV,sleep,da3__layer9__faces_concat,coarse,7,0.1271672397851944,29,"[24, 5, 0]",ridge,16,100.0,0
jtcxE69GiFV,sleep,da3__layer9__faces_concat,coarse,13,0.10932434350252151,29,"[24, 5, 0]",knn,16,0.0,5
jtcxE69GiFV,sleep,da3__layer9__faces_concat,main,7,0.12683261930942535,29,"[24, 5, 0]",ridge,16,100.0,0
jtcxE69GiFV,sleep,da3__layer9__faces_concat,main,13,0.10896526277065277,29,"[24, 5, 0]",knn,16,0.0,5
pa4otMbVnkk,living,da3__layer9__faces_concat,global,0,1.013364956184426e-12,15,"[0, 15, 0]",ridge,0,100.0,0
pa4otMbVnkk,living,da3__layer9__faces_concat,global,4,1.013364956184426e-12,15,"[0, 15, 0]",knn,0,0.0,1
