building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,kitchen,dinov3__block11__faces_local96,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,dinov3__block11__faces_local96,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,dinov3__block11__faces_local96,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,dinov3__block11__faces_local96,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,dinov3__block11__faces_local96,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,dinov3__block11__faces_local96,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,dinov3__block11__faces_local96,global,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,dinov3__block11__faces_local96,global,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,dinov3__block11__faces_local96,coarse,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,dinov3__block11__faces_local96,coarse,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,dinov3__block11__faces_local96,main,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,dinov3__block11__faces_local96,main,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,dinov3__block11__faces_local96,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,dinov3__block11__faces_local96,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,dinov3__block11__faces_local96,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,dinov3__block11__faces_local96,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,dinov3__block11__faces_local96,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,dinov3__block11__faces_local96,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,sleep,dinov3__block11__faces_local96,global,7,0.17669349908828735,29,"[19, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,sleep,dinov3__block11__faces_local96,global,13,0.18965499103069305,29,"[19, 10, 0]",knn,16,0.0,5
S9hNv5qa7GM,sleep,dinov3__block11__faces_local96,coarse,7,0.17663748562335968,29,"[19, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,sleep,dinov3__block11__faces_local96,coarse,13,0.18990997970104218,29,"[19, 10, 0]",knn,16,0.0,5
S9hNv5qa7GM,sleep,dinov3__block11__faces_local96,main,7,0.17669349908828735,29,"[19, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,sleep,dinov3__block11__faces_local96,main,13,0.18965499103069305,29,"[19, 10, 0]",knn,16,0.0,5
VFuaQ6m2Qom,bathroom,dinov3__block11__faces_local96,global,0,0.17892974615097046,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,bathroom,dinov3__block11__faces_local96,global,6,0.18999981880187988,16,"[0, 6, 10]",knn,0,0.0,5
VFuaQ6m2Qom,bathroom,dinov3__block11__faces_local96,coarse,0,0.17892974615097046,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,bathroom,dinov3__block11__faces_local96,coarse,6,0.18999981880187988,16,"[0, 6, 10]",knn,0,0.0,5
VFuaQ6m2Qom,bathroom,dinov3__block11__faces_local96,main,0,0.17892974615097046,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,bathroom,dinov3__block11__faces_local96,main,6,0.18999981880187988,16,"[0, 6, 10]",knn,0,0.0,5
Z6MFQCViBuw,dining,dinov3__block11__faces_local96,global,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,dinov3__block11__faces_local96,global,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,dinov3__block11__faces_local96,coarse,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,dinov3__block11__faces_local96,coarse,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,dinov3__block11__faces_local96,main,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,dinov3__block11__faces_local96,main,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,sleep,dinov3__block11__faces_local96,global,7,0.15793713927268982,27,"[17, 10, 0]",ridge,16,100.0,0
e9zR4mvMWw7,sleep,dinov3__block11__faces_local96,global,5,0.15637847781181335,27,"[17, 10, 0]",knn,0,0.0,3
e9zR4mvMWw7,sleep,dinov3__block11__faces_local96,coarse,7,0.15793713927268982,27,"[17, 10, 0]",ridge,16,100.0,0
e9zR4mvMWw7,sleep,dinov3__block11__faces_local96,coarse,5,0.15637847781181335,27,"[17, 10, 0]",knn,0,0.0,3
e9zR4mvMWw7,sleep,dinov3__block11__faces_local96,main,7,0.15793713927268982,27,"[17, 10, 0]",ridge,16,100.0,0
e9zR4mvMWw7,sleep,dinov3__block11__faces_local96,main,5,0.15637847781181335,27,"[17, 10, 0]",knn,0,0.0,3
jtcxE69GiFV,sleep,dinov3__block11__faces_local96,global,0,0.101526640355587,29,"[24, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,sleep,dinov3__block11__faces_local96,global,13,0.09655144065618515,29,"[24, 5, 0]",knn,16,0.0,5
jtcxE69GiFV,sleep,dinov3__block11__faces_local96,coarse,0,0.10202781111001968,29,"[24, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,sleep,dinov3__block11__faces_local96,coarse,13,0.09673819690942764,29,"[24, 5, 0]",knn,16,0.0,5
jtcxE69GiFV,sleep,dinov3__block11__faces_local96,main,0,0.101526640355587,29,"[24, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,sleep,dinov3__block11__faces_local96,main,13,0.09655144065618515,29,"[24, 5, 0]",knn,16,0.0,5
pa4otMbVnkk,living,dinov3__block11__faces_local96,global,0,1.013364956184426e-12,15,"[0, 15, 0]",ridge,0,100.0,0
