building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,kitchen,dinov3__cls__panorama,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,dinov3__cls__panorama,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,dinov3__cls__panorama,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,dinov3__cls__panorama,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,dinov3__cls__panorama,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,dinov3__cls__panorama,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,dinov3__cls__panorama,global,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,dinov3__cls__panorama,global,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,dinov3__cls__panorama,coarse,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,dinov3__cls__panorama,coarse,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,dinov3__cls__panorama,main,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,dinov3__cls__panorama,main,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,dinov3__cls__panorama,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,dinov3__cls__panorama,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,dinov3__cls__panorama,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,dinov3__cls__panorama,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,dinov3__cls__panorama,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,dinov3__cls__panorama,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,sleep,dinov3__cls__panorama,global,0,0.1280449777841568,29,"[19, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,sleep,dinov3__cls__panorama,global,12,0.1379307508468628,29,"[19, 10, 0]",knn,16,0.0,3
S9hNv5qa7GM,sleep,dinov3__cls__panorama,coarse,0,0.1286170482635498,29,"[19, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,sleep,dinov3__cls__panorama,coarse,12,0.13794265687465668,29,"[19, 10, 0]",knn,16,0.0,3
S9hNv5qa7GM,sleep,dinov3__cls__panorama,main,0,0.1280449777841568,29,"[19, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,sleep,dinov3__cls__panorama,main,12,0.1379307508468628,29,"[19, 10, 0]",knn,16,0.0,3
VFuaQ6m2Qom,bathroom,dinov3__cls__panorama,global,3,0.126874178647995,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,dinov3__cls__panorama,global,5,0.16666638851165771,16,"[0, 6, 10]",knn,0,0.0,3
VFuaQ6m2Qom,bathroom,dinov3__cls__panorama,coarse,3,0.126874178647995,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,dinov3__cls__panorama,coarse,5,0.16666638851165771,16,"[0, 6, 10]",knn,0,0.0,3
VFuaQ6m2Qom,bathroom,dinov3__cls__panorama,main,3,0.126874178647995,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,dinov3__cls__panorama,main,5,0.16666638851165771,16,"[0, 6, 10]",knn,0,0.0,3
Z6MFQCViBuw,dining,dinov3__cls__panorama,global,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,dinov3__cls__panorama,global,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,dinov3__cls__panorama,coarse,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,dinov3__cls__panorama,coarse,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,dinov3__cls__panorama,main,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,dinov3__cls__panorama,main,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,sleep,dinov3__cls__panorama,global,0,0.11741532385349274,27,"[17, 10, 0]",ridge,0,100.0,0
e9zR4mvMWw7,sleep,dinov3__cls__panorama,global,6,0.13259242475032806,27,"[17, 10, 0]",knn,0,0.0,5
e9zR4mvMWw7,sleep,dinov3__cls__panorama,coarse,0,0.11741532385349274,27,"[17, 10, 0]",ridge,0,100.0,0
e9zR4mvMWw7,sleep,dinov3__cls__panorama,coarse,6,0.13259242475032806,27,"[17, 10, 0]",knn,0,0.0,5
e9zR4mvMWw7,sleep,dinov3__cls__panorama,main,0,0.11741532385349274,27,"[17, 10, 0]",ridge,0,100.0,0
e9zR4mvMWw7,sleep,dinov3__cls__panorama,main,6,0.13259242475032806,27,"[17, 10, 0]",knn,0,0.0,5
jtcxE69GiFV,sleep,dinov3__cls__panorama,global,7,0.09581178426742554,29,"[24, 5, 0]",ridge,16,100.0,0
jtcxE69GiFV,sleep,dinov3__cls__panorama,global,12,0.11685796082019806,29,"[24, 5, 0]",knn,16,0.0,3
jtcxE69GiFV,sleep,dinov3__cls__panorama,coarse,7,0.09604891389608383,29,"[24, 5, 0]",ridge,16,100.0,0
jtcxE69GiFV,sleep,dinov3__cls__panorama,coarse,12,0.11687926948070526,29,"[24, 5, 0]",knn,16,0.0,3
jtcxE69GiFV,sleep,dinov3__cls__panorama,main,7,0.09581178426742554,29,"[24, 5, 0]",ridge,16,100.0,0
jtcxE69GiFV,sleep,dinov3__cls__panorama,main,12,0.11685796082019806,29,"[24, 5, 0]",knn,16,0.0,3
pa4otMbVnkk,living,dinov3__cls__panorama,global,0,1.013364956184426e-12,15,"[0, 15, 0]",ridge,0,100.0,0
pa4otMbVnkk,living,dinov3__cls__panorama,global,4,1.013364956184426e-12,15,"[0, 15, 0]",knn,0,0.0,1
pa4otMbVnkk,living,dinov3__cls__panorama,coarse,0,0.0022423735354095697,15,"[0, 15, 0]",ridge,0,100.0,0
pa4otMbVnkk,living,dinov3__cls__panorama,coarse,4,0.0022423735354095697,15,"[0, 15, 0]",knn,0,0.0,1
pa4otMbVnkk,living,dinov3__cls__panorama,main,0,1.013364956184426e-12,15,"[0, 15, 0]",ridge,0,100.0,0
pa4otMbVnkk,living,dinov3__cls__panorama,main,4,1.013364956184426e-12,15,"[0, 15, 0]",knn,0,0.0,1
rPc6DW4iMge,sleep,dinov3__cls__panorama,global,10,0.10054196417331696,31,"[21, 10, 0]",ridge,16,0.1,0
rPc6DW4iMge,sleep,dinov3__cls__panorama,global,12,0.11469511687755585,31,"[21, 10, 0]",knn,16,0.0,3
rPc6DW4iMge,sleep,dinov3__cls__panorama,coarse,10,0.10068066418170929,31,"[21, 10, 0]",ridge,16,0.1,0
rPc6DW4iMge,sleep,dinov3__cls__panorama,coarse,12,0.11498387902975082,31,"[21, 10, 0]",knn,16,0.0,3
rPc6DW4iMge,sleep,dinov3__cls__panorama,main,10,0.10054196417331696,31,"[21, 10, 0]",ridge,16,0.1,0
rPc6DW4iMge,sleep,dinov3__cls__panorama,main,12,0.11469511687755585,31,"[21, 10, 0]",knn,16,0.0,3
uNb9QFRL6hY,bathroom,dinov3__cls__panorama,global,0,0.26268789172172546,11,"[0, 3, 8]",ridge,0,100.0,0
uNb9QFRL6hY,bathroom,dinov3__cls__panorama,global,6,0.2345450520515442,11,"[0, 3, 8]",knn,0,0.0,5
uNb9QFRL6hY,bathroom,dinov3__cls__panorama,coarse,0,0.26268789172172546,11,"[0, 3, 8]",ridge,0,100.0,0
uNb9QFRL6hY,bathroom,dinov3__cls__panorama,coarse,6,0.2345450520515442,11,"[0, 3, 8]",knn,0,0.0,5
uNb9QFRL6hY,bathroom,dinov3__cls__panorama,main,0,0.26268789172172546,11,"[0, 3, 8]",ridge,0,100.0,0
uNb9QFRL6hY,bathroom,dinov3__cls__panorama,main,6,0.2345450520515442,11,"[0, 3, 8]",knn,0,0.0,5
uNb9QFRL6hY,living,dinov3__cls__panorama,global,0,1.013364956184426e-12,10,"[0, 10, 0]",ridge,0,100.0,0
uNb9QFRL6hY,living,dinov3__cls__panorama,global,4,1.013364956184426e-12,10,"[0, 10, 0]",knn,0,0.0,1
uNb9QFRL6hY,living,dinov3__cls__panorama,coarse,0,0.002409282373264432,10,"[0, 10, 0]",ridge,0,100.0,0
uNb9QFRL6hY,living,dinov3__cls__panorama,coarse,4,0.002409282373264432,10,"[0, 10, 0]",knn,0,0.0,1
uNb9QFRL6hY,living,dinov3__cls__panorama,main,0,1.013364956184426e-12,10,"[0, 10, 0]",ridge,0,100.0,0
uNb9QFRL6hY,living,dinov3__cls__panorama,main,4,1.013364956184426e-12,10,"[0, 10, 0]",knn,0,0.0,1
uNb9QFRL6hY,sleep,dinov3__cls__panorama,global,7,0.11842207610607147,25,"[20, 5, 0]",ridge,16,100.0,0
uNb9QFRL6hY,sleep,dinov3__cls__panorama,global,4,0.09999959915876389,25,"[20, 5, 0]",knn,0,0.0,1
uNb9QFRL6hY,sleep,dinov3__cls__panorama,coarse,7,0.11929071694612503,25,"[20, 5, 0]",ridge,16,100.0,0
uNb9QFRL6hY,sleep,dinov3__cls__panorama,coarse,4,0.10002240538597107,25,"[20, 5, 0]",knn,0,0.0,1
uNb9QFRL6hY,sleep,dinov3__cls__panorama,main,7,0.11842207610607147,25,"[20, 5, 0]",ridge,16,100.0,0
uNb9QFRL6hY,sleep,dinov3__cls__panorama,main,4,0.09999959915876389,25,"[20, 5, 0]",knn,0,0.0,1
uNb9QFRL6hY,storage,dinov3__cls__panorama,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
