building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,kitchen,feedback__all,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,feedback__all,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,feedback__all,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,feedback__all,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,feedback__all,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,feedback__all,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,feedback__all,global,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,feedback__all,global,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,feedback__all,coarse,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,feedback__all,coarse,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,feedback__all,main,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,feedback__all,main,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,feedback__all,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,feedback__all,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,feedback__all,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,feedback__all,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,feedback__all,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,feedback__all,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,sleep,feedback__all,global,8,0.0941268727183342,29,"[19, 10, 0]",ridge,16,10.0,0
S9hNv5qa7GM,sleep,feedback__all,global,13,0.1372411549091339,29,"[19, 10, 0]",knn,16,0.0,5
S9hNv5qa7GM,sleep,feedback__all,coarse,8,0.09458661824464798,29,"[19, 10, 0]",ridge,16,10.0,0
S9hNv5qa7GM,sleep,feedback__all,coarse,13,0.1367805004119873,29,"[19, 10, 0]",knn,16,0.0,5
S9hNv5qa7GM,sleep,feedback__all,main,8,0.0941268727183342,29,"[19, 10, 0]",ridge,16,10.0,0
S9hNv5qa7GM,sleep,feedback__all,main,13,0.1372411549091339,29,"[19, 10, 0]",knn,16,0.0,5
VFuaQ6m2Qom,bathroom,feedback__all,global,3,0.0649014562368393,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,feedback__all,global,6,0.15000003576278687,16,"[0, 6, 10]",knn,0,0.0,5
