building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,kitchen,ulayout__transformer__global,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,ulayout__transformer__global,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,ulayout__transformer__global,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,ulayout__transformer__global,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,ulayout__transformer__global,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,ulayout__transformer__global,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,ulayout__transformer__global,global,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,ulayout__transformer__global,global,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,ulayout__transformer__global,coarse,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,ulayout__transformer__global,coarse,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,ulayout__transformer__global,main,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,ulayout__transformer__global,main,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,ulayout__transformer__global,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,ulayout__transformer__global,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,ulayout__transformer__global,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,ulayout__transformer__global,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,ulayout__transformer__global,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,ulayout__transformer__global,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,sleep,ulayout__transformer__global,global,3,0.11055723577737808,29,"[19, 10, 0]",ridge,0,0.1,0
S9hNv5qa7GM,sleep,ulayout__transformer__global,global,13,0.11103437095880508,29,"[19, 10, 0]",knn,16,0.0,5
S9hNv5qa7GM,sleep,ulayout__transformer__global,coarse,3,0.1107388436794281,29,"[19, 10, 0]",ridge,0,0.1,0
S9hNv5qa7GM,sleep,ulayout__transformer__global,coarse,13,0.11079881340265274,29,"[19, 10, 0]",knn,16,0.0,5
S9hNv5qa7GM,sleep,ulayout__transformer__global,main,3,0.11055723577737808,29,"[19, 10, 0]",ridge,0,0.1,0
S9hNv5qa7GM,sleep,ulayout__transformer__global,main,13,0.11103437095880508,29,"[19, 10, 0]",knn,16,0.0,5
VFuaQ6m2Qom,bathroom,ulayout__transformer__global,global,3,0.203415647149086,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,ulayout__transformer__global,global,6,0.20124971866607666,16,"[0, 6, 10]",knn,0,0.0,5
VFuaQ6m2Qom,bathroom,ulayout__transformer__global,coarse,3,0.203415647149086,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,ulayout__transformer__global,coarse,6,0.20124971866607666,16,"[0, 6, 10]",knn,0,0.0,5
VFuaQ6m2Qom,bathroom,ulayout__transformer__global,main,3,0.203415647149086,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,bathroom,ulayout__transformer__global,main,6,0.20124971866607666,16,"[0, 6, 10]",knn,0,0.0,5
Z6MFQCViBuw,dining,ulayout__transformer__global,global,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,ulayout__transformer__global,global,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,ulayout__transformer__global,coarse,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,ulayout__transformer__global,coarse,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
Z6MFQCViBuw,dining,ulayout__transformer__global,main,1,inf,4,"[4, 0, 0]",ridge,0,10.0,0
Z6MFQCViBuw,dining,ulayout__transformer__global,main,4,inf,4,"[4, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,sleep,ulayout__transformer__global,global,3,0.13131116330623627,27,"[17, 10, 0]",ridge,0,0.1,0
e9zR4mvMWw7,sleep,ulayout__transformer__global,global,6,0.13407395780086517,27,"[17, 10, 0]",knn,0,0.0,5
e9zR4mvMWw7,sleep,ulayout__transformer__global,coarse,3,0.13131116330623627,27,"[17, 10, 0]",ridge,0,0.1,0
e9zR4mvMWw7,sleep,ulayout__transformer__global,coarse,6,0.13407395780086517,27,"[17, 10, 0]",knn,0,0.0,5
