image_id,condition,cut,rule,early_k,n_observed,n_valid,n_invalid,n_supported_modes,singleton_mass,p_sustained_onset_by_k,p_any_observed_onset,onset_median_conditional,late_new_geometry,late_h,max_few_modes,max_singleton_mass,order_fraction_required,p_sustained_onset_between_k_and_h,process_tier,difficulty_tag,difficulty_status,scene_category,main_function_primary,room_status
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.05,P_pattern,7,6,6,0,1,0.333333333333,0,0,,0.323333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,中等,labelled,开放复合空间,living,overlap_with_pending_or_unsupported
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.05,D10_distribution,7,6,6,0,1,0.333333333333,0,0,,0.323333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,中等,labelled,开放复合空间,living,overlap_with_pending_or_unsupported
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.05,D20_distribution,7,6,6,0,1,0.333333333333,0,0,,0.323333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,中等,labelled,开放复合空间,living,overlap_with_pending_or_unsupported
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.05,G10_geometry,7,6,6,0,1,0.333333333333,0,0,,0.323333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,中等,labelled,开放复合空间,living,overlap_with_pending_or_unsupported
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.1,P_pattern,7,6,6,0,1,0.333333333333,0,0,,0.353333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,中等,labelled,开放复合空间,living,overlap_with_pending_or_unsupported
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.1,D10_distribution,7,6,6,0,1,0.333333333333,0,0,,0.353333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,中等,labelled,开放复合空间,living,overlap_with_pending_or_unsupported
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.1,D20_distribution,7,6,6,0,1,0.333333333333,0,0,,0.353333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,中等,labelled,开放复合空间,living,overlap_with_pending_or_unsupported
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.1,G10_geometry,7,6,6,0,1,0.333333333333,0,0,,0.353333333333,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,中等,labelled,开放复合空间,living,overlap_with_pending_or_unsupported
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.2,P_pattern,7,6,6,0,1,0.333333333333,0,0,,0.33,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,中等,labelled,开放复合空间,living,overlap_with_pending_or_unsupported
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.2,D10_distribution,7,6,6,0,1,0.333333333333,0,0,,0.33,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,中等,labelled,开放复合空间,living,overlap_with_pending_or_unsupported
