image_id,building,condition,cut,scene,n_valid,n_modes,n_supported_modes,supported_mass,singleton_mass,largest_share,topology_disagreement,same_topology_between_mode_pair_fraction,within_mode_mean_d,between_mode_same_topology_mean_d,within_mode_median_d,within_mode_max_median_d,within_mode_macro_median_d,same_topology_median_d,mode_entropy,topology_entropy,supported_topologies,supported_minority_modes,same_topology_multimodality,n_observed,n_invalid,stages,contexts,imputed_responses,late_new,late_promotions,later_repartition,n_singletons,naive_many_modes,scene_category,main_function_primary
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,0.05,通行与连接,3,1,1,1,0,1,0,0,0.0180451230639,,0.0179958424951,0.0179958424951,0.0179958424951,0.0179958424951,-0,-0,1,0,False,3,0,C2-A-RP,2,0,0,0.5,0,0,False,通行与连接,unknown
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,0.1,通行与连接,3,1,1,1,0,1,0,0,0.0180451230639,,0.0179958424951,0.0179958424951,0.0179958424951,0.0179958424951,-0,-0,1,0,False,3,0,C2-A-RP,2,0,0,0.5,0,0,False,通行与连接,unknown
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,0.2,通行与连接,3,1,1,1,0,1,0,0,0.0180451230639,,0.0179958424951,0.0179958424951,0.0179958424951,0.0179958424951,-0,-0,1,0,False,3,0,C2-A-RP,2,0,0,0.5,0,0,False,通行与连接,unknown
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,0.05,卧室,3,2,1,0.666666666667,0.333333333333,0.666666666667,0,0.666666666667,0.025364286464,0.0728204397001,0.025364286464,0.025364286464,0.025364286464,0.065568976242,0.918295834054,-0,1,0,False,3,0,C2-A-RP,2,0,0.5,0.5,0,1,False,卧室,sleep
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,0.1,卧室,3,1,1,1,0,1,0,0,0.0570017219548,,0.065568976242,0.065568976242,0.065568976242,0.065568976242,-0,-0,1,0,False,3,0,C2-A-RP,2,0,0,0.5,0,0,False,卧室,sleep
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,0.2,卧室,3,1,1,1,0,1,0,0,0.0570017219548,,0.065568976242,0.065568976242,0.065568976242,0.065568976242,-0,-0,1,0,False,3,0,C2-A-RP,2,0,0,0.5,0,0,False,卧室,sleep
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,0.05,卧室,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-A-RP,1,0,0,0,0,1,False,卧室,sleep
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,0.1,卧室,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-A-RP,1,0,0,0,0,1,False,卧室,sleep
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,manual,0.2,卧室,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-A-RP,1,0,0,0,0,1,False,卧室,sleep
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,0.05,开放复合空间,5,3,2,0.8,0.2,0.4,0.4,0.666666666667,0.0222040454646,0.0638566686054,0.0222040454646,0.0444080909292,0.0222040454646,0.0626401137484,1.52192809489,0.721928094887,1,0,True,5,0,C1,1,0,0.4,0.6,0,1,False,开放复合空间,kitchen
