field,value,n_pool,n_labelled,n_buildings,simple,medium,hard
scene_category,储藏与家务辅助,44,2,1,2,0,0
scene_category,卧室,151,33,6,23,10,0
scene_category,卫浴,117,22,3,0,6,16
scene_category,厨房与用餐,52,13,3,10,3,0
scene_category,复合／待定,30,4,2,4,0,0
scene_category,复合／待定   像是连通的走廊空间这种,1,0,0,0,0,0
scene_category,"复合／待定  , 厨房 客厅",1,0,0,0,0,0
scene_category,工作与学习,29,7,1,6,1,0
scene_category,开放复合空间,9,4,1,0,4,0
scene_category,无法判断,2,1,1,1,0,0
scene_category,特殊用途,11,0,0,0,0,0
scene_category,起居与休闲,77,17,2,0,17,0
scene_category,通行与连接,124,3,1,3,0,0
main_function_primary,bathroom,111,22,3,0,6,16
main_function_primary,circulation,85,3,1,3,0,0
main_function_primary,dining,27,8,2,8,0,0
main_function_primary,empty,16,4,1,4,0,0
main_function_primary,kitchen,35,5,1,2,3,0
main_function_primary,living,66,21,3,0,21,0
main_function_primary,sleep,158,34,6,24,10,0
main_function_primary,special,20,0,0,0,0,0
main_function_primary,storage,38,2,1,2,0,0
main_function_primary,unknown,56,0,0,0,0,0
main_function_primary,work,36,7,1,6,1,0
main_semantic_key,bathroom,105,21,3,0,6,15
main_semantic_key,bathroom+circulation,3,1,1,0,0,1
main_semantic_key,bathroom+empty,1,1,1,1,0,0
main_semantic_key,bathroom+special,5,0,0,0,0,0
main_semantic_key,bathroom+storage,7,0,0,0,0,0
main_semantic_key,circulation,58,2,1,2,0,0
main_semantic_key,circulation+empty,3,1,1,1,0,0
main_semantic_key,circulation+storage,1,0,0,0,0,0
main_semantic_key,dining,23,7,2,7,0,0
main_semantic_key,dining+circulation,1,0,0,0,0,0
main_semantic_key,dining+living,2,1,1,0,1,0
main_semantic_key,empty,8,1,1,1,0,0
main_semantic_key,kitchen,13,4,1,2,2,0
main_semantic_key,kitchen+circulation,2,0,0,0,0,0
main_semantic_key,kitchen+dining,21,2,2,1,1,0
main_semantic_key,kitchen+dining+living,2,0,0,0,0,0
main_semantic_key,kitchen+living,2,0,0,0,0,0
main_semantic_key,living,60,19,3,0,19,0
main_semantic_key,living+circulation,3,1,1,0,1,0
main_semantic_key,living+work,5,0,0,0,0,0
main_semantic_key,sleep,135,29,6,19,10,0
main_semantic_key,sleep+bathroom,10,1,1,1,0,0
main_semantic_key,sleep+circulation,9,0,0,0,0,0
main_semantic_key,sleep+circulation+storage,1,0,0,0,0,0
main_semantic_key,sleep+living,4,1,1,1,0,0
main_semantic_key,sleep+special,1,0,0,0,0,0
main_semantic_key,sleep+storage,2,1,1,1,0,0
main_semantic_key,sleep+storage+empty,2,0,0,0,0,0
main_semantic_key,sleep+work,3,2,1,2,0,0
main_semantic_key,special,14,0,0,0,0,0
main_semantic_key,storage,30,2,1,2,0,0
main_semantic_key,storage+empty,2,1,1,1,0,0
main_semantic_key,unknown,57,0,0,0,0,0
main_semantic_key,work,28,7,1,6,1,0
main_semantic_key,work+circulation,22,1,1,1,0,0
main_semantic_key,work+empty,3,0,0,0,0,0
fine_ai,储藏家务,23,2,1,2,0,0
fine_ai,储藏家务|卧室,3,0,0,0,0,0
fine_ai,储藏家务|卧室|卫浴|通行,1,0,0,0,0,0
fine_ai,储藏家务|卧室|厨房,6,0,0,0,0,0
fine_ai,储藏家务|卫浴,5,0,0,0,0,0
fine_ai,储藏家务|卫浴|厨房,1,0,0,0,0,0
fine_ai,储藏家务|卫浴|用途不明|通行,1,0,0,0,0,0
fine_ai,储藏家务|卫浴|通行,12,1,1,0,1,0
fine_ai,储藏家务|用途不明|通行,1,1,1,1,0,0
fine_ai,储藏家务|通行,13,0,0,0,0,0
fine_ai,卧室,130,29,6,21,8,0
fine_ai,卧室|卫浴,20,4,3,3,0,1
fine_ai,卧室|卫浴|卫浴（洗漱）|卫浴（淋浴）|通行,1,0,0,0,0,0
fine_ai,卧室|卫浴|起居休闲|通行,2,0,0,0,0,0
fine_ai,卧室|卫浴|通行,2,0,0,0,0,0
fine_ai,卧室|厨房|通行,1,0,0,0,0,0
fine_ai,卧室|特殊用途,1,0,0,0,0,0
