design,feature,baseline,algorithm,true,predicted,count
pooled,baseline__coarse,none,frequency,简单,简单,49
pooled,baseline__coarse,none,frequency,简单,中等,0
pooled,baseline__coarse,none,frequency,简单,困难,0
pooled,baseline__coarse,none,frequency,中等,简单,18
pooled,baseline__coarse,none,frequency,中等,中等,17
pooled,baseline__coarse,none,frequency,中等,困难,6
pooled,baseline__coarse,none,frequency,困难,简单,0
pooled,baseline__coarse,none,frequency,困难,中等,0
pooled,baseline__coarse,none,frequency,困难,困难,16
pooled,baseline__coarse_main,none,frequency,简单,简单,49
pooled,baseline__coarse_main,none,frequency,简单,中等,0
pooled,baseline__coarse_main,none,frequency,简单,困难,0
pooled,baseline__coarse_main,none,frequency,中等,简单,18
pooled,baseline__coarse_main,none,frequency,中等,中等,17
pooled,baseline__coarse_main,none,frequency,中等,困难,6
pooled,baseline__coarse_main,none,frequency,困难,简单,0
pooled,baseline__coarse_main,none,frequency,困难,中等,0
pooled,baseline__coarse_main,none,frequency,困难,困难,16
pooled,baseline__fine,none,frequency,简单,简单,49
pooled,baseline__fine,none,frequency,简单,中等,0
pooled,baseline__fine,none,frequency,简单,困难,0
pooled,baseline__fine,none,frequency,中等,简单,36
pooled,baseline__fine,none,frequency,中等,中等,0
pooled,baseline__fine,none,frequency,中等,困难,5
pooled,baseline__fine,none,frequency,困难,简单,5
pooled,baseline__fine,none,frequency,困难,中等,0
pooled,baseline__fine,none,frequency,困难,困难,11
pooled,baseline__global,none,frequency,简单,简单,49
pooled,baseline__global,none,frequency,简单,中等,0
pooled,baseline__global,none,frequency,简单,困难,0
pooled,baseline__global,none,frequency,中等,简单,41
pooled,baseline__global,none,frequency,中等,中等,0
pooled,baseline__global,none,frequency,中等,困难,0
pooled,baseline__global,none,frequency,困难,简单,16
pooled,baseline__global,none,frequency,困难,中等,0
pooled,baseline__global,none,frequency,困难,困难,0
pooled,baseline__human_focus,none,frequency,简单,简单,49
pooled,baseline__human_focus,none,frequency,简单,中等,0
pooled,baseline__human_focus,none,frequency,简单,困难,0
pooled,baseline__human_focus,none,frequency,中等,简单,41
pooled,baseline__human_focus,none,frequency,中等,中等,0
pooled,baseline__human_focus,none,frequency,中等,困难,0
pooled,baseline__human_focus,none,frequency,困难,简单,16
pooled,baseline__human_focus,none,frequency,困难,中等,0
pooled,baseline__human_focus,none,frequency,困难,困难,0
pooled,baseline__main,none,frequency,简单,简单,49
pooled,baseline__main,none,frequency,简单,中等,0
pooled,baseline__main,none,frequency,简单,困难,0
pooled,baseline__main,none,frequency,中等,简单,14
pooled,baseline__main,none,frequency,中等,中等,21
pooled,baseline__main,none,frequency,中等,困难,6
pooled,baseline__main,none,frequency,困难,简单,0
pooled,baseline__main,none,frequency,困难,中等,0
pooled,baseline__main,none,frequency,困难,困难,16
pooled,bilayout__fc__global,coarse,knn,简单,简单,40
pooled,bilayout__fc__global,coarse,knn,简单,中等,9
pooled,bilayout__fc__global,coarse,knn,简单,困难,0
pooled,bilayout__fc__global,coarse,knn,中等,简单,18
pooled,bilayout__fc__global,coarse,knn,中等,中等,19
pooled,bilayout__fc__global,coarse,knn,中等,困难,4
pooled,bilayout__fc__global,coarse,knn,困难,简单,0
pooled,bilayout__fc__global,coarse,knn,困难,中等,0
pooled,bilayout__fc__global,coarse,knn,困难,困难,16
pooled,bilayout__fc__global,coarse,ridge,简单,简单,38
pooled,bilayout__fc__global,coarse,ridge,简单,中等,11
pooled,bilayout__fc__global,coarse,ridge,简单,困难,0
pooled,bilayout__fc__global,coarse,ridge,中等,简单,14
pooled,bilayout__fc__global,coarse,ridge,中等,中等,25
pooled,bilayout__fc__global,coarse,ridge,中等,困难,2
pooled,bilayout__fc__global,coarse,ridge,困难,简单,0
pooled,bilayout__fc__global,coarse,ridge,困难,中等,2
pooled,bilayout__fc__global,coarse,ridge,困难,困难,14
pooled,bilayout__fc__global,global,knn,简单,简单,31
pooled,bilayout__fc__global,global,knn,简单,中等,16
pooled,bilayout__fc__global,global,knn,简单,困难,2
pooled,bilayout__fc__global,global,knn,中等,简单,19
pooled,bilayout__fc__global,global,knn,中等,中等,15
pooled,bilayout__fc__global,global,knn,中等,困难,7
pooled,bilayout__fc__global,global,knn,困难,简单,9
pooled,bilayout__fc__global,global,knn,困难,中等,6
pooled,bilayout__fc__global,global,knn,困难,困难,1
pooled,bilayout__fc__global,global,ridge,简单,简单,35
pooled,bilayout__fc__global,global,ridge,简单,中等,12
pooled,bilayout__fc__global,global,ridge,简单,困难,2
pooled,bilayout__fc__global,global,ridge,中等,简单,18
pooled,bilayout__fc__global,global,ridge,中等,中等,18
pooled,bilayout__fc__global,global,ridge,中等,困难,5
pooled,bilayout__fc__global,global,ridge,困难,简单,6
pooled,bilayout__fc__global,global,ridge,困难,中等,8
pooled,bilayout__fc__global,global,ridge,困难,困难,2
pooled,bilayout__fc__global,main,knn,简单,简单,43
pooled,bilayout__fc__global,main,knn,简单,中等,6
pooled,bilayout__fc__global,main,knn,简单,困难,0
pooled,bilayout__fc__global,main,knn,中等,简单,14
pooled,bilayout__fc__global,main,knn,中等,中等,22
pooled,bilayout__fc__global,main,knn,中等,困难,5
pooled,bilayout__fc__global,main,knn,困难,简单,0
pooled,bilayout__fc__global,main,knn,困难,中等,0
pooled,bilayout__fc__global,main,knn,困难,困难,16
pooled,bilayout__fc__global,main,ridge,简单,简单,42
pooled,bilayout__fc__global,main,ridge,简单,中等,7
pooled,bilayout__fc__global,main,ridge,简单,困难,0
pooled,bilayout__fc__global,main,ridge,中等,简单,13
pooled,bilayout__fc__global,main,ridge,中等,中等,26
pooled,bilayout__fc__global,main,ridge,中等,困难,2
pooled,bilayout__fc__global,main,ridge,困难,简单,0
pooled,bilayout__fc__global,main,ridge,困难,中等,0
pooled,bilayout__fc__global,main,ridge,困难,困难,16
pooled,bilayout__fc__regions,coarse,knn,简单,简单,30
pooled,bilayout__fc__regions,coarse,knn,简单,中等,19
pooled,bilayout__fc__regions,coarse,knn,简单,困难,0
pooled,bilayout__fc__regions,coarse,knn,中等,简单,16
pooled,bilayout__fc__regions,coarse,knn,中等,中等,21
pooled,bilayout__fc__regions,coarse,knn,中等,困难,4
pooled,bilayout__fc__regions,coarse,knn,困难,简单,0
pooled,bilayout__fc__regions,coarse,knn,困难,中等,6
pooled,bilayout__fc__regions,coarse,knn,困难,困难,10
pooled,bilayout__fc__regions,coarse,ridge,简单,简单,37
pooled,bilayout__fc__regions,coarse,ridge,简单,中等,12
pooled,bilayout__fc__regions,coarse,ridge,简单,困难,0
pooled,bilayout__fc__regions,coarse,ridge,中等,简单,15
