design,feature,baseline,algorithm,n_relation_eligible_images,n_supported_components,supported_component_macro_rps,total_images
pooled,baseline__coarse,none,frequency,54,9,0.117116419842,106
pooled,baseline__coarse_main,none,frequency,54,9,0.1183950447,106
pooled,baseline__fine,none,frequency,54,9,0.145056179207,106
pooled,baseline__global,none,frequency,54,9,0.159655550326,106
pooled,baseline__human_focus,none,frequency,54,9,0.161456188331,106
pooled,baseline__main,none,frequency,54,9,0.106120595831,106
pooled,bilayout__fc__global,coarse,knn,54,9,0.14813180613,106
pooled,bilayout__fc__global,coarse,ridge,54,9,0.133839322908,106
pooled,bilayout__fc__global,global,knn,54,9,0.216239393567,106
pooled,bilayout__fc__global,global,ridge,54,9,0.15421229643,106
pooled,bilayout__fc__global,main,knn,54,9,0.130852789446,106
pooled,bilayout__fc__global,main,ridge,54,9,0.10174151652,106
pooled,bilayout__fc__regions,coarse,knn,54,9,0.139484134978,106
pooled,bilayout__fc__regions,coarse,ridge,54,9,0.127496230401,106
pooled,bilayout__fc__regions,global,knn,54,9,0.216179684379,106
pooled,bilayout__fc__regions,global,ridge,54,9,0.210007580289,106
pooled,bilayout__fc__regions,main,knn,54,9,0.129531715513,106
pooled,bilayout__fc__regions,main,ridge,54,9,0.109026837274,106
pooled,bilayout__fg_enclosed__global,coarse,knn,54,9,0.0992711092633,106
pooled,bilayout__fg_enclosed__global,coarse,ridge,54,9,0.107963544812,106
pooled,bilayout__fg_enclosed__global,global,knn,54,9,0.117697100598,106
pooled,bilayout__fg_enclosed__global,global,ridge,54,9,0.132820169872,106
pooled,bilayout__fg_enclosed__global,main,knn,54,9,0.0854242217678,106
pooled,bilayout__fg_enclosed__global,main,ridge,54,9,0.0930170644591,106
pooled,bilayout__fg_enclosed__regions,coarse,knn,54,9,0.122891671936,106
pooled,bilayout__fg_enclosed__regions,coarse,ridge,54,9,0.111768652764,106
pooled,bilayout__fg_enclosed__regions,global,knn,54,9,0.159845871896,106
pooled,bilayout__fg_enclosed__regions,global,ridge,54,9,0.138489220386,106
pooled,bilayout__fg_enclosed__regions,main,knn,54,9,0.10464302789,106
pooled,bilayout__fg_enclosed__regions,main,ridge,54,9,0.0927003224605,106
pooled,bilayout__fg_extended__global,coarse,knn,54,9,0.0931693693658,106
pooled,bilayout__fg_extended__global,coarse,ridge,54,9,0.115280296259,106
pooled,bilayout__fg_extended__global,global,knn,54,9,0.121656376644,106
pooled,bilayout__fg_extended__global,global,ridge,54,9,0.126060817566,106
pooled,bilayout__fg_extended__global,main,knn,54,9,0.078274589584,106
pooled,bilayout__fg_extended__global,main,ridge,54,9,0.0964013070513,106
pooled,bilayout__fg_extended__regions,coarse,knn,54,9,0.122865724184,106
pooled,bilayout__fg_extended__regions,coarse,ridge,54,9,0.11142371542,106
pooled,bilayout__fg_extended__regions,global,knn,54,9,0.159639256716,106
pooled,bilayout__fg_extended__regions,global,ridge,54,9,0.134984046877,106
pooled,bilayout__fg_extended__regions,main,knn,54,9,0.0984279025506,106
pooled,bilayout__fg_extended__regions,main,ridge,54,9,0.0927648166174,106
pooled,da3__layer11__faces_concat,coarse,knn,54,9,0.140011102831,106
pooled,da3__layer11__faces_concat,coarse,ridge,54,9,0.133324123166,106
pooled,da3__layer11__faces_concat,global,knn,54,9,0.218806021087,106
pooled,da3__layer11__faces_concat,global,ridge,54,9,0.208030854076,106
pooled,da3__layer11__faces_concat,main,knn,54,9,0.131669829176,106
pooled,da3__layer11__faces_concat,main,ridge,54,9,0.118027665818,106
pooled,da3__layer11__faces_global,coarse,knn,54,9,0.127672262295,106
pooled,da3__layer11__faces_global,coarse,ridge,54,9,0.109261046036,106
pooled,da3__layer11__faces_global,global,knn,54,9,0.191765097862,106
pooled,da3__layer11__faces_global,global,ridge,54,9,0.158542449612,106
pooled,da3__layer11__faces_global,main,knn,54,9,0.119238095956,106
pooled,da3__layer11__faces_global,main,ridge,54,9,0.0994593572641,106
pooled,da3__layer11__faces_local16,coarse,knn,54,9,0.130921953496,106
pooled,da3__layer11__faces_local16,coarse,ridge,54,9,0.114799719282,106
pooled,da3__layer11__faces_local16,global,knn,54,9,0.180516430059,106
pooled,da3__layer11__faces_local16,global,ridge,54,9,0.149794398736,106
pooled,da3__layer11__faces_local16,main,knn,54,9,0.120091679813,106
pooled,da3__layer11__faces_local16,main,ridge,54,9,0.103015730152,106
pooled,da3__layer11__faces_local96,coarse,knn,54,9,0.131740880459,106
pooled,da3__layer11__faces_local96,coarse,ridge,54,9,0.129789513018,106
pooled,da3__layer11__faces_local96,global,knn,54,9,0.19748423052,106
pooled,da3__layer11__faces_local96,global,ridge,54,9,0.188745822127,106
pooled,da3__layer11__faces_local96,main,knn,54,9,0.121489028885,106
pooled,da3__layer11__faces_local96,main,ridge,54,9,0.114249693529,106
pooled,da3__layer5__faces_concat,coarse,knn,54,9,0.13721708327,106
pooled,da3__layer5__faces_concat,coarse,ridge,54,9,0.14363603249,106
pooled,da3__layer5__faces_concat,global,knn,54,9,0.201603573089,106
pooled,da3__layer5__faces_concat,global,ridge,54,9,0.216754775732,106
pooled,da3__layer5__faces_concat,main,knn,54,9,0.132334940041,106
pooled,da3__layer5__faces_concat,main,ridge,54,9,0.122628499723,106
pooled,da3__layer5__faces_global,coarse,knn,54,9,0.135108483382,106
pooled,da3__layer5__faces_global,coarse,ridge,54,9,0.138322464787,106
