feature,rule,n_targets,n_with_neighbors,n_neighbors,same_building,same_coarse,same_main,same_tag
dinov3__block3__panorama_mean,all_labelled106,106,106,5,0.467924528302,0.481132075472,0.496226415094,0.577358490566
dinov3__block3__panorama_mean,outside_building,106,106,5,0,0.158490566038,0.169811320755,0.360377358491
dinov3__block3__panorama_mean,outside_building_same_coarse,106,89,4.84269662921,0,1,0.833707865169,0.683146067416
dinov3__block3__panorama_mean,outside_building_same_main,106,85,4.90588235294,0,0.865882352941,1,0.722352941176
dinov3__block6__panorama_mean,all_labelled106,106,106,5,0.616981132075,0.675471698113,0.683018867925,0.643396226415
dinov3__block6__panorama_mean,outside_building,106,106,5,0,0.277358490566,0.271698113208,0.409433962264
dinov3__block6__panorama_mean,outside_building_same_coarse,106,89,4.84269662921,0,1,0.826966292135,0.649438202247
dinov3__block6__panorama_mean,outside_building_same_main,106,85,4.90588235294,0,0.875294117647,1,0.696470588235
dinov3__block9__panorama_mean,all_labelled106,106,106,5,0.696226415094,0.728301886792,0.752830188679,0.728301886792
dinov3__block9__panorama_mean,outside_building,106,106,5,0,0.362264150943,0.362264150943,0.511320754717
dinov3__block9__panorama_mean,outside_building_same_coarse,106,89,4.84269662921,0,1,0.826966292135,0.692134831461
dinov3__block9__panorama_mean,outside_building_same_main,106,85,4.90588235294,0,0.861176470588,1,0.741176470588
dinov3__block11__panorama_mean,all_labelled106,106,106,5,0.747169811321,0.818867924528,0.841509433962,0.752830188679
dinov3__block11__panorama_mean,outside_building,106,106,5,0,0.384905660377,0.405660377358,0.41320754717
dinov3__block11__panorama_mean,outside_building_same_coarse,106,89,4.84269662921,0,1,0.844943820225,0.674157303371
dinov3__block11__panorama_mean,outside_building_same_main,106,85,4.90588235294,0,0.847058823529,1,0.712941176471
dinov3__block12__panorama_mean,all_labelled106,106,106,5,0.807547169811,0.87358490566,0.903773584906,0.77358490566
dinov3__block12__panorama_mean,outside_building,106,106,5,0,0.51320754717,0.592452830189,0.541509433962
dinov3__block12__panorama_mean,outside_building_same_coarse,106,89,4.84269662921,0,1,0.844943820225,0.689887640449
dinov3__block12__panorama_mean,outside_building_same_main,106,85,4.90588235294,0,0.84,1,0.736470588235
dinov3__cls__panorama,all_labelled106,106,106,5,0.845283018868,0.864150943396,0.903773584906,0.783018867925
dinov3__cls__panorama,outside_building,106,106,5,0,0.584905660377,0.683018867925,0.584905660377
dinov3__cls__panorama,outside_building_same_coarse,106,89,4.84269662921,0,1,0.869662921348,0.689887640449
dinov3__cls__panorama,outside_building_same_main,106,85,4.90588235294,0,0.858823529412,1,0.729411764706
dinov3__block12__faces_global,all_labelled106,106,106,5,0.777358490566,0.852830188679,0.875471698113,0.781132075472
dinov3__block12__faces_global,outside_building,106,106,5,0,0.475471698113,0.507547169811,0.520754716981
dinov3__block12__faces_global,outside_building_same_coarse,106,89,4.84269662921,0,1,0.844943820225,0.674157303371
dinov3__block12__faces_global,outside_building_same_main,106,85,4.90588235294,0,0.847058823529,1,0.722352941176
