field,value,pool,labelled,selected_fraction
scene_category,储藏与家务辅助,44,2,0.0454545454545
scene_category,卧室,151,33,0.218543046358
scene_category,卫浴,117,22,0.188034188034
scene_category,厨房与用餐,52,13,0.25
scene_category,复合／待定,30,4,0.133333333333
scene_category,复合／待定   像是连通的走廊空间这种,1,0,0
scene_category,"复合／待定  , 厨房 客厅",1,0,0
scene_category,工作与学习,29,7,0.241379310345
scene_category,开放复合空间,9,4,0.444444444444
scene_category,无法判断,2,1,0.5
scene_category,特殊用途,11,0,0
scene_category,起居与休闲,77,17,0.220779220779
scene_category,通行与连接,124,3,0.0241935483871
main_function_primary,bathroom,111,22,0.198198198198
main_function_primary,circulation,85,3,0.0352941176471
main_function_primary,dining,27,8,0.296296296296
main_function_primary,empty,16,4,0.25
main_function_primary,kitchen,35,5,0.142857142857
main_function_primary,living,66,21,0.318181818182
main_function_primary,sleep,158,34,0.215189873418
main_function_primary,special,20,0,0
main_function_primary,storage,38,2,0.0526315789474
main_function_primary,unknown,56,0,0
main_function_primary,work,36,7,0.194444444444
