field_a,field_b,value_a,value_b,images
floor_boundary,ceiling_boundary,partial,partial,58
floor_boundary,ceiling_boundary,partial,present,456
floor_boundary,ceiling_boundary,present,partial,30
floor_boundary,ceiling_boundary,present,present,104
floor_boundary,corner_occlusion,partial,present,514
floor_boundary,corner_occlusion,present,absent,134
floor_boundary,connected_space,partial,present,511
floor_boundary,connected_space,partial,unknown,3
floor_boundary,connected_space,present,absent,1
floor_boundary,connected_space,present,present,133
floor_boundary,reflection_glass,partial,absent,1
floor_boundary,reflection_glass,partial,present,396
floor_boundary,reflection_glass,partial,unknown,117
floor_boundary,reflection_glass,present,absent,2
floor_boundary,reflection_glass,present,present,55
floor_boundary,reflection_glass,present,unknown,77
floor_boundary,low_contrast,partial,absent,511
floor_boundary,low_contrast,partial,present,3
floor_boundary,low_contrast,present,absent,132
floor_boundary,low_contrast,present,present,2
ceiling_boundary,corner_occlusion,partial,absent,30
ceiling_boundary,corner_occlusion,partial,present,58
ceiling_boundary,corner_occlusion,present,absent,104
ceiling_boundary,corner_occlusion,present,present,456
ceiling_boundary,connected_space,partial,present,88
ceiling_boundary,connected_space,present,absent,1
ceiling_boundary,connected_space,present,present,556
ceiling_boundary,connected_space,present,unknown,3
ceiling_boundary,reflection_glass,partial,present,85
ceiling_boundary,reflection_glass,partial,unknown,3
ceiling_boundary,reflection_glass,present,absent,3
ceiling_boundary,reflection_glass,present,present,366
ceiling_boundary,reflection_glass,present,unknown,191
ceiling_boundary,low_contrast,partial,absent,88
ceiling_boundary,low_contrast,present,absent,555
ceiling_boundary,low_contrast,present,present,5
corner_occlusion,connected_space,absent,absent,1
corner_occlusion,connected_space,absent,present,133
corner_occlusion,connected_space,present,present,511
corner_occlusion,connected_space,present,unknown,3
corner_occlusion,reflection_glass,absent,absent,2
corner_occlusion,reflection_glass,absent,present,55
corner_occlusion,reflection_glass,absent,unknown,77
corner_occlusion,reflection_glass,present,absent,1
corner_occlusion,reflection_glass,present,present,396
corner_occlusion,reflection_glass,present,unknown,117
corner_occlusion,low_contrast,absent,absent,132
corner_occlusion,low_contrast,absent,present,2
corner_occlusion,low_contrast,present,absent,511
corner_occlusion,low_contrast,present,present,3
connected_space,reflection_glass,absent,unknown,1
connected_space,reflection_glass,present,absent,3
connected_space,reflection_glass,present,present,448
connected_space,reflection_glass,present,unknown,193
connected_space,reflection_glass,unknown,present,3
connected_space,low_contrast,absent,absent,1
connected_space,low_contrast,present,absent,639
connected_space,low_contrast,present,present,5
connected_space,low_contrast,unknown,absent,3
reflection_glass,low_contrast,absent,present,3
reflection_glass,low_contrast,present,absent,451
reflection_glass,low_contrast,unknown,absent,192
reflection_glass,low_contrast,unknown,present,2
