target_building,worker_id,axis,training_responses,training_buildings,qualified,score,score_kind
2t7WUuJeko7,W001,Q,89,16,True,0.0302957582617,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W002,Q,84,16,True,-0.0309054661746,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W006,Q,87,17,True,0.00258756980546,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W008,Q,86,16,True,0.0040302843478,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W010,Q,87,15,True,-0.000480362555588,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W011,Q,86,16,True,0.00829633713467,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W012,Q,85,18,True,0.0277514031194,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W013,Q,88,17,True,0.0100827830404,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W014,Q,79,13,True,0.0174416443039,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W015,Q,87,18,True,-0.00834510110676,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W017,Q,84,17,True,-0.00475229000871,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W018,Q,79,13,True,-0.0202109473049,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W021,Q,48,13,True,0.00295309323826,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W027,Q,80,13,True,-0.0335434282369,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W028,Q,88,16,True,0.0129900345094,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W029,Q,86,17,True,0.0303095161417,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W030,Q,87,17,True,0.01035367546,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W031,Q,89,16,True,0.00873195184423,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W032,Q,87,17,True,0.0148167779882,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W033,Q,87,15,True,0.00579466627476,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W034,Q,106,17,True,0.0405782109176,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W035,Q,86,18,True,0.0372809365603,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W036,Q,87,18,True,0.00660882707642,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W037,Q,87,18,True,0.0347075134729,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W001,T,93,20,True,-0.61523100895,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
2t7WUuJeko7,W002,T,90,19,True,-0.41264349903,"task-median-adjusted outside-building mean; lower alignment error/faster log-time, not care"
