image_id,condition,building,cut,n_observed,n_excluded,n_reviewed_retained,n_imputed_retained,n_valid,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts,code
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,VFuaQ6m2Qom,0.05,20,1,0,0,19,9,5,4,2,0.210526315789,0.789473684211,0.263157894737,6.56363636364,2.92585301456,0.719298245614,0.0273930893905,5;3;3;2;2;1;1;1;1,0.210526315789,0.80055401662,4,0,0.96992481203,0.8,True,3,H1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,VFuaQ6m2Qom,0.075,20,1,0,0,19,6,4,2,2,0.105263157895,0.894736842105,0.421052631579,3.64646464646,2.16320959374,0.719298245614,0.0382801226227,8;5;2;2;1;1,0.105263157895,0.905263157895,2,0,1.0,0.0,False,4,H1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,VFuaQ6m2Qom,0.1,20,1,0,0,19,6,4,2,2,0.105263157895,0.894736842105,0.421052631579,3.64646464646,2.16320959374,0.719298245614,0.0382801226227,8;5;2;2;1;1,0.105263157895,0.905263157895,1,1,1.0,0.0,False,4,H1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,VFuaQ6m2Qom,0.125,20,1,0,0,19,5,4,1,2,0.0526315789474,0.947368421053,0.473684210526,3.13913043478,1.92482406674,0.719298245614,0.0409992494907,9;5;2;2;1,0.0526315789474,0.956937799043,1,0,1.0,0.0,False,4,H1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,VFuaQ6m2Qom,0.15,20,1,0,0,19,5,4,1,2,0.0526315789474,0.947368421053,0.473684210526,3.13913043478,1.92482406674,0.719298245614,0.0409992494907,9;5;2;2;1,0.0526315789474,0.956937799043,1,0,1.0,0.0,False,4,H1
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,VFuaQ6m2Qom,0.2,20,1,0,0,19,5,4,1,2,0.0526315789474,0.947368421053,0.473684210526,3.13913043478,1.92482406674,0.719298245614,0.0409992494907,9;5;2;2;1,0.0526315789474,0.956937799043,1,0,1.0,0.0,False,4,H1
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,uNb9QFRL6hY,0.05,23,0,0,0,23,8,2,6,0,0.260869565217,0.739130434783,0.521739130435,3.02285714286,2.14837976114,0.0,0.0231620990318,12;5;1;1;1;1;1;1,0.260869565217,0.743788819876,4,2,0.928700828157,0.966666666667,True,1,M1
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,uNb9QFRL6hY,0.075,23,0,0,0,23,7,1,6,0,0.260869565217,0.739130434783,0.739130434783,1.79322033898,1.50239376905,0.0,0.0280655991246,17;1;1;1;1;1;1,0.260869565217,0.743788819876,1,5,0.997442455243,0.0,False,1,M1
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,uNb9QFRL6hY,0.1,23,0,0,0,23,4,3,1,2,0.0434782608696,0.95652173913,0.782608695652,1.58858858859,1.08622934623,0.0,0.0305360896987,18;2;2;1,0.0434782608696,0.963210702341,1,0,0.915065441381,0.972222222222,True,1,M1
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,uNb9QFRL6hY,0.125,23,0,0,0,23,3,2,1,1,0.0434782608696,0.95652173913,0.869565217391,1.30617283951,0.678407090938,0.0,0.035028935151,20;2;1,0.0434782608696,0.960144927536,1,0,1.0,0.925,True,1,M1
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,uNb9QFRL6hY,0.15,23,0,0,0,23,2,1,1,0,0.0434782608696,0.95652173913,0.95652173913,1.09072164948,0.258018668665,0.0,0.0378402169775,22;1,0.0434782608696,1.0,1,0,1.0,0.0,False,1,M1
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,uNb9QFRL6hY,0.2,23,0,0,0,23,2,1,1,0,0.0434782608696,0.95652173913,0.95652173913,1.09072164948,0.258018668665,0.0,0.0378402169775,22;1,0.0434782608696,1.0,0,1,1.0,0.0,False,1,M1
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,uNb9QFRL6hY,0.05,23,0,0,0,23,11,5,6,2,0.260869565217,0.739130434783,0.260869565217,7.05333333333,3.12075054273,0.624505928854,0.0194275255775,6;4;3;2;2;1;1;1;1;1;1,0.260869565217,0.746803069054,4,2,0.961697722567,0.833333333333,True,2,M2
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,uNb9QFRL6hY,0.075,23,0,0,0,23,6,4,2,1,0.0869565217391,0.913043478261,0.391304347826,3.64827586207,2.13505339216,0.624505928854,0.0397319751544,9;7;3;2;1;1,0.0869565217391,0.916824196597,2,0,0.95652173913,0.259259259259,False,3,M2
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,uNb9QFRL6hY,0.1,23,0,0,0,23,6,4,2,1,0.0869565217391,0.913043478261,0.391304347826,3.64827586207,2.13505339216,0.624505928854,0.0397319751544,9;7;3;2;1;1,0.0869565217391,0.916824196597,1,1,0.974637681159,0.703703703704,True,3,M2
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,uNb9QFRL6hY,0.125,23,0,0,0,23,5,4,1,1,0.0434782608696,0.95652173913,0.391304347826,3.32704402516,1.94598749888,0.624505928854,0.0440754131083,9;8;3;2;1,0.0434782608696,0.960144927536,1,0,0.90744400527,0.962962962963,True,3,M2
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,uNb9QFRL6hY,0.15,23,0,0,0,23,4,3,1,1,0.0434782608696,0.95652173913,0.521739130435,2.48356807512,1.52271195568,0.624505928854,0.0517752205726,12;8;2;1,0.0434782608696,0.960144927536,1,0,1.0,0.0,False,3,M2
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,uNb9QFRL6hY,0.2,23,0,0,0,23,4,3,1,1,0.0434782608696,0.95652173913,0.521739130435,2.48356807512,1.52271195568,0.624505928854,0.0517752205726,12;8;2;1,0.0434782608696,0.960144927536,1,0,1.0,0.0,False,3,M2
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,uNb9QFRL6hY,0.05,23,0,0,0,23,14,5,9,2,0.391304347826,0.608695652174,0.173913043478,10.3725490196,3.58835434717,0.845849802372,0.0307407418798,4;3;3;2;2;1;1;1;1;1;1;1;1;1,0.391304347826,0.616444253121,7,2,0.985507246377,0.0,False,4,H2
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,uNb9QFRL6hY,0.075,23,0,0,0,23,9,6,3,2,0.130434782609,0.869565217391,0.217391304348,6.87012987013,2.94249552229,0.845849802372,0.0359195741606,5;4;4;3;2;2;1;1;1,0.130434782609,0.87701863354,3,0,1.0,0.0,False,5,H2
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,uNb9QFRL6hY,0.1,23,0,0,0,23,8,5,3,0,0.130434782609,0.869565217391,0.217391304348,6.22352941176,2.76858247881,0.845849802372,0.0374580861185,5;4;4;4;3;1;1;1,0.130434782609,0.875236294896,3,0,1.0,0.0,False,5,H2
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,uNb9QFRL6hY,0.125,23,0,0,0,23,8,5,3,0,0.130434782609,0.869565217391,0.217391304348,6.22352941176,2.76858247881,0.845849802372,0.0374580861185,5;4;4;4;3;1;1;1,0.130434782609,0.875236294896,2,1,1.0,0.0,False,5,H2
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,uNb9QFRL6hY,0.15,23,0,0,0,23,8,5,3,0,0.130434782609,0.869565217391,0.217391304348,6.22352941176,2.76858247881,0.845849802372,0.0374580861185,5;4;4;4;3;1;1;1,0.130434782609,0.875236294896,2,1,0.989130434783,0.0,False,5,H2
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,uNb9QFRL6hY,0.2,23,0,0,0,23,7,5,2,0,0.0869565217391,0.913043478261,0.217391304348,5.68817204301,2.61164158862,0.845849802372,0.0484334585171,5;5;4;4;3;1;1,0.0869565217391,0.920289855072,2,0,1.0,0.0,False,5,H2
