image_id,condition,building,cut,n_observed,n_excluded,n_reviewed_retained,n_imputed_retained,n_valid,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts,orders_x,actual_n,full_p_any,full_onset_median_conditional,full_p_by_2,full_requested_2_exceeds_observation,full_p_by_3,full_requested_3_exceeds_observation,full_p_by_4,full_requested_4_exceeds_observation,full_p_by_5,full_requested_5_exceeds_observation,full_p_by_6,full_requested_6_exceeds_observation,full_p_by_7,full_requested_7_exceeds_observation,full_p_by_8,full_requested_8_exceeds_observation,full_p_by_10,full_requested_10_exceeds_observation,full_p_by_12,full_requested_12_exceeds_observation,full_p_by_15,full_requested_15_exceeds_observation,full_p_by_18,full_requested_18_exceeds_observation,full_p_by_19,full_requested_19_exceeds_observation,core10_p_any,core10_onset_median_conditional,core10_p_by_2,core10_requested_2_exceeds_observation,core10_p_by_3,core10_requested_3_exceeds_observation,core10_p_by_4,core10_requested_4_exceeds_observation,core10_p_by_5,core10_requested_5_exceeds_observation,core10_p_by_6,core10_requested_6_exceeds_observation,core10_p_by_7,core10_requested_7_exceeds_observation,core10_p_by_8,core10_requested_8_exceeds_observation,core10_p_by_10,core10_requested_10_exceeds_observation,core10_p_by_12,core10_requested_12_exceeds_observation,core10_p_by_15,core10_requested_15_exceeds_observation,core10_p_by_18,core10_requested_18_exceeds_observation,core10_p_by_19,core10_requested_19_exceeds_observation,core15_p_any,core15_onset_median_conditional,core15_p_by_2,core15_requested_2_exceeds_observation,core15_p_by_3,core15_requested_3_exceeds_observation,core15_p_by_4,core15_requested_4_exceeds_observation,core15_p_by_5,core15_requested_5_exceeds_observation,core15_p_by_6,core15_requested_6_exceeds_observation,core15_p_by_7,core15_requested_7_exceeds_observation,core15_p_by_8,core15_requested_8_exceeds_observation,core15_p_by_10,core15_requested_10_exceeds_observation,core15_p_by_12,core15_requested_12_exceeds_observation,core15_p_by_15,core15_requested_15_exceeds_observation,core15_p_by_18,core15_requested_18_exceeds_observation,core15_p_by_19,core15_requested_19_exceeds_observation,core20_p_any,core20_onset_median_conditional,core20_p_by_2,core20_requested_2_exceeds_observation,core20_p_by_3,core20_requested_3_exceeds_observation,core20_p_by_4,core20_requested_4_exceeds_observation,core20_p_by_5,core20_requested_5_exceeds_observation,core20_p_by_6,core20_requested_6_exceeds_observation,core20_p_by_7,core20_requested_7_exceeds_observation,core20_p_by_8,core20_requested_8_exceeds_observation,core20_p_by_10,core20_requested_10_exceeds_observation,core20_p_by_12,core20_requested_12_exceeds_observation,core20_p_by_15,core20_requested_15_exceeds_observation,core20_p_by_18,core20_requested_18_exceeds_observation,core20_p_by_19,core20_requested_19_exceeds_observation,full_tail_no_gate,core_tail_10,core_tail_15,core_tail_20,late_quarter_new,late_half_new,late_quarter_structure,late_quarter_repartition,half_tv_all,half_tv_core,expert_tag,comment_json,selection_record_json,display_group,group_comment,source,use,previous_grade,previous_status,previous_cdf_by19,previous_any,scene_category,main_function_primary,room_id,room_status,draft_grade,draft_reason,strict_process_grade,strict_process_reason,singleton_count_limit,valid_only,semantic_status,evidence_qualifier,nearby_cuts_evaluated,nearby_all_same_grade,nearby_grade_pattern,nearby_same_assigned_grade,user_final_grade,user_decision_reason,user_cluster_semantics,user_singleton_assessment,requested_h,observed_k,horizon_shorter_than_requested,orders_y,n_orders_supported_at_k,p_all_modes_seen_twice_exact,p_all_modes_seen_twice_replay,p_stable_core10_unconditional,p_stable_core10_given_support,p_stable_core15_unconditional,p_stable_core15_given_support,p_stable_core20_unconditional,p_stable_core20_given_support,rare_mode_adjusted_medium,min_sub80_jaccard,min_sub80_prob_retains_two,review_draft_grade,review_draft_reason,near_order_fraction_boundary
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,0.1,24,0,0,0,24,7,2,5,1,0.208333333333,0.791666666667,0.708333333333,1.93288590604,1.60634298817,0.235507246377,0.0227007242427,17;2;1;1;1;1;1,0.208333333333,0.795227920228,5,0,1,0,False,2,200,24,0.67,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.08,False,0.14,False,0.92,17,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.03,False,0.155,False,0.35,False,0.56,False,0.61,False,0.92,17,0,False,0,False,0,False,0,False,0,False,0,False,0.01,False,0.135,False,0.235,False,0.35,False,0.56,False,0.61,False,0.92,17,0,False,0,False,0,False,0,False,0,False,0.01,False,0.035,False,0.155,False,0.24,False,0.35,False,0.56,False,0.61,False,0.315,0.765,0.765,0.765,0.228333333333,0.239166666667,0.0450000000001,0,0.16625,0.0561540309106,,,,,,,,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,通行与连接,sleep,supported_component:7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,supported_component,,singleton_rich_boundary;not_automatically_difficult,,singleton_rich_boundary;not_automatically_difficult,3,False,requires_local_review,none_of_these_flags,3,True,;;,False,,,,,19,19,False,200,122,0.619565217391,0.61,0.61,1,0.61,1,0.61,1,False,1,0.64,,singleton_rich_boundary;not_automatically_difficult,False
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,B6ByNegPMKs,0.1,24,0,0,0,24,15,5,10,4,0.416666666667,0.583333333333,0.25,9.29032258065,3.60538854221,0.159420289855,0.0606399566131,6;2;2;2;2;1;1;1;1;1;1;1;1;1;1,0.416666666667,0.597338935574,9,1,1,0,False,1,200,24,0.17,23,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.61,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.01,False,0.025,False,0.61,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.01,False,0.025,False,0.61,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.015,False,0.03,False,0,0.165,0.165,0.17,0.4175,0.44375,0.00583333333334,0.000170014051896,0.31875,0.208541666667,,,,,,,,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,通行与连接,circulation,unresolved:B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,not_in_supported_component,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,3,False,requires_local_review,none_of_these_flags,3,True,difficult_candidate;difficult_candidate;difficult_candidate,True,,,,,19,19,False,200,13,0.102625635234,0.065,0.025,0.384615384615,0.025,0.384615384615,0.03,0.461538461538,False,1,0.555,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,False
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,UwV83HsGsw3,0.1,24,0,0,0,24,8,3,5,1,0.208333333333,0.791666666667,0.583333333333,2.69158878505,2.08255181693,0.235507246377,0.0490592565359,14;3;2;1;1;1;1;1,0.208333333333,0.795227920228,2,3,0.987179487179,0.690476190476,True,2,200,24,0.6,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.01,False,0.04,False,0.84,20,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.075,False,0.265,False,0.375,False,0.84,20,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.035,False,0.11,False,0.27,False,0.375,False,0.84,20,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.01,False,0.055,False,0.12,False,0.27,False,0.375,False,0.17,0.55,0.55,0.55,0.0925000000001,0.109583333333,0.0466666666668,0.00714971029902,0.189375,0.101627003114,,,,,,,,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,卫浴,bathroom,unresolved:UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,not_in_supported_component,,singleton_rich_boundary;not_automatically_difficult,,singleton_rich_boundary;not_automatically_difficult,3,False,requires_local_review,weak_same_point_cluster_separation,3,False,difficult_candidate;;,False,,,,,19,19,False,200,111,0.54714850367,0.555,0.375,0.675675675676,0.375,0.675675675676,0.375,0.675675675676,False,0.970888888889,0.62,,singleton_rich_boundary;not_automatically_difficult,False
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,b8cTxDM8gDG,0.1,24,0,0,0,24,15,5,10,3,0.416666666667,0.583333333333,0.208333333333,10.2857142857,3.65310716836,0.728260869565,0.0485658494263,5;3;2;2;2;1;1;1;1;1;1;1;1;1;1,0.416666666667,0.593926553672,9,1,1,0,False,4,200,24,0.29,23,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.71,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.05,False,0.075,False,0.71,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.105,False,0.145,False,0.71,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.01,False,0.105,False,0.165,False,0.005,0.335,0.4,0.4,0.405,0.451666666667,0.00500000000001,5.4466230937e-06,0.335208333333,0.220547619048,,,,,,,,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,通行与连接,circulation,supported_component:b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,supported_component,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,3,False,requires_local_review,none_of_these_flags,3,True,difficult_candidate;difficult_candidate;difficult_candidate,True,,,,,19,19,False,200,38,0.1654432524,0.19,0.075,0.394736842105,0.145,0.763157894737,0.165,0.868421052632,False,1,0.575,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,False
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual,e9zR4mvMWw7,0.1,24,0,0,0,24,9,4,5,0,0.208333333333,0.791666666667,0.291666666667,5.53846153846,2.75096198276,0.663043478261,0.0564426956487,7;5;4;3;1;1;1;1;1,0.208333333333,0.79609929078,4,1,1,0.55,True,3,200,24,0.765,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.015,False,0.08,False,0.96,19,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.025,False,0.115,False,0.37,False,0.485,False,0.96,18,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.02,False,0.09,False,0.21,False,0.485,False,0.605,False,0.96,18,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.025,False,0.115,False,0.24,False,0.52,False,0.63,False,0.335,0.765,0.825,0.825,0.184166666667,0.195416666667,0,0.000306185472594,0.234791666667,0.157321637427,,,,,,,,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,通行与连接,circulation,supported_component:e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654,supported_component,,singleton_rich_boundary;not_automatically_difficult,,singleton_rich_boundary;not_automatically_difficult,3,False,requires_local_review,weak_same_point_cluster_separation,3,False,difficult_candidate;;,False,,,,,19,19,False,200,172,0.880858272163,0.86,0.485,0.563953488372,0.605,0.703488372093,0.63,0.732558139535,False,0.986934673367,0.895,,singleton_rich_boundary;not_automatically_difficult,False
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,q9vSo1VnCiC,0.1,24,0,1,1,24,17,5,12,4,0.5,0.5,0.166666666667,13.0909090909,3.91829583405,0.869565217391,0.0715907405979,4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1,0.5,0.514084507042,10,2,0.977272727273,0.5,False,4,200,24,0.185,23,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.71,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.015,False,0.05,False,0.71,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.025,False,0.06,False,0.71,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.025,False,0.06,False,0,0.245,0.275,0.275,0.425,0.48,0.0950000000001,0.000879074284175,0.353958333333,0.230922619048,,,,,,,,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,通行与连接,sleep,supported_component:q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,overlap_with_pending_or_unsupported,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,3,False,requires_local_review,none_of_these_flags,3,True,difficult_candidate;difficult_candidate;difficult_candidate,True,,,,,19,19,False,200,15,0.0962732919255,0.075,0.05,0.666666666667,0.06,0.8,0.06,0.8,False,0.89406779661,0.59,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,False
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual,rPc6DW4iMge,0.1,24,0,0,0,24,11,3,8,1,0.333333333333,0.666666666667,0.458333333333,4.05633802817,2.71793602959,0.760869565217,0.049070778639,11;3;2;1;1;1;1;1;1;1;1,0.333333333333,0.670250896057,7,1,0.986111111111,0,False,3,200,24,0.525,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.87,20,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.01,False,0.055,False,0.245,False,0.36,False,0.87,20,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.02,False,0.085,False,0.335,False,0.43,False,0.87,20,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.01,False,0.03,False,0.12,False,0.34,False,0.43,False,0.145,0.64,0.64,0.64,0.281666666667,0.316666666667,0.101666666667,0.000350810115785,0.26125,0.12686525974,,,,,,,,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,卫浴,bathroom,supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,supported_component,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,3,False,requires_local_review,none_of_these_flags,3,True,difficult_candidate;difficult_candidate;difficult_candidate,True,,,,,19,19,False,200,105,0.54714850367,0.525,0.36,0.685714285714,0.43,0.819047619048,0.43,0.819047619048,False,0.965391621129,0.63,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,False
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,uNb9QFRL6hY,0.1,24,0,0,0,24,14,5,9,2,0.375,0.625,0.166666666667,9.93103448276,3.5535088548,0.731884057971,0.0453387964541,4;4;3;2;2;1;1;1;1;1;1;1;1;1,0.375,0.632109004739,9,0,1,0.5,False,4,200,24,0.505,23,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.84,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.045,False,0.14,False,0.84,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.01,False,0.095,False,0.215,False,0.84,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.01,False,0.105,False,0.22,False,0.04,0.46,0.535,0.535,0.385,0.419583333333,0.0408333333334,0.00046132488083,0.316666666667,0.217553751804,,,,,,,,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,卫浴,bathroom,supported_component:uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,overlap_with_pending_or_unsupported,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,3,False,requires_local_review,none_of_these_flags,3,True,difficult_candidate;difficult_candidate;difficult_candidate,True,,,,,19,19,False,200,56,0.290796160361,0.28,0.14,0.5,0.215,0.767857142857,0.22,0.785714285714,False,0.990427350427,0.585,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,False
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,uNb9QFRL6hY,0.1,23,0,0,0,23,14,6,8,5,0.347826086957,0.652173913043,0.217391304348,9.98113207547,3.58401237021,0.758893280632,0.0466278754968,5;2;2;2;2;2;1;1;1;1;1;1;1;1,0.347826086957,0.670874240299,8,0,0.984126984127,0.5,False,3,200,23,0.225,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.59,22,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.02,False,0.055,False,0.59,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.03,False,0.09,False,0.59,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.035,False,0.095,False,0,0.135,0.185,0.185,0.381666666667,0.436666666667,0.0925000000001,0.000440105202102,0.336205533597,0.246016955267,,,,,,,,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,卫浴,bathroom,supported_component:uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,overlap_with_pending_or_unsupported,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,3,False,requires_local_review,none_of_these_flags,3,True,difficult_candidate;difficult_candidate;difficult_candidate,True,,,,,19,19,False,200,20,0.0801806888763,0.1,0.055,0.55,0.09,0.9,0.095,0.95,False,0.929824561404,0.52,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,False
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,manual,uNb9QFRL6hY,0.1,23,0,0,0,23,11,5,6,1,0.260869565217,0.739130434783,0.217391304348,7.66666666667,3.17054389176,0.837944664032,0.060917625066,5;4;3;3;2;1;1;1;1;1;1,0.260869565217,0.743024010383,3,3,0.985507246377,0,False,5,200,23,0.595,21,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.02,False,0.85,20,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.015,False,0.155,False,0.315,False,0.85,19,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.045,False,0.31,False,0.43,False,0.85,19,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0.005,False,0.06,False,0.33,False,0.445,False,0.16,0.485,0.56,0.565,0.150833333333,0.186666666667,0.0441666666667,0.000523880631466,0.3004743083,0.217967808335,困难,"{""note"": ""这可能不太收敛""}","{""group"": ""G184"", ""image_id"": ""uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d"", ""number"": 60, ""selection"": ""采用"", ""collection"": ""仅复用历史"", ""role"": ""待定"", ""target_band"": ""未定"", ""difficulty"": ""困难"", ""note"": ""这可能不太收敛"", ""legacy_review"": null}",G184,这个房间的构造本身就较难,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,卫浴,bathroom,supported_component:uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98,overlap_with_pending_or_unsupported,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,3,False,requires_local_review,none_of_these_flags,3,False,difficult_candidate;difficult_candidate;,False,,,,,19,19,False,200,116,0.560813099944,0.58,0.315,0.543103448276,0.43,0.741379310345,0.445,0.76724137931,False,0.946296296296,0.64,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,False
