image_id,building,condition,target,design,information,method,room_id,room_label_structure,source_count,source_ids,actual_neighbor_id,source_distinct_buildings,target_n_valid,source_min_n_valid,source_max_n_valid,truth,status,loss,prediction,p_simple,p_medium,p_difficult,correct,rps,neighbor_cosine,source_model_available_count,neighbor_selection_is_degenerate,unequal_observation_horizons,target_source_n_ratio
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,manual,candidate_v2,supported_same_room,source_history_allowed,dinov3__block12__panorama_mean,supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,mixed,1,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,1,5,24,24,1,ok,2,2,0,0,1,0,0.5,0.982104107164,1,True,True,0.208333333333
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,manual,candidate_v2,supported_same_room,source_history_allowed,dinov3__block12__panorama_mean,supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,mixed,1,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,1,24,5,5,2,ok,2,1,0,1,0,0,0.5,0.982104107164,1,True,True,4.8
rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge,manual,candidate_v2,supported_same_room,source_history_allowed,dinov3__block12__panorama_mean,supported_component:rPc6DW4iMge_2c16cbd610cf4e1b92b2830f51c07e32,mixed,1,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,1,5,24,24,0,ok,2,1,0,1,0,0,0.5,0.971906595483,1,True,True,0.208333333333
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,manual,candidate_v2,supported_same_room,source_history_allowed,dinov3__block12__panorama_mean,supported_component:rPc6DW4iMge_2c16cbd610cf4e1b92b2830f51c07e32,mixed,1,rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge_4350d36797324601adba7351d09602d2,1,24,5,5,1,ok,2,0,1,0,0,0,0.5,0.971906595483,1,True,True,4.8
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,manual,candidate_v2,supported_same_room,source_history_allowed,dinov3__block12__panorama_mean,supported_component:uNb9QFRL6hY_14f2a8bc76f24d2ea495369bfde2f653,mixed,1,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,1,6,24,24,0,ok,2,1,0,1,0,0,0.5,0.954607941076,1,True,True,0.25
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,manual,candidate_v2,supported_same_room,source_history_allowed,dinov3__block12__panorama_mean,supported_component:uNb9QFRL6hY_00b4950b469b4520b29f895aa029419c,mixed,1,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,1,5,23,23,0,ok,2,1,0,1,0,0,0.5,0.971312118815,1,True,True,0.217391304348
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,manual,candidate_v2,supported_same_room,source_history_allowed,dinov3__block12__panorama_mean,supported_component:uNb9QFRL6hY_00b4950b469b4520b29f895aa029419c,mixed,1,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,1,23,5,5,1,ok,2,0,1,0,0,0,0.5,0.971312118815,1,True,True,4.6
uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,uNb9QFRL6hY,manual,candidate_v2,supported_same_room,source_history_allowed,dinov3__block12__panorama_mean,supported_component:uNb9QFRL6hY_14f2a8bc76f24d2ea495369bfde2f653,mixed,1,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,1,24,6,6,1,ok,2,0,1,0,0,0,0.5,0.954607941076,1,True,True,4
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm,manual,candidate_v2,supported_same_room,source_history_allowed,dinov3__block12__panorama_mean,supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,uniform,1,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,1,23,24,24,2,ok,0,2,0,0,1,1,0,0.952632697203,1,True,True,0.958333333333
yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm,manual,candidate_v2,supported_same_room,source_history_allowed,dinov3__block12__panorama_mean,supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,uniform,1,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,1,24,23,23,2,ok,0,2,0,0,1,1,0,0.952632697203,1,True,True,1.04347826087
