condition,target,design,method,subset,images,buildings,components,image_loss,building_macro_loss,accuracy
manual,candidate_v2,all_other_building,dinov3__block12__faces_global,all_available,61,15,16,1.2131147541,1.14111111111,0.393442622951
manual,candidate_v2,all_other_building,dinov3__block12__panorama_mean,all_available,61,15,16,1.14754098361,1.08851851852,0.426229508197
manual,candidate_v2,all_other_building,dinov3__block3__panorama_mean,all_available,61,15,16,1.18032786885,1.24185185185,0.409836065574
manual,candidate_v2,all_other_building,dinov3__cls__panorama,all_available,61,15,16,1.31147540984,1.25222222222,0.344262295082
manual,candidate_v2,all_other_building,source_frequency_or_median,all_available,61,15,16,0.659883813705,0.620702563994,0.360655737705
manual,candidate_v2,all_other_building,uniform_random_source_expectation,all_available,61,15,16,1.29223645876,1.25505012943,0.353881770618
manual,candidate_v2,same_building_diagnostic,dinov3__block12__faces_global,all_available,57,11,14,1.15789473684,1.18737373737,0.421052631579
manual,candidate_v2,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,57,11,14,1.12280701754,1.15606060606,0.438596491228
manual,candidate_v2,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,57,11,14,1.08771929825,1.12626262626,0.456140350877
manual,candidate_v2,same_building_diagnostic,dinov3__cls__panorama,all_available,57,11,14,1.15789473684,1.18484848485,0.421052631579
manual,candidate_v2,same_building_diagnostic,source_frequency_or_median,all_available,57,11,14,0.81109143875,0.888406522639,0.40350877193
manual,candidate_v2,same_building_diagnostic,uniform_random_source_expectation,all_available,57,11,14,1.27928913192,1.22399317854,0.36035543404
manual,candidate_v2,same_mainspace_other_building,dinov3__block12__faces_global,all_available,59,14,16,1.42372881356,1.44606782107,0.28813559322
manual,candidate_v2,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,59,14,16,1.22033898305,1.14657287157,0.389830508475
manual,candidate_v2,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,59,14,16,1.25423728814,1.25468975469,0.372881355932
manual,candidate_v2,same_mainspace_other_building,dinov3__cls__panorama,all_available,59,14,16,1.22033898305,1.18654401154,0.389830508475
manual,candidate_v2,same_mainspace_other_building,source_frequency_or_median,all_available,59,14,16,0.75465341892,0.752924712694,0.35593220339
manual,candidate_v2,same_mainspace_other_building,uniform_random_source_expectation,all_available,59,14,16,1.23601643178,1.2486095254,0.38199178411
manual,candidate_v2,same_scene_other_building,dinov3__block12__faces_global,all_available,57,14,16,1.36842105263,1.36944444444,0.315789473684
manual,candidate_v2,same_scene_other_building,dinov3__block12__panorama_mean,all_available,57,14,16,1.26315789474,1.14246031746,0.368421052632
manual,candidate_v2,same_scene_other_building,dinov3__block3__panorama_mean,all_available,57,14,16,1.26315789474,1.24166666667,0.368421052632
manual,candidate_v2,same_scene_other_building,dinov3__cls__panorama,all_available,57,14,16,1.40350877193,1.31706349206,0.298245614035
