condition,axis,n_people,metric,image_id,building,floor_boundary,scene_category,main_function_primary,doorway,delta
manual,log_time,4,point_count_disagreement,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,present,复合／待定,unknown,否,0
manual,log_time,4,point_count_disagreement,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,present,通行与连接,work,否,0
manual,log_time,4,point_count_disagreement,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,present,通行与连接,circulation,否,-0.5
manual,log_time,4,point_count_disagreement,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,present,通行与连接,circulation,否,-0.5
manual,log_time,4,point_count_disagreement,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,partial,卫浴,bathroom,否,0
manual,log_time,4,point_count_disagreement,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,partial,卧室,sleep,否,0
manual,log_time,4,point_count_disagreement,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,partial,通行与连接,bathroom,疑似,0
manual,log_time,4,point_count_disagreement,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,partial,卫浴,bathroom,否,0
manual,log_time,4,point_count_disagreement,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,partial,卫浴,bathroom,否,0
manual,log_time,4,point_count_disagreement,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,partial,卫浴,bathroom,否,0
manual,log_time,4,point_count_disagreement,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,partial,卫浴,bathroom,否,0
manual,log_time,4,point_count_disagreement,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,present,通行与连接,circulation,确认,0
manual,log_time,4,point_count_disagreement,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,present,通行与连接,circulation,疑似,-0.166666666666
