image_id,condition,building,family,a_workers,b_workers,a_n,b_n,a_supported,b_supported,pooled_supported,a_core_tail,b_core_tail,pooled_core_tail,pooled_late_new,description
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,B,W001;W012;W029;W031;W034;W035,W002;W006;W008;W010;W011;W013;W014;W015;W017;W018;W021;W027;W028;W030;W032;W033;W036;W037,6,18,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,QB,W001;W012;W029;W030;W031;W034;W035;W037,W002;W006;W008;W010;W011;W013;W014;W015;W017;W018;W021;W027;W028;W032;W033;W036,8,16,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,QSB,W001;W012;W029;W030;W031;W034;W035;W037,W002;W006;W008;W010;W011;W013;W014;W015;W017;W018;W021;W027;W028;W032;W033;W036,8,16,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,QT,W008;W028;W029;W032;W033;W034;W035;W036;W037,W001;W002;W006;W010;W011;W012;W013;W015;W017;W018;W021;W027;W030;W031,9,14,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,QTB,W001;W012;W029;W030;W031;W034;W035,W002;W006;W008;W010;W011;W013;W015;W017;W018;W021;W027;W028;W032;W033;W036;W037,7,16,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,QTS,W028;W029;W030;W032;W033;W035;W036;W037,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027;W031;W034,8,15,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,QTSB,W001;W012;W029;W030;W031;W034;W035;W037,W002;W006;W008;W010;W011;W013;W015;W017;W018;W021;W027;W028;W032;W033;W036,8,15,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,S,W028;W029;W030;W037,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W031;W032;W033;W034;W035;W036,4,20,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,SB,W002;W006;W008;W010;W011;W013;W014;W015;W017;W018;W021;W027;W028;W032;W033;W036,W001;W012;W029;W030;W031;W034;W035;W037,16,8,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,T,W001;W002;W006;W010;W011;W012;W013;W017;W018;W021;W030,W008;W015;W027;W028;W029;W031;W032;W033;W034;W035;W036;W037,11,12,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,TB,W001;W012;W029;W030;W031;W034;W035,W002;W006;W008;W010;W011;W013;W015;W017;W018;W021;W027;W028;W032;W033;W036;W037,7,16,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,TS,W001;W002;W006;W010;W012;W013;W017;W018;W021,W008;W011;W015;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9,14,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,TSB,W001;W012;W028;W029;W030;W031;W032;W034;W035;W037,W002;W006;W008;W010;W011;W013;W015;W017;W018;W021;W027;W033;W036,10,13,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,quality_time_edit,W001;W012;W029;W030;W031;W034;W035,W002;W006;W008;W010;W011;W013;W015;W017;W018;W021;W027;W028;W032;W033;W036;W037,7,16,1,1,1,1,1,1,0,two_uniform_types_pooled_uniform
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,B,W001;W012;W029;W031;W034;W035,W002;W006;W008;W010;W011;W013;W014;W015;W017;W018;W021;W027;W028;W030;W032;W033;W036;W037,6,18,1,2,2,0.625,0.625,0.833333333333,0.256944444444,other
