condition,target,new,baseline,images,groups,delta,macro_delta,lo,hi
manual,candidate_v2,feedback_counts,constant,60,15,-0.0344563623342,-0.0293609998836,-0.0835594832213,0.0144049312774
manual,candidate_v2,feedback_all,constant,60,15,-0.0311779032659,-0.0176230413623,-0.0613286636118,-0.000869421689313
manual,candidate_v2,feedback_all,feedback_counts,60,15,0.00327845906827,0.0117379585213,-0.0407195256434,0.0592354013886
manual,candidate_v2,selected_counts_dino,selected_counts_existing,60,15,-0.013573009285,-0.0184513050256,-0.0856481978043,0.0476672758079
manual,candidate_v2,main_plus::feedback_all,constant,60,15,-0.0489476958883,-0.0267531497915,-0.0883354750003,-0.00929395506832
manual,candidate_v2,selected_dino,constant,61,15,0.11947488504,0.138550915636,0.0378592163391,0.239000204273
manual,core10_p_by_19,feedback_counts,constant,131,20,0.00163126048727,-0.000632665789326,-0.0110234665679,0.0164729464258
manual,core10_p_by_19,feedback_all,constant,131,20,0.000184804973206,-0.00584682866116,-0.013821419938,0.0135414892586
manual,core10_p_by_19,feedback_all,feedback_counts,131,20,-0.00144645551407,-0.00521416287183,-0.0189997962204,0.0141174193876
manual,core10_p_by_19,selected_counts_dino,selected_counts_existing,131,20,0.0140119847272,0.018933013763,-0.0224482493144,0.0566188971432
manual,core10_p_by_19,main_plus::feedback_all,constant,131,20,-0.00247595747678,-0.000839590074421,-0.0156628106866,0.0138367972984
manual,core10_p_by_19,selected_dino,constant,133,20,0.0184639536798,0.0293584181264,-0.0165674497003,0.0629822932706
manual,core_tail_10,feedback_counts,constant,131,20,-0.0105729495471,-0.00111536850674,-0.0221055710116,0.00156662995026
manual,core_tail_10,feedback_all,constant,131,20,-0.0157065122104,-0.0140205722175,-0.0292586169929,-0.00353572559383
manual,core_tail_10,feedback_all,feedback_counts,131,20,-0.00513356266331,-0.0129052037108,-0.0181527804143,0.00469323309802
manual,core_tail_10,selected_counts_dino,selected_counts_existing,131,20,-0.00195499252666,-0.0231920126379,-0.0291756848097,0.0219847221622
manual,core_tail_10,main_plus::feedback_all,constant,131,20,-0.0154922449468,-0.0111830536275,-0.0303992394504,-0.00200275809696
manual,core_tail_10,selected_dino,constant,133,20,0.0141752187061,0.0183891418066,-0.0130766344039,0.0381668157836
manual,full_p_by_8,feedback_counts,constant,131,20,0.00576734522857,0.0215287169521,-0.0810444939393,0.0691319637746
manual,full_p_by_8,feedback_all,constant,131,20,-0.00282060144131,-0.00844414628695,-0.0982354082466,0.0675952086655
manual,full_p_by_8,feedback_all,feedback_counts,131,20,-0.00858794666988,-0.0299728632391,-0.0303531827263,0.00825254331063
manual,full_p_by_8,selected_counts_dino,selected_counts_existing,131,20,0.0119494558285,0.0695844885725,-0.029750406787,0.0659832349961
manual,full_p_by_8,main_plus::feedback_all,constant,131,20,-0.0262292794181,-0.0130035422703,-0.114020989798,0.0397234437154
manual,full_p_by_8,selected_dino,constant,133,20,0.0295494921915,0.0591900759232,-0.0446271018086,0.097904507039
manual,grade_v1,feedback_counts,constant,26,12,-0.235943736186,-0.175594812732,-0.342542134453,-0.0686652510436
manual,grade_v1,feedback_all,constant,26,12,-0.238701328497,-0.174130354277,-0.374899815095,-0.0230916622096
manual,grade_v1,feedback_all,feedback_counts,26,12,-0.00275759231146,0.0014644584556,-0.189356476823,0.187255426703
manual,grade_v1,selected_counts_dino,selected_counts_existing,26,12,-0.0527070749588,-0.133280776322,-0.267878642817,0.11755489606
manual,grade_v1,main_plus::feedback_all,constant,26,12,-0.212661534157,-0.157239798959,-0.330704243256,-0.00702788127819
manual,grade_v1,selected_dino,constant,26,12,0.10280656636,0.0193444027321,-0.101669341863,0.280693647829
manual,half_tv_all,feedback_counts,constant,131,20,-0.00874367710207,-0.00372964260814,-0.0164511947499,0.000302593986054
manual,half_tv_all,feedback_all,constant,131,20,-0.0114959808246,-0.0160430271545,-0.0230161313601,-0.0012863688775
manual,half_tv_all,feedback_all,feedback_counts,131,20,-0.00275230372258,-0.0123133845464,-0.0121213755811,0.00471906065209
manual,half_tv_all,selected_counts_dino,selected_counts_existing,131,20,0.0103441241351,0.00341609005997,0.00135579694106,0.0186874419534
manual,half_tv_all,main_plus::feedback_all,constant,131,20,-0.00283183073421,-0.0033950832158,-0.0125447502406,0.00636136630644
manual,half_tv_all,selected_dino,constant,133,20,-0.00616972792248,-0.00892889562081,-0.0169851523969,0.00302234516915
manual,late_quarter_new,feedback_counts,constant,131,20,-0.0220927339329,-0.0161366131478,-0.0334536993355,-0.0114970460629
manual,late_quarter_new,feedback_all,constant,131,20,-0.0432451390856,-0.0381837397241,-0.058395597562,-0.0289452289656
manual,late_quarter_new,feedback_all,feedback_counts,131,20,-0.0211524051527,-0.0220471265764,-0.0355085345228,-0.00703612454687
manual,late_quarter_new,selected_counts_dino,selected_counts_existing,131,20,0.0109049250193,-0.010698799033,-0.0225013246308,0.0426932865317
manual,late_quarter_new,main_plus::feedback_all,constant,131,20,-0.0280661380267,-0.0250811690331,-0.0441648982672,-0.0123490177274
manual,late_quarter_new,selected_dino,constant,133,20,-0.0170479921954,-0.0229655540293,-0.0342368931425,-0.00131495437607
manual,singleton_share,feedback_counts,constant,185,22,0.00353584193164,0.0185179688014,-0.028391028437,0.0312767365218
manual,singleton_share,feedback_all,constant,185,22,0.0017235254968,0.0112310200082,-0.0324044724062,0.0310406662527
manual,singleton_share,feedback_all,feedback_counts,185,22,-0.00181231643485,-0.00728694879314,-0.0119448330802,0.00795246381639
manual,singleton_share,selected_counts_dino,selected_counts_existing,185,22,-0.0109632155629,0.0137219283239,-0.0314377080355,0.0131495707769
manual,singleton_share,main_plus::feedback_all,constant,185,22,0.0137518997174,0.0280536331116,-0.0199893077741,0.04286840218
manual,singleton_share,selected_dino,constant,187,22,0.037420418461,0.0339290161626,-0.0165724347731,0.0896358858935
manual,within_cluster_median,feedback_counts,constant,143,22,-0.000159388338859,-0.000182172320564,-0.000570720209425,0.000282043170772
manual,within_cluster_median,feedback_all,constant,143,22,-5.43114874362e-05,4.42282705179e-05,-0.000311388501307,0.000227498124662
manual,within_cluster_median,feedback_all,feedback_counts,143,22,0.000105076851422,0.000226400591082,-0.000365649291644,0.000616211658163
manual,within_cluster_median,selected_counts_dino,selected_counts_existing,143,22,0.0011479804288,0.0012810347314,0.000404474297936,0.00205733847359
manual,within_cluster_median,main_plus::feedback_all,constant,143,22,-0.000215943084949,-0.000218772669432,-0.000913423773862,0.000538108439433
manual,within_cluster_median,selected_dino,constant,145,22,-0.000713461728901,-0.00114831482862,-0.0018053862963,0.000400412713754
semi,candidate_v2,feedback_counts,constant,14,7,0.0227913788929,0.0449967461728,-0.00598960978456,0.0888572240605
semi,candidate_v2,feedback_all,constant,14,7,0.154809308469,0.281833359841,0.0178169849664,0.475852636508
semi,candidate_v2,feedback_all,feedback_counts,14,7,0.132017929576,0.236836613668,0.0045492854972,0.420028632746
semi,candidate_v2,selected_counts_dino,selected_counts_existing,14,7,0.165013086956,0.179707331432,-0.001232209397,0.380589482667
semi,candidate_v2,main_plus::feedback_all,constant,14,7,0.206660794448,0.0846852676601,-0.00711743059995,0.402103266631
semi,candidate_v2,selected_dino,constant,14,7,0.0682821466323,0.00379269935282,-0.108150188542,0.239746330073
semi,core10_p_by_19,feedback_counts,constant,42,12,-0.00155649517667,-0.00720949996853,-0.0219907591075,0.0136665679659
semi,core10_p_by_19,feedback_all,constant,42,12,0.00886680790828,-2.47381199286e-05,-0.0178676268296,0.0366686917141
semi,core10_p_by_19,feedback_all,feedback_counts,42,12,0.010423303085,0.0071847618486,-0.00762708286762,0.0425418024627
semi,core10_p_by_19,selected_counts_dino,selected_counts_existing,42,12,-0.0308578039805,-0.0292318630066,-0.0514680011118,-0.0127881453762
semi,core10_p_by_19,main_plus::feedback_all,constant,42,12,-0.00130604499911,-0.00235681194671,-0.0193930672279,0.0138858843057
semi,core10_p_by_19,selected_dino,constant,42,12,0.0269834251563,0.0263968546021,0.00278125998075,0.0507401893415
semi,core_tail_10,feedback_counts,constant,42,12,0.0346461277712,0.0247078721159,-0.000134763221549,0.0818004349106
semi,core_tail_10,feedback_all,constant,42,12,0.013176546079,0.013643960081,0.000178967621579,0.0270726371535
semi,core_tail_10,feedback_all,feedback_counts,42,12,-0.0214695816921,-0.0110639120349,-0.0721480174741,0.0178910658394
semi,core_tail_10,selected_counts_dino,selected_counts_existing,42,12,-0.00636584214849,-0.00152146623548,-0.039394345996,0.0326978717347
semi,core_tail_10,main_plus::feedback_all,constant,42,12,0.00859266629918,0.010024600703,-0.00453923542228,0.0248795059251
semi,core_tail_10,selected_dino,constant,42,12,0.0185128575354,0.00914336499755,-0.0330040865782,0.0671116245547
