image_id,building,condition,k,repeat,method,cut,hidden_geometry_outside_candidate_support,hidden_counts_outside_support,n_hidden
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,0,seed_equal,0.05,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,0,seed_equal,0.1,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,0,seed_equal,0.2,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,0,selected_mixture,0.05,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,0,selected_mixture,0.1,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,0,selected_mixture,0.2,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,1,seed_equal,0.05,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,1,seed_equal,0.1,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,1,seed_equal,0.2,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,1,selected_mixture,0.05,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,1,selected_mixture,0.1,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,4,1,selected_mixture,0.2,0.0,0.0,20
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,8,0,seed_equal,0.05,0.0,0.0,16
