condition,chain,method,metric,status,images,median_real_n,real,predicted,mae
manual,ABCD_cycles,seed_context_t025,diagnostic_stable100,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_context_t025,diagnostic_stable80,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_context_t025,diagnostic_stable_multimode80,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_context_t025,half_count_tv,evaluated,34,4.0,0.49074074074074076,0.16550925925925927,0.36226851851851855
manual,ABCD_cycles,seed_context_t025,half_output_mmd,evaluated,34,4.0,0.8731044023633556,0.5360038353942884,0.3706004691292834
manual,ABCD_cycles,seed_context_t025,invalid_generated,evaluated,34,4.0,0.0,0.0,0.0
manual,ABCD_cycles,seed_context_t025,late_half_new,evaluated,34,4.0,0.4351851851851852,0.17650462962962962,0.32349537037037035
manual,ABCD_cycles,seed_context_t025,late_quarter_new,evaluated,34,4.0,0.5,0.22260802469135801,0.3097993827160494
manual,ABCD_cycles,seed_context_t025,late_repartition,evaluated,34,4.0,0.006172839506172839,0.0021219135802469135,0.008294753086419752
manual,ABCD_cycles,seed_context_t025,terminal_modes,evaluated,34,4.0,2.5185185185185186,1.6805555555555556,0.9421296296296297
manual,ABCD_cycles,seed_context_t025,terminal_point_disagreement,evaluated,34,4.0,0.48456790123456794,0.20756172839506173,0.310570987654321
manual,ABCD_cycles,seed_context_t025,terminal_singleton_fraction,evaluated,34,4.0,0.42592592592592593,0.14756944444444445,0.30960648148148145
manual,ABCD_cycles,seed_context_t025,terminal_supported,evaluated,34,4.0,0.8148148148148148,1.0902777777777777,0.38657407407407407
manual,ABCD_cycles,seed_context_t025,terminal_within,evaluated,34,4.0,0.038035622764688144,0.019739984865620924,0.02067028451556309
manual,ABCD_cycles,seed_equal,diagnostic_stable100,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_equal,diagnostic_stable80,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_equal,diagnostic_stable_multimode80,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_equal,half_count_tv,evaluated,34,4.0,0.49074074074074076,0.16377314814814814,0.36400462962962965
manual,ABCD_cycles,seed_equal,half_output_mmd,evaluated,34,4.0,0.8731044023633556,0.5536415417880152,0.3520516102245794
manual,ABCD_cycles,seed_equal,invalid_generated,evaluated,34,4.0,0.0,0.0,0.0
manual,ABCD_cycles,seed_equal,late_half_new,evaluated,34,4.0,0.4351851851851852,0.17881944444444445,0.3246527777777778
manual,ABCD_cycles,seed_equal,late_quarter_new,evaluated,34,4.0,0.5,0.22337962962962962,0.3113425925925926
manual,ABCD_cycles,seed_equal,late_repartition,evaluated,34,4.0,0.006172839506172839,0.0021219135802469135,0.008294753086419752
manual,ABCD_cycles,seed_equal,terminal_modes,evaluated,34,4.0,2.5185185185185186,1.681712962962963,0.9456018518518519
manual,ABCD_cycles,seed_equal,terminal_point_disagreement,evaluated,34,4.0,0.48456790123456794,0.20582561728395063,0.3134645061728395
manual,ABCD_cycles,seed_equal,terminal_singleton_fraction,evaluated,34,4.0,0.42592592592592593,0.14525462962962962,0.3130787037037037
manual,ABCD_cycles,seed_equal,terminal_supported,evaluated,34,4.0,0.8148148148148148,1.1006944444444444,0.3993055555555556
manual,ABCD_cycles,seed_equal,terminal_within,evaluated,34,4.0,0.038035622764688144,0.020402207932539353,0.020950028876496687
manual,ABCD_cycles,seed_person_t025,diagnostic_stable100,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_person_t025,diagnostic_stable80,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_person_t025,diagnostic_stable_multimode80,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_person_t025,half_count_tv,evaluated,34,4.0,0.49074074074074076,0.16956018518518517,0.3605324074074074
manual,ABCD_cycles,seed_person_t025,half_output_mmd,evaluated,34,4.0,0.8731044023633556,0.5438870023054981,0.3632409348162285
manual,ABCD_cycles,seed_person_t025,invalid_generated,evaluated,34,4.0,0.0,0.0,0.0
manual,ABCD_cycles,seed_person_t025,late_half_new,evaluated,34,4.0,0.4351851851851852,0.1857638888888889,0.3177083333333333
manual,ABCD_cycles,seed_person_t025,late_quarter_new,evaluated,34,4.0,0.5,0.22608024691358022,0.30941358024691357
manual,ABCD_cycles,seed_person_t025,late_repartition,evaluated,34,4.0,0.006172839506172839,0.004050925925925926,0.010223765432098764
manual,ABCD_cycles,seed_person_t025,terminal_modes,evaluated,34,4.0,2.5185185185185186,1.6944444444444444,0.9375
manual,ABCD_cycles,seed_person_t025,terminal_point_disagreement,evaluated,34,4.0,0.48456790123456794,0.20871913580246912,0.3125
manual,ABCD_cycles,seed_person_t025,terminal_singleton_fraction,evaluated,34,4.0,0.42592592592592593,0.15364583333333334,0.3081597222222222
manual,ABCD_cycles,seed_person_t025,terminal_supported,evaluated,34,4.0,0.8148148148148148,1.0798611111111112,0.38310185185185186
manual,ABCD_cycles,seed_person_t025,terminal_within,evaluated,34,4.0,0.038035622764688144,0.019764261296853287,0.02129795359371898
manual,ABCD_cycles,seed_type4,diagnostic_stable100,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_type4,diagnostic_stable80,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_type4,diagnostic_stable_multimode80,not_enough_for_this_diagnostic_only,34,4.0,,,
manual,ABCD_cycles,seed_type4,half_count_tv,evaluated,34,4.0,0.49074074074074076,0.16377314814814814,0.36400462962962965
manual,ABCD_cycles,seed_type4,half_output_mmd,evaluated,34,4.0,0.8731044023633556,0.5523394568267985,0.353353695185796
manual,ABCD_cycles,seed_type4,invalid_generated,evaluated,34,4.0,0.0,0.0,0.0
manual,ABCD_cycles,seed_type4,late_half_new,evaluated,34,4.0,0.4351851851851852,0.17881944444444445,0.3246527777777778
manual,ABCD_cycles,seed_type4,late_quarter_new,evaluated,34,4.0,0.5,0.22337962962962962,0.3113425925925926
manual,ABCD_cycles,seed_type4,late_repartition,evaluated,34,4.0,0.006172839506172839,0.0021219135802469135,0.008294753086419752
manual,ABCD_cycles,seed_type4,terminal_modes,evaluated,34,4.0,2.5185185185185186,1.681712962962963,0.9456018518518519
manual,ABCD_cycles,seed_type4,terminal_point_disagreement,evaluated,34,4.0,0.48456790123456794,0.20582561728395063,0.3134645061728395
manual,ABCD_cycles,seed_type4,terminal_singleton_fraction,evaluated,34,4.0,0.42592592592592593,0.14525462962962962,0.3130787037037037
manual,ABCD_cycles,seed_type4,terminal_supported,evaluated,34,4.0,0.8148148148148148,1.1006944444444444,0.3993055555555556
manual,ABCD_cycles,seed_type4,terminal_within,evaluated,34,4.0,0.038035622764688144,0.020411205582182304,0.020941031226853736
manual,AB_cycles,seed_context_t025,diagnostic_stable100,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_context_t025,diagnostic_stable80,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_context_t025,diagnostic_stable_multimode80,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_context_t025,half_count_tv,evaluated,43,2.0,0.4626865671641791,0.21921641791044777,0.4319029850746269
manual,AB_cycles,seed_context_t025,half_output_mmd,evaluated,43,2.0,1.7571543278979358,1.0787723040323018,0.7504633255333639
manual,AB_cycles,seed_context_t025,invalid_generated,evaluated,43,2.0,0.0,0.0,0.0
manual,AB_cycles,seed_context_t025,late_half_new,evaluated,43,2.0,0.6417910447761194,0.33302238805970147,0.37593283582089554
manual,AB_cycles,seed_context_t025,late_quarter_new,evaluated,43,2.0,0.6417910447761194,0.33302238805970147,0.37593283582089554
manual,AB_cycles,seed_context_t025,late_repartition,evaluated,43,2.0,0.0,0.0,0.0
manual,AB_cycles,seed_context_t025,terminal_modes,evaluated,43,2.0,1.6417910447761195,1.3330223880597014,0.37593283582089554
manual,AB_cycles,seed_context_t025,terminal_point_disagreement,evaluated,43,2.0,0.4626865671641791,0.21921641791044777,0.4319029850746269
manual,AB_cycles,seed_context_t025,terminal_singleton_fraction,evaluated,43,2.0,0.6417910447761194,0.33302238805970147,0.37593283582089554
manual,AB_cycles,seed_context_t025,terminal_supported,evaluated,43,2.0,0.3582089552238806,0.6669776119402985,0.37593283582089554
manual,AB_cycles,seed_context_t025,terminal_within,evaluated,43,2.0,0.017370209756664586,0.01792563090989599,0.015468975924853466
manual,AB_cycles,seed_equal,diagnostic_stable100,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_equal,diagnostic_stable80,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_equal,diagnostic_stable_multimode80,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_equal,half_count_tv,evaluated,43,2.0,0.4626865671641791,0.22108208955223882,0.4337686567164179
manual,AB_cycles,seed_equal,half_output_mmd,evaluated,43,2.0,1.7571543278979358,1.0781091023548222,0.7526390068697922
manual,AB_cycles,seed_equal,invalid_generated,evaluated,43,2.0,0.0,0.0,0.0
manual,AB_cycles,seed_equal,late_half_new,evaluated,43,2.0,0.6417910447761194,0.33675373134328357,0.37966417910447764
manual,AB_cycles,seed_equal,late_quarter_new,evaluated,43,2.0,0.6417910447761194,0.33675373134328357,0.37966417910447764
manual,AB_cycles,seed_equal,late_repartition,evaluated,43,2.0,0.0,0.0,0.0
manual,AB_cycles,seed_equal,terminal_modes,evaluated,43,2.0,1.6417910447761195,1.3367537313432836,0.37966417910447764
manual,AB_cycles,seed_equal,terminal_point_disagreement,evaluated,43,2.0,0.4626865671641791,0.22108208955223882,0.4337686567164179
manual,AB_cycles,seed_equal,terminal_singleton_fraction,evaluated,43,2.0,0.6417910447761194,0.33675373134328357,0.37966417910447764
manual,AB_cycles,seed_equal,terminal_supported,evaluated,43,2.0,0.3582089552238806,0.6632462686567164,0.37966417910447764
manual,AB_cycles,seed_equal,terminal_within,evaluated,43,2.0,0.017370209756664586,0.017350744322587163,0.015428680674576183
manual,AB_cycles,seed_person_t025,diagnostic_stable100,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_person_t025,diagnostic_stable80,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_person_t025,diagnostic_stable_multimode80,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_person_t025,half_count_tv,evaluated,43,2.0,0.4626865671641791,0.22108208955223882,0.4319029850746269
manual,AB_cycles,seed_person_t025,half_output_mmd,evaluated,43,2.0,1.7571543278979358,1.0604200971242763,0.7592294012504498
manual,AB_cycles,seed_person_t025,invalid_generated,evaluated,43,2.0,0.0,0.0,0.0
manual,AB_cycles,seed_person_t025,late_half_new,evaluated,43,2.0,0.6417910447761194,0.3255597014925373,0.3833955223880597
manual,AB_cycles,seed_person_t025,late_quarter_new,evaluated,43,2.0,0.6417910447761194,0.3255597014925373,0.3833955223880597
manual,AB_cycles,seed_person_t025,late_repartition,evaluated,43,2.0,0.0,0.0,0.0
manual,AB_cycles,seed_person_t025,terminal_modes,evaluated,43,2.0,1.6417910447761195,1.3255597014925373,0.3833955223880597
manual,AB_cycles,seed_person_t025,terminal_point_disagreement,evaluated,43,2.0,0.4626865671641791,0.22108208955223882,0.4319029850746269
manual,AB_cycles,seed_person_t025,terminal_singleton_fraction,evaluated,43,2.0,0.6417910447761194,0.3255597014925373,0.3833955223880597
manual,AB_cycles,seed_person_t025,terminal_supported,evaluated,43,2.0,0.3582089552238806,0.6744402985074627,0.3833955223880597
manual,AB_cycles,seed_person_t025,terminal_within,evaluated,43,2.0,0.017370209756664586,0.017970964916285935,0.015744443992943176
manual,AB_cycles,seed_type4,diagnostic_stable100,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_type4,diagnostic_stable80,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_type4,diagnostic_stable_multimode80,not_enough_for_this_diagnostic_only,43,2.0,,,
manual,AB_cycles,seed_type4,half_count_tv,evaluated,43,2.0,0.4626865671641791,0.22108208955223882,0.4337686567164179
manual,AB_cycles,seed_type4,half_output_mmd,evaluated,43,2.0,1.7571543278979358,1.0781091023548222,0.7526390068697922
manual,AB_cycles,seed_type4,invalid_generated,evaluated,43,2.0,0.0,0.0,0.0
manual,AB_cycles,seed_type4,late_half_new,evaluated,43,2.0,0.6417910447761194,0.33675373134328357,0.37966417910447764
manual,AB_cycles,seed_type4,late_quarter_new,evaluated,43,2.0,0.6417910447761194,0.33675373134328357,0.37966417910447764
manual,AB_cycles,seed_type4,late_repartition,evaluated,43,2.0,0.0,0.0,0.0
manual,AB_cycles,seed_type4,terminal_modes,evaluated,43,2.0,1.6417910447761195,1.3367537313432836,0.37966417910447764
manual,AB_cycles,seed_type4,terminal_point_disagreement,evaluated,43,2.0,0.4626865671641791,0.22108208955223882,0.4337686567164179
manual,AB_cycles,seed_type4,terminal_singleton_fraction,evaluated,43,2.0,0.6417910447761194,0.33675373134328357,0.37966417910447764
manual,AB_cycles,seed_type4,terminal_supported,evaluated,43,2.0,0.3582089552238806,0.6632462686567164,0.37966417910447764
manual,AB_cycles,seed_type4,terminal_within,evaluated,43,2.0,0.017370209756664586,0.017350744322587163,0.015428680674576183
