condition,k,method,image_id,building,n_valid,kernel_score,count_brier,count_tv,uncovered_count,abs_pair_disagreement_error,scene_category,main_function_primary,floor_boundary,ceiling_boundary,expert_tag
manual,0,cold_context_personal,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,6,1.6953154004919793,1.6666666666666667,0.8333333333333333,0.8333333333333334,0.6,开放复合空间,living,partial,present,中等
manual,0,cold_context_personal,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,23,1.2891546649840426,0.3678427146569194,0.3965006367610312,0.0434782608695652,0.3916444599785302,通行与连接,circulation,present,partial,简单
manual,0,cold_context_personal,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,6,1.5166631789926148,0.5080491697357181,0.3892653359337311,0.1666666666666666,0.1421537702628454,通行与连接,circulation,present,partial,简单
manual,0,cold_context_personal,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,20,0.429245911421953,0.0,0.0,0.0,0.0,卧室,sleep,partial,present,简单
manual,0,cold_context_personal,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom,2,1.5327776640152453,0.8966045605190809,0.5,0.5,0.5435769420255518,卫浴,bathroom,partial,present,困难
manual,0,cold_context_personal,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,7,1.5447814288537352,1.3580339968679596,0.8571428571428572,0.8571428571428571,0.2112535862091423,卫浴,bathroom,partial,present,困难
manual,0,cold_context_personal,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,19,1.407906879938647,1.2036942445218006,0.6449553604076885,0.5263157894736842,0.2612912629212864,卫浴,bathroom,partial,present,困难
manual,0,cold_context_personal,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,5,1.542183968666731,1.5456958157086904,1.0,1.0,0.4456532442731217,卫浴,bathroom,partial,present,困难
manual,0,cold_context_personal,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,5,1.2485435164382548,0.1866219014761882,0.3053886033337026,0.0,0.4242771844211783,厨房与用餐,dining,partial,present,简单
manual,0,cold_context_personal,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV,6,1.504443461098429,6.162975822039155e-33,0.0,0.0,0.0,卧室,sleep,partial,present,中等
