condition,k,method,stratum,images,buildings,kernel,count_brier,uncovered_count,field
manual,0,cold_context_personal,储藏与家务辅助,6,5,1.4046074813375438,0.8356220080043432,0.44861111111111107,scene_category
manual,0,cold_context_personal,卧室,36,16,1.194399720101655,0.6633284087172543,0.3567632850241546,scene_category
manual,0,cold_context_personal,卫浴,46,13,1.3156505186972607,0.8508286945990314,0.4502453881309219,scene_category
manual,0,cold_context_personal,厨房与用餐,10,9,1.348748276464201,0.7601968273787058,0.44000000000000006,scene_category
manual,0,cold_context_personal,复合／待定,7,6,1.1172281431386697,0.6231629857708259,0.318671679197995,scene_category
manual,0,cold_context_personal,"复合／待定  , 厨房 客厅",1,1,1.217858828806927,0.974229778734474,0.5,scene_category
manual,0,cold_context_personal,工作与学习,3,2,1.4167755477402382,0.42318840579710143,0.2115942028985507,scene_category
manual,0,cold_context_personal,开放复合空间,3,1,1.5366255905700357,1.3555555555555554,0.6777777777777777,scene_category
manual,0,cold_context_personal,无法判断,1,1,1.0937947511724837,0.9460335044012236,0.2857142857142857,scene_category
manual,0,cold_context_personal,特殊用途,2,1,1.6240023612855308,0.6,0.3,scene_category
manual,0,cold_context_personal,起居与休闲,18,11,1.3811125717950865,1.0492349246900698,0.5511674718196456,scene_category
manual,0,cold_context_personal,通行与连接,33,15,1.2263874815635571,0.8028094294261663,0.38506807202459375,scene_category
manual,0,cold_context_population,储藏与家务辅助,6,5,1.403703873000092,0.8331445410668344,0.44861111111111107,scene_category
manual,0,cold_context_population,卧室,36,16,1.1947843732579182,0.6653765132679004,0.3567632850241546,scene_category
manual,0,cold_context_population,卫浴,46,13,1.3158800284875674,0.8503752551503869,0.4502453881309219,scene_category
manual,0,cold_context_population,厨房与用餐,10,9,1.3485063398149995,0.7581360647268515,0.44000000000000006,scene_category
manual,0,cold_context_population,复合／待定,7,6,1.1173813984980205,0.6214270574163306,0.318671679197995,scene_category
manual,0,cold_context_population,"复合／待定  , 厨房 客厅",1,1,1.2237223768824177,0.969306364115595,0.5,scene_category
manual,0,cold_context_population,工作与学习,3,2,1.4169166408964473,0.42318840579710143,0.2115942028985507,scene_category
manual,0,cold_context_population,开放复合空间,3,1,1.5355499048488834,1.3555555555555554,0.6777777777777777,scene_category
manual,0,cold_context_population,无法判断,1,1,1.1105749979461963,0.9684254255133636,0.2857142857142857,scene_category
manual,0,cold_context_population,特殊用途,2,1,1.6238311983678428,0.6,0.3,scene_category
manual,0,cold_context_population,起居与休闲,18,11,1.3820374383627005,1.0524642085385878,0.5511674718196456,scene_category
manual,0,cold_context_population,通行与连接,33,15,1.2254923528679318,0.8012113365608623,0.38506807202459375,scene_category
manual,0,cold_personal,储藏与家务辅助,6,5,1.4083046752226391,0.8355549590669568,0.44861111111111107,scene_category
manual,0,cold_personal,卧室,36,16,1.1967351707345601,0.6611814122455004,0.3567632850241546,scene_category
manual,0,cold_personal,卫浴,46,13,1.3139629559489228,0.8517658751130116,0.4502453881309219,scene_category
manual,0,cold_personal,厨房与用餐,10,9,1.3502506543222625,0.760071573506371,0.44000000000000006,scene_category
manual,0,cold_personal,复合／待定,7,6,1.120936082787929,0.6229498896116777,0.318671679197995,scene_category
manual,0,cold_personal,"复合／待定  , 厨房 客厅",1,1,1.210060712059977,0.9500628449175258,0.5,scene_category
manual,0,cold_personal,工作与学习,3,2,1.417436004448535,0.42318840579710143,0.2115942028985507,scene_category
manual,0,cold_personal,开放复合空间,3,1,1.546384968051801,1.3555555555555554,0.6777777777777777,scene_category
manual,0,cold_personal,无法判断,1,1,1.100372267487625,0.954247962069046,0.2857142857142857,scene_category
manual,0,cold_personal,特殊用途,2,1,1.6270081933767229,0.6,0.3,scene_category
manual,0,cold_personal,起居与休闲,18,11,1.3825022626249472,1.0489054129897646,0.5511674718196456,scene_category
manual,0,cold_personal,通行与连接,33,15,1.225857239275938,0.8030131864620697,0.38506807202459375,scene_category
manual,0,cold_population,储藏与家务辅助,6,5,1.407589421652314,0.83344275786502,0.44861111111111107,scene_category
manual,0,cold_population,卧室,36,16,1.1976399984952397,0.6642787875330297,0.3567632850241546,scene_category
manual,0,cold_population,卫浴,46,13,1.3143437649219434,0.8510906302153465,0.4502453881309219,scene_category
manual,0,cold_population,厨房与用餐,10,9,1.3494613372510553,0.7570695699450682,0.44000000000000006,scene_category
manual,0,cold_population,复合／待定,7,6,1.120466294498516,0.6215012012463361,0.318671679197995,scene_category
manual,0,cold_population,"复合／待定  , 厨房 客厅",1,1,1.2201275407567742,0.9516645714800438,0.5,scene_category
manual,0,cold_population,工作与学习,3,2,1.4185016072165624,0.42318840579710143,0.2115942028985507,scene_category
manual,0,cold_population,开放复合空间,3,1,1.5444780520934085,1.3555555555555558,0.6777777777777777,scene_category
manual,0,cold_population,无法判断,1,1,1.119732321320465,0.9798900624234858,0.2857142857142857,scene_category
manual,0,cold_population,特殊用途,2,1,1.62751296298182,0.6,0.3,scene_category
manual,0,cold_population,起居与休闲,18,11,1.3833383411336835,1.051922429616543,0.5511674718196456,scene_category
manual,0,cold_population,通行与连接,33,15,1.2251090833370346,0.801898689231702,0.38506807202459375,scene_category
manual,0,cold_type2,储藏与家务辅助,6,5,1.4075372978178047,0.8333807605661429,0.44861111111111107,scene_category
manual,0,cold_type2,卧室,36,16,1.1976089931458183,0.6643049478191867,0.3567632850241546,scene_category
manual,0,cold_type2,卫浴,46,13,1.3143485055105741,0.8511221108763681,0.4502453881309219,scene_category
manual,0,cold_type2,厨房与用餐,10,9,1.3494536872030216,0.7570421555627839,0.44000000000000006,scene_category
manual,0,cold_type2,复合／待定,7,6,1.1204859657448927,0.6215558453027866,0.318671679197995,scene_category
manual,0,cold_type2,"复合／待定  , 厨房 客厅",1,1,1.2200661774784916,0.9514862146124764,0.5,scene_category
manual,0,cold_type2,工作与学习,3,2,1.4185253971933858,0.42318840579710143,0.2115942028985507,scene_category
manual,0,cold_type2,开放复合空间,3,1,1.5442853457812158,1.3555555555555554,0.6777777777777777,scene_category
manual,0,cold_type2,无法判断,1,1,1.1193873917361556,0.9794588144977148,0.2857142857142857,scene_category
manual,0,cold_type2,特殊用途,2,1,1.6274938456939367,0.6,0.3,scene_category
manual,0,cold_type2,起居与休闲,18,11,1.3833138307070563,1.0518524656244779,0.5511674718196456,scene_category
manual,0,cold_type2,通行与连接,33,15,1.2251082834432632,0.8018991671313318,0.38506807202459375,scene_category
manual,0,cold_type3,储藏与家务辅助,6,5,1.4076452843126497,0.8337167544656799,0.44861111111111107,scene_category
manual,0,cold_type3,卧室,36,16,1.1974778404419575,0.6641013500104518,0.3567632850241546,scene_category
manual,0,cold_type3,卫浴,46,13,1.31434305587569,0.851152161189021,0.4502453881309219,scene_category
manual,0,cold_type3,厨房与用餐,10,9,1.349223024941096,0.7569173487386041,0.44000000000000006,scene_category
manual,0,cold_type3,复合／待定,7,6,1.1206085217765855,0.6211060318541547,0.318671679197995,scene_category
manual,0,cold_type3,"复合／待定  , 厨房 客厅",1,1,1.21989648178734,0.9506404763991996,0.5,scene_category
manual,0,cold_type3,工作与学习,3,2,1.4181501199664777,0.42318840579710143,0.2115942028985507,scene_category
manual,0,cold_type3,开放复合空间,3,1,1.5439608490552026,1.3555555555555554,0.6777777777777777,scene_category
manual,0,cold_type3,无法判断,1,1,1.1191266375698463,0.978962892523848,0.2857142857142857,scene_category
manual,0,cold_type3,特殊用途,2,1,1.627364301805179,0.6,0.3,scene_category
manual,0,cold_type3,起居与休闲,18,11,1.3833371397536414,1.0517350364566003,0.5511674718196456,scene_category
manual,0,cold_type3,通行与连接,33,15,1.2251629747777584,0.8018894521558391,0.38506807202459375,scene_category
manual,0,cold_type4,储藏与家务辅助,6,5,1.4075979122653433,0.8337029188857626,0.44861111111111107,scene_category
manual,0,cold_type4,卧室,36,16,1.1975018750743436,0.6640530348294628,0.3567632850241546,scene_category
manual,0,cold_type4,卫浴,46,13,1.3143583087039103,0.8511873657732917,0.4502453881309219,scene_category
manual,0,cold_type4,厨房与用餐,10,9,1.3491176365791704,0.7565848017629331,0.44000000000000006,scene_category
manual,0,cold_type4,复合／待定,7,6,1.1206262870787902,0.621036999940243,0.318671679197995,scene_category
manual,0,cold_type4,"复合／待定  , 厨房 客厅",1,1,1.22033969811962,0.9515067552904688,0.5,scene_category
manual,0,cold_type4,工作与学习,3,2,1.4181712726393085,0.42318840579710143,0.2115942028985507,scene_category
manual,0,cold_type4,开放复合空间,3,1,1.5441860106183152,1.3555555555555554,0.6777777777777777,scene_category
manual,0,cold_type4,无法判断,1,1,1.1194265338467675,0.9793410896920544,0.2857142857142857,scene_category
manual,0,cold_type4,特殊用途,2,1,1.6273921436132133,0.6,0.3,scene_category
manual,0,cold_type4,起居与休闲,18,11,1.3833332195375785,1.0518461671866624,0.5511674718196456,scene_category
manual,0,cold_type4,通行与连接,33,15,1.2251704471049707,0.801624259449816,0.38506807202459375,scene_category
manual,0,cold_uniform,储藏与家务辅助,6,5,1.4175970120161991,0.8453703703703704,0.44861111111111107,scene_category
manual,0,cold_uniform,卧室,36,16,1.1994141730629924,0.6700080515297907,0.3567632850241546,scene_category
manual,0,cold_uniform,卫浴,46,13,1.3252255794961514,0.8546475708375022,0.4502453881309219,scene_category
manual,0,cold_uniform,厨房与用餐,10,9,1.3476582062554916,0.7611111111111113,0.44000000000000006,scene_category
manual,0,cold_uniform,复合／待定,7,6,1.1169620251614885,0.6156223893065997,0.318671679197995,scene_category
manual,0,cold_uniform,"复合／待定  , 厨房 客厅",1,1,1.2319454798767229,1.0000000000000002,0.5,scene_category
manual,0,cold_uniform,工作与学习,3,2,1.413879443062809,0.42318840579710143,0.2115942028985507,scene_category
manual,0,cold_uniform,开放复合空间,3,1,1.568453963203755,1.3555555555555554,0.6777777777777777,scene_category
manual,0,cold_uniform,无法判断,1,1,1.2002909106927375,1.0793650793650795,0.2857142857142857,scene_category
manual,0,cold_uniform,特殊用途,2,1,1.6366410404194713,0.6,0.3,scene_category
manual,0,cold_uniform,起居与休闲,18,11,1.3924926790433132,1.0642512077294688,0.5511674718196456,scene_category
manual,0,cold_uniform,通行与连接,33,15,1.2335376972085301,0.8037183428487776,0.38506807202459375,scene_category
