condition,k,cut,method,metric,images,real_stability,predicted_stability,brier,declaration_rate,false_declaration_rate,false_fraction_among_declarations
manual,4,0.05,seed_context_t025,diagnostic_stable100,46,0.021739130434782608,0.9011548913043478,0.8113217561141305,0.8260869565217391,0.8043478260869565,0.9736842105263158
manual,4,0.05,seed_context_t025,diagnostic_stable80,46,0.10869565217391304,0.9116847826086957,0.7517620584239131,0.8260869565217391,0.717391304347826,0.868421052631579
manual,4,0.05,seed_context_t025,diagnostic_stable_multimode80,46,0.09782608695652174,0.7907608695652174,0.7240786345108695,0.7065217391304348,0.6521739130434783,0.9230769230769231
manual,4,0.05,seed_equal,diagnostic_stable100,46,0.021739130434782608,0.9011548913043478,0.8092624830163043,0.8043478260869565,0.782608695652174,0.972972972972973
manual,4,0.05,seed_equal,diagnostic_stable80,46,0.10869565217391304,0.9120244565217391,0.751815132472826,0.8260869565217391,0.717391304347826,0.868421052631579
manual,4,0.05,seed_equal,diagnostic_stable_multimode80,46,0.09782608695652174,0.7907608695652174,0.7234629755434783,0.7065217391304348,0.6521739130434783,0.9230769230769231
manual,4,0.05,seed_person_t025,diagnostic_stable100,46,0.021739130434782608,0.9025135869565217,0.8108759341032609,0.8043478260869565,0.782608695652174,0.972972972972973
manual,4,0.05,seed_person_t025,diagnostic_stable80,46,0.10869565217391304,0.9177989130434783,0.7585343070652174,0.8260869565217391,0.717391304347826,0.868421052631579
manual,4,0.05,seed_person_t025,diagnostic_stable_multimode80,46,0.09782608695652174,0.7965353260869565,0.7322201936141305,0.7065217391304348,0.6521739130434783,0.9230769230769231
manual,4,0.05,seed_type4,diagnostic_stable100,46,0.021739130434782608,0.8868885869565217,0.7853791610054348,0.7391304347826086,0.717391304347826,0.9705882352941176
manual,4,0.05,seed_type4,diagnostic_stable80,46,0.10869565217391304,0.9161005434782609,0.7560822860054348,0.8043478260869565,0.7065217391304348,0.8783783783783784
manual,4,0.05,seed_type4,diagnostic_stable_multimode80,46,0.09782608695652174,0.7934782608695652,0.7278787364130435,0.6847826086956522,0.6413043478260869,0.9365079365079365
manual,4,0.05,selected_mixture,diagnostic_stable100,46,0.021739130434782608,0.5526494565217391,0.38176163383152173,0.30434782608695654,0.2826086956521739,0.9285714285714286
manual,4,0.05,selected_mixture,diagnostic_stable80,46,0.10869565217391304,0.7224864130434783,0.4926863960597826,0.4891304347826087,0.40217391304347827,0.8222222222222222
manual,4,0.05,selected_mixture,diagnostic_stable_multimode80,46,0.09782608695652174,0.6317934782608695,0.4776452105978261,0.40217391304347827,0.358695652173913,0.8918918918918919
manual,4,0.1,seed_context_t025,diagnostic_stable100,46,0.13043478260869565,0.9055706521739131,0.7166058084239131,0.8260869565217391,0.6956521739130435,0.8421052631578947
manual,4,0.1,seed_context_t025,diagnostic_stable80,46,0.29347826086956524,0.9116847826086957,0.5690174932065217,0.8260869565217391,0.532608695652174,0.6447368421052632
manual,4,0.1,seed_context_t025,diagnostic_stable_multimode80,46,0.17391304347826086,0.5835597826086957,0.5516304347826086,0.5,0.42391304347826086,0.8478260869565217
manual,4,0.1,seed_equal,diagnostic_stable100,46,0.13043478260869565,0.9072690217391305,0.7187181555706522,0.8260869565217391,0.6956521739130435,0.8421052631578947
manual,4,0.1,seed_equal,diagnostic_stable80,46,0.29347826086956524,0.9120244565217391,0.5690705672554348,0.8260869565217391,0.532608695652174,0.6447368421052632
manual,4,0.1,seed_equal,diagnostic_stable_multimode80,46,0.17391304347826086,0.584578804347826,0.5529997452445652,0.5,0.42391304347826086,0.8478260869565217
manual,4,0.1,seed_person_t025,diagnostic_stable100,46,0.13043478260869565,0.907608695652174,0.7162873641304348,0.8043478260869565,0.6739130434782609,0.8378378378378378
manual,4,0.1,seed_person_t025,diagnostic_stable80,46,0.29347826086956524,0.9177989130434783,0.5737516983695652,0.8260869565217391,0.532608695652174,0.6447368421052632
manual,4,0.1,seed_person_t025,diagnostic_stable_multimode80,46,0.17391304347826086,0.5889945652173914,0.5570439877717391,0.5,0.42391304347826086,0.8478260869565217
manual,4,0.1,seed_type4,diagnostic_stable100,46,0.13043478260869565,0.8967391304347826,0.7041440217391305,0.7717391304347826,0.6521739130434783,0.8450704225352113
manual,4,0.1,seed_type4,diagnostic_stable80,46,0.29347826086956524,0.9161005434782609,0.5719790251358695,0.8043478260869565,0.5217391304347826,0.6486486486486487
manual,4,0.1,seed_type4,diagnostic_stable_multimode80,46,0.17391304347826086,0.584578804347826,0.5538277004076086,0.4782608695652174,0.41304347826086957,0.8636363636363636
manual,4,0.1,selected_mixture,diagnostic_stable100,46,0.13043478260869565,0.5954483695652174,0.33291227921195654,0.34782608695652173,0.22826086956521738,0.65625
manual,4,0.1,selected_mixture,diagnostic_stable80,46,0.29347826086956524,0.7442255434782609,0.36764393682065216,0.5217391304347826,0.2826086956521739,0.5416666666666666
manual,4,0.1,selected_mixture,diagnostic_stable_multimode80,46,0.17391304347826086,0.49422554347826086,0.3701065726902174,0.25,0.20652173913043478,0.8260869565217391
manual,4,0.2,seed_context_t025,diagnostic_stable100,46,0.21739130434782608,0.9069293478260869,0.6320482336956522,0.8260869565217391,0.6086956521739131,0.7368421052631579
manual,4,0.2,seed_context_t025,diagnostic_stable80,46,0.4673913043478261,0.9116847826086957,0.41616423233695654,0.8260869565217391,0.3804347826086957,0.4605263157894737
manual,4,0.2,seed_context_t025,diagnostic_stable_multimode80,46,0.17391304347826086,0.45346467391304346,0.35390837296195654,0.3695652173913043,0.2717391304347826,0.7352941176470589
manual,4,0.2,seed_equal,diagnostic_stable100,46,0.21739130434782608,0.9086277173913043,0.6339907438858695,0.8260869565217391,0.6086956521739131,0.7368421052631579
manual,4,0.2,seed_equal,diagnostic_stable80,46,0.4673913043478261,0.9120244565217391,0.41757600203804346,0.8260869565217391,0.3804347826086957,0.4605263157894737
manual,4,0.2,seed_equal,diagnostic_stable_multimode80,46,0.17391304347826086,0.45346467391304346,0.3546726392663043,0.3695652173913043,0.2717391304347826,0.7352941176470589
manual,4,0.2,seed_person_t025,diagnostic_stable100,46,0.21739130434782608,0.9093070652173914,0.6323348335597826,0.8043478260869565,0.5869565217391305,0.7297297297297297
manual,4,0.2,seed_person_t025,diagnostic_stable80,46,0.4673913043478261,0.9177989130434783,0.41682235054347827,0.8260869565217391,0.3804347826086957,0.4605263157894737
