condition,k,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
manual,2,prefix,training_frequency,brier,133,20,-0.05535457545489994,-0.08380401369456546,-0.014791678007946568,-0.04607022359506435
manual,2,prefix,image_prefix,brier,133,20,-0.026639473061282257,-0.06467675998128726,0.0034962960667949974,-0.020645108024932052
manual,2,image_prefix,training_frequency,brier,133,20,-0.02871510239361769,-0.06660412442780816,0.023807771200175937,-0.025425115570132294
manual,2,image_prefix,prefix,brier,133,20,0.026639473061282257,-0.005226284131048393,0.0632387381761345,0.020645108024932052
manual,2,person_prefix,training_frequency,brier,133,20,-0.05971034917074059,-0.0952254598547482,-0.022972988821875696,-0.06487886086045802
manual,2,person_prefix,prefix,brier,133,20,-0.0043557737158406475,-0.04275010608647013,0.029664324651644845,-0.01880863726539367
manual,2,person_prefix,image_prefix,brier,133,20,-0.030995246777122898,-0.07408437133664963,0.005947309833195021,-0.03945374529032573
manual,2,joint,training_frequency,brier,133,20,-0.017784122323276516,-0.06786354444601046,0.021033370326664434,-0.025762142774835912
manual,2,joint,prefix,brier,133,20,0.037570453131623424,-0.022846949545791317,0.08037952938845631,0.02030808082022844
manual,2,joint,image_prefix,brier,133,20,0.010930980070341174,-0.040422312615392385,0.053238727041664546,-0.000337027204703615
manual,2,interaction,training_frequency,brier,133,20,-0.019018242373006942,-0.07109604151779805,0.023448711358441923,-0.023615498135235835
manual,2,interaction,prefix,brier,133,20,0.03633633308189301,-0.020064765911892716,0.07873304657662751,0.02245472545982851
manual,2,interaction,image_prefix,brier,133,20,0.009696860020610747,-0.040710934061246366,0.05095940681152423,0.001809617434896458
manual,4,prefix,training_frequency,brier,71,17,-0.07768269081937891,-0.121226087421492,-0.03149828642926924,-0.07797143547077173
manual,4,prefix,image_prefix,brier,71,17,-0.01370481680275148,-0.04619027310651561,0.016973087092559444,-0.018690374447861233
manual,4,image_prefix,training_frequency,brier,71,17,-0.06397787401662741,-0.10911613815753016,-0.006177917920878246,-0.05928106102291051
manual,4,image_prefix,prefix,brier,71,17,0.01370481680275148,-0.017827002375829442,0.045403157370916096,0.018690374447861233
manual,4,person_prefix,training_frequency,brier,71,17,-0.09133933360145423,-0.1276718225054498,-0.043039672854144034,-0.09634827389697997
manual,4,person_prefix,prefix,brier,71,17,-0.013656642782075328,-0.044160335640043194,0.016135118570252786,-0.01837683842620822
manual,4,person_prefix,image_prefix,brier,71,17,-0.02736145958482681,-0.059010414334873106,0.0030312701266123824,-0.037067212874069465
manual,4,joint,training_frequency,brier,71,17,-0.06232748452782885,-0.10612611367159629,-0.016571631308737303,-0.07109443570039796
manual,4,joint,prefix,brier,71,17,0.015355206291550065,-0.022523786885458787,0.050032234575015794,0.006876999770373774
manual,4,joint,image_prefix,brier,71,17,0.0016503894887985842,-0.030720887730526406,0.03892521956529978,-0.011813374677487458
manual,4,interaction,training_frequency,brier,71,17,-0.05979857468745954,-0.1069178254295737,-0.011293982011714353,-0.06378276137879228
manual,4,interaction,prefix,brier,71,17,0.017884116131919356,-0.022213805292872285,0.05387130557507045,0.01418867409197945
manual,4,interaction,image_prefix,brier,71,17,0.004179299329167872,-0.028219575723966425,0.040469082268974,-0.004501700355881782
manual,6,prefix,training_frequency,brier,46,15,-0.06967480143010969,-0.0954746523563864,-0.04113047716536836,-0.06066694744485644
manual,6,prefix,image_prefix,brier,46,15,-0.0010774505261551665,-0.03451695779976424,0.025170998766755073,0.015639937666772838
manual,6,image_prefix,training_frequency,brier,46,15,-0.06859735090395452,-0.11104499367082693,-0.02448760370257387,-0.0763068851116293
manual,6,image_prefix,prefix,brier,46,15,0.0010774505261551665,-0.024776419420304965,0.034008886961759216,-0.015639937666772838
manual,6,person_prefix,training_frequency,brier,46,15,-0.07996786870563401,-0.11531579045170796,-0.039460246190400415,-0.07066053481243201
manual,6,person_prefix,prefix,brier,46,15,-0.010293067275524308,-0.03164055201440662,0.017906312442827504,-0.009993587367575557
manual,6,person_prefix,image_prefix,brier,46,15,-0.011370517801679475,-0.026285460757636915,0.008350548366980102,0.005646350299197283
manual,6,joint,training_frequency,brier,46,15,-0.056570943611786745,-0.10293328461892853,-0.012619224473369817,-0.0534508035313153
manual,6,joint,prefix,brier,46,15,0.013103857818322942,-0.013268591277807487,0.043471652559679004,0.007216143913541132
manual,6,joint,image_prefix,brier,46,15,0.012026407292167775,-0.003731404330212615,0.027279569350364435,0.022856081580313967
manual,6,interaction,training_frequency,brier,46,15,-0.052646430552427216,-0.10360249987892649,-0.0027830925981319667,-0.049997040212340714
manual,6,interaction,prefix,brier,46,15,0.01702837087768249,-0.015612304931037376,0.05023718920760538,0.010669907232515723
manual,6,interaction,image_prefix,brier,46,15,0.015950920351527325,-0.0027902923591272555,0.03380047639567103,0.026309844899288563
manual,8,prefix,training_frequency,brier,46,15,-0.0521802984629073,-0.07777074568192759,-0.023246021397711678,-0.03640716578302684
manual,8,prefix,image_prefix,brier,46,15,-0.0021416514959024706,-0.027783492627108206,0.021214127938789826,0.013594236550824144
manual,8,image_prefix,training_frequency,brier,46,15,-0.05003864696700484,-0.08641773767584875,-0.015462935949260943,-0.05000140233385098
manual,8,image_prefix,prefix,brier,46,15,0.0021416514959024706,-0.021647988522741825,0.027796598243759827,-0.013594236550824144
manual,8,person_prefix,training_frequency,brier,46,15,-0.06140312132051961,-0.0936215534855308,-0.025364894063792727,-0.04648607642413618
manual,8,person_prefix,prefix,brier,46,15,-0.00922282285761231,-0.025228089745685287,0.013830609391462533,-0.010078910641109325
manual,8,person_prefix,image_prefix,brier,46,15,-0.01136447435351478,-0.02156118498655849,0.006370175729333604,0.0035153259097148158
manual,8,joint,training_frequency,brier,46,15,-0.03779526086056118,-0.08024807268262563,0.002574061062129665,-0.03200188142540102
manual,8,joint,prefix,brier,46,15,0.01438503760234613,-0.010007626479684026,0.03830815385260955,0.004405284357625823
manual,8,joint,image_prefix,brier,46,15,0.01224338610644366,-0.0017522290322474795,0.02685198991663291,0.017999520908449966
manual,8,interaction,training_frequency,brier,46,15,-0.034261004826979746,-0.07962793375399836,0.010607898800877388,-0.029580480222519474
manual,8,interaction,prefix,brier,46,15,0.017919293635927574,-0.012074888880422878,0.04347706611032696,0.006826685560507373
manual,8,interaction,image_prefix,brier,46,15,0.015777642140025104,-0.0006785769971085145,0.0314193307790481,0.020420922111331515
oos_geometry,2,prefix,training_frequency,brier,9,6,0.02635801155266351,-0.04835243210019186,0.09486919550373789,0.00033398112459649687
oos_geometry,2,prefix,image_prefix,brier,9,6,-0.19631832250785677,-0.3613601976198353,0.006120142953597527,-0.15910702467982418
oos_geometry,2,image_prefix,training_frequency,brier,9,6,0.22267633406052031,0.00424548530335996,0.34474971113942127,0.1594410058044207
oos_geometry,2,image_prefix,prefix,brier,9,6,0.19631832250785677,-0.0041083814306903665,0.3613601976198353,0.15910702467982418
oos_geometry,2,person_prefix,training_frequency,brier,9,6,0.16400884804357072,0.07000724600298587,0.32760802971509273,0.2035747884973552
oos_geometry,2,person_prefix,prefix,brier,9,6,0.13765083649090717,-0.0009573723032778988,0.3611890184527548,0.20324080737275865
oos_geometry,2,person_prefix,image_prefix,brier,9,6,-0.05866748601694963,-0.23543030151518715,0.29485814497952534,0.04413378269293446
oos_geometry,2,joint,training_frequency,brier,9,6,0.16943872750005973,0.0363319091637084,0.28257720939466857,0.111658373755202
oos_geometry,2,joint,prefix,brier,9,6,0.14308071594739621,0.04696192950111466,0.19700604937091182,0.1113243926306055
oos_geometry,2,joint,image_prefix,brier,9,6,-0.05323760656046058,-0.21358231039759243,0.0818717919419073,-0.047782632049218676
oos_geometry,2,interaction,training_frequency,brier,9,6,0.09479568516319058,0.04754599481650489,0.1283247857814796,0.08845204220284453
oos_geometry,2,interaction,prefix,brier,9,6,0.06843767361052706,-0.002166296823164472,0.15026102755111348,0.08811806107824803
oos_geometry,2,interaction,image_prefix,brier,9,6,-0.12788064889732972,-0.2537645337017818,0.06779753198618317,-0.07098896360157615
oos_geometry,4,prefix,training_frequency,brier,9,6,-0.001375751973258288,-0.058992584744053465,0.03081055007295337,-0.01996266322763557
oos_geometry,4,prefix,image_prefix,brier,9,6,-0.16235283912604687,-0.2936700352060304,0.008698080242126168,-0.14387539477710815
oos_geometry,4,image_prefix,training_frequency,brier,9,6,0.1609770871527886,-0.011919247965812813,0.26549270040531664,0.12391273154947258
oos_geometry,4,image_prefix,prefix,brier,9,6,0.16235283912604687,0.00712124518840281,0.2915856785588465,0.14387539477710815
oos_geometry,4,person_prefix,training_frequency,brier,9,6,0.16430561708120842,0.07783642468253311,0.3112799212933844,0.18488685244911637
oos_geometry,4,person_prefix,prefix,brier,9,6,0.1656813690544667,0.060311105625939374,0.36516840083047547,0.2048495156767519
oos_geometry,4,person_prefix,image_prefix,brier,9,6,0.003328529928419822,-0.1286018399406458,0.2424746065786165,0.06097412089964377
oos_geometry,4,joint,training_frequency,brier,9,6,0.16605919608532796,-0.0328001119630529,0.3050468268235889,0.08933982612150886
oos_geometry,4,joint,prefix,brier,9,6,0.16743494805858625,0.001983122113949195,0.2802343974767712,0.1093024893491444
oos_geometry,4,joint,image_prefix,brier,9,6,0.005082108932539359,-0.20249172673697086,0.1388399168488594,-0.03457290542796374
oos_geometry,4,interaction,training_frequency,brier,9,6,0.11431842488890637,-0.017060365396783055,0.19016441926978628,0.07914481963704383
oos_geometry,4,interaction,prefix,brier,9,6,0.11569417686216463,0.007607238452747606,0.20643784817968994,0.09910748286467941
oos_geometry,4,interaction,image_prefix,brier,9,6,-0.046658662263882246,-0.19672889379101216,0.06860228601511636,-0.044767911912428744
oos_geometry,6,prefix,training_frequency,brier,9,6,-0.0018921909474068107,-0.02835431663161095,0.025799413795469833,-0.0037259565210795375
oos_geometry,6,prefix,image_prefix,brier,9,6,-0.10187922968280083,-0.2411325101381843,0.023673748867201402,-0.10506477936274095
oos_geometry,6,image_prefix,training_frequency,brier,9,6,0.09998703873539402,-0.0027693372412825046,0.2151336175024754,0.1013388228416614
oos_geometry,6,image_prefix,prefix,brier,9,6,0.10187922968280083,-0.012904648266762714,0.22789800884647926,0.10506477936274095
oos_geometry,6,person_prefix,training_frequency,brier,9,6,0.09370417973982362,-0.01685904954006302,0.23564383546225096,0.11166408855648258
oos_geometry,6,person_prefix,prefix,brier,9,6,0.09559637068723043,-0.02084195924238995,0.261078945140412,0.1153900450775621
oos_geometry,6,person_prefix,image_prefix,brier,9,6,-0.006282858995570412,-0.11485654338045545,0.128284629155687,0.010325265714821175
oos_geometry,6,joint,training_frequency,brier,9,6,0.13200052823330616,-0.04864938046785487,0.2469761847752639,0.05976889775583419
oos_geometry,6,joint,prefix,brier,9,6,0.13389271918071297,-0.04744963026380971,0.25311771701796776,0.06349485427691372
oos_geometry,6,joint,image_prefix,brier,9,6,0.03201348949791213,-0.20744763349050885,0.20373194084204604,-0.04156992508582722
oos_geometry,6,interaction,training_frequency,brier,9,6,0.11634589382042163,-0.024666408803039736,0.18881658415555644,0.07332365018529502
oos_geometry,6,interaction,prefix,brier,9,6,0.11823808476782845,-0.021814940236271636,0.19749023843209115,0.07704960670637456
oos_geometry,6,interaction,image_prefix,brier,9,6,0.01635885508502762,-0.18574991009713027,0.1434725605431877,-0.028015172656366383
oos_geometry,8,prefix,training_frequency,brier,9,6,-0.019452253462021007,-0.04807053588687877,0.009243795343490022,-0.019633102749527554
oos_geometry,8,prefix,image_prefix,brier,9,6,-0.10979721296697018,-0.2324626031969063,-0.0020934664926218443,-0.11573571837762085
oos_geometry,8,image_prefix,training_frequency,brier,9,6,0.09034495950494918,-0.0014242156640413793,0.19535888806430177,0.0961026156280933
oos_geometry,8,image_prefix,prefix,brier,9,6,0.10979721296697018,0.010276885970921438,0.22809719590252822,0.11573571837762085
oos_geometry,8,person_prefix,training_frequency,brier,9,6,0.07650475625510894,-0.019575303712114037,0.2114918381502232,0.10641416901573227
oos_geometry,8,person_prefix,prefix,brier,9,6,0.09595700971712993,-0.007157242371024528,0.2631521549686692,0.12604727176525984
oos_geometry,8,person_prefix,image_prefix,brier,9,6,-0.013840203249840243,-0.09055118846812715,0.11400708886583266,0.010311553387638997
oos_geometry,8,joint,training_frequency,brier,9,6,0.13009218677609838,0.009503914470092847,0.21978589205469184,0.07844291113484984
oos_geometry,8,joint,prefix,brier,9,6,0.14954444023811936,0.01372530096606279,0.24605574451825474,0.09807601388437738
