condition,repeat,n_types,workers,ari
manual,0,2,24,0.31181102362204727
manual,0,3,24,0.19771926882441723
manual,0,4,24,0.07449536458675785
manual,1,2,24,-0.05595408895265423
manual,1,3,24,0.105031159750722
manual,1,4,24,0.052406064601186554
manual,2,2,24,-0.014972419227738377
manual,2,3,24,-0.04528485635448791
manual,2,4,24,-0.05253468341113814
manual,3,2,24,-0.02141157811260904
manual,3,3,24,0.13332268880728085
manual,3,4,24,0.11532790563497661
manual,4,2,24,0.5413105413105413
manual,4,3,24,0.5423728813559322
manual,4,4,24,0.19984827137747913
manual,5,2,24,0.14442013129102846
manual,5,3,24,0.07514511873350924
manual,5,4,24,0.06726505893803396
manual,6,2,24,0.06613798572561459
manual,6,3,24,-0.01357177071690883
manual,6,4,24,0.039739059527045394
manual,7,2,24,0.026136957658128592
manual,7,3,24,0.11549059542350545
manual,7,4,24,0.23761803815764115
manual,8,2,24,0.14920733602735467
manual,8,3,24,0.07702107330537715
manual,8,4,24,0.12106655151940411
manual,9,2,24,0.06967925422657607
manual,9,3,24,0.2561433176557628
manual,9,4,24,0.054510487409099105
semi,0,2,24,-0.05595408895265423
semi,0,3,24,0.0861415220293725
semi,0,4,24,0.09654919236417034
semi,1,2,24,0.24035230038243133
semi,1,3,24,0.13274609797558337
semi,1,4,24,0.12488990664083142
semi,2,2,24,0.31952662721893493
semi,2,3,24,0.17309778397644507
semi,2,4,24,0.36035272172290994
semi,3,2,23,-0.012935016938712659
semi,3,3,23,0.06373355263157894
semi,3,4,23,0.11709236709236709
semi,4,2,24,0.41101152368758004
semi,4,3,24,0.25462962962962965
semi,4,4,24,0.19594476490124105
semi,5,2,24,0.2833715972449984
semi,5,3,24,0.1282798833819242
semi,5,4,24,0.18921721099015035
semi,6,2,24,0.20803443328550933
semi,6,3,24,0.0923499919133107
semi,6,4,24,0.11305207646671062
semi,7,2,24,-0.09652736904061213
semi,7,3,24,0.17667702797553395
semi,7,4,24,0.21983635011157948
semi,8,2,24,0.026455026455026454
semi,8,3,24,0.07168227316758154
semi,8,4,24,0.16597257491112238
semi,9,2,24,0.7839934667211107
semi,9,3,24,0.4222575516693164
semi,9,4,24,0.31977337110481585
