condition,k,method,images,kernel,brier,tv
manual,2,equal,133,1.1166803770931186,0.5900230107992159,0.3329957501341845
manual,2,profile_context,133,1.1751761466359523,0.6134017409245219,0.33325491803585194
manual,2,profile_continuous,133,1.1673429626803304,0.6085669073622185,0.3324825774567523
manual,2,profile_type2,133,1.1582349949574542,0.6137713045664838,0.33121461918100575
manual,2,profile_type3,133,1.1535381909505091,0.6100984203697428,0.3324539480864116
manual,2,profile_type4,133,1.1503548311458909,0.6087962605967427,0.33415725269374097
manual,2,selected_profile,133,1.1166803770931186,0.5900230107992159,0.3329957501341845
manual,4,equal,71,0.9116668683022101,0.44658903714685777,0.2483554347527661
manual,4,profile_context,71,0.9554875722044788,0.4564106807505893,0.2367223504147922
manual,4,profile_continuous,71,0.9460849993710063,0.4509318980321833,0.23806288724312913
manual,4,profile_type2,71,0.9325292447786994,0.459106488325881,0.24562097445974393
manual,4,profile_type3,71,0.9329928867554417,0.4568082576292485,0.24277980832966012
manual,4,profile_type4,71,0.9354052314044534,0.4608420010293877,0.2450000003017053
manual,4,selected_profile,71,0.9116668683022101,0.44658903714685777,0.2483554347527661
manual,6,equal,46,0.8819341101252758,0.4189537018820906,0.20277206246675553
manual,6,profile_context,46,0.9304618493272336,0.44130499301556886,0.2045402473728619
manual,6,profile_continuous,46,0.9165867545654534,0.42997271385549457,0.20339393868529002
manual,6,profile_type2,46,0.90338619032374,0.43285645499517317,0.20362672900356724
manual,6,profile_type3,46,0.9096940756530855,0.4316709404469703,0.20254614609453964
manual,6,profile_type4,46,0.912201334679509,0.43406239007862374,0.20356053849679967
manual,6,selected_profile,46,0.8819341101252758,0.4189537018820906,0.20277206246675553
manual,8,equal,46,0.8504306014736586,0.3996985087678022,0.18399268304159608
manual,8,profile_context,46,0.8866328437694159,0.4203317303705778,0.18448304324887682
manual,8,profile_continuous,46,0.8741582141449858,0.4082735445779046,0.18442983195021692
manual,8,profile_type2,46,0.8674152712854415,0.4112337988381864,0.18528159179204637
manual,8,profile_type3,46,0.8724909529775736,0.4113937521456767,0.18569246249104537
manual,8,profile_type4,46,0.8753137346665625,0.412593615226742,0.1848500143466091
manual,8,selected_profile,46,0.8504306014736586,0.3996985087678022,0.18399268304159608
oos_geometry,2,equal,9,1.3445294847458897,0.9323392656725991,0.5208834375501042
oos_geometry,2,profile_context,9,1.4440437826493948,0.9871336067164231,0.5184217311100386
oos_geometry,2,profile_continuous,9,1.4305997722740655,0.9807355454800528,0.5193280947375973
oos_geometry,2,profile_type2,9,1.4032796401569716,0.9604704345037679,0.517689594356261
oos_geometry,2,profile_type3,9,1.403279944179754,0.9591219496552831,0.5163055154721822
oos_geometry,2,profile_type4,9,1.398679166893315,0.9562557158890493,0.5163379830046497
oos_geometry,2,selected_profile,9,1.3445294847458897,0.9323392656725991,0.5208834375501042
oos_geometry,4,equal,9,1.113544678283625,0.7177631578947368,0.3816764132553606
oos_geometry,4,profile_context,9,1.1893261539713753,0.7482946976200894,0.38034024468476346
oos_geometry,4,profile_continuous,9,1.1749053858288303,0.7388822235116574,0.37926856252580005
oos_geometry,4,profile_type2,9,1.1585520998744612,0.7603433115597532,0.39374578540368016
oos_geometry,4,profile_type3,9,1.1639702190315446,0.7456246265706531,0.37784239444765766
oos_geometry,4,profile_type4,9,1.1547083832669571,0.7450606597776139,0.381695357517726
oos_geometry,4,selected_profile,9,1.113544678283625,0.7177631578947368,0.3816764132553606
oos_geometry,6,equal,9,1.0331759960242233,0.6518195755668522,0.33042846768336964
oos_geometry,6,profile_context,9,1.090554926786689,0.6546630863541525,0.32550395391419573
oos_geometry,6,profile_continuous,9,1.0771071401072474,0.6466236167053566,0.32558667371370875
oos_geometry,6,profile_type2,9,1.0632802450750147,0.6769662086645358,0.3374786457792994
oos_geometry,6,profile_type3,9,1.0725585441638075,0.6650261185338333,0.3273208233910848
oos_geometry,6,profile_type4,9,1.0648447105532055,0.6656462216162186,0.3310659819483349
oos_geometry,6,selected_profile,9,1.0331759960242233,0.6518195755668522,0.33042846768336964
oos_geometry,8,equal,9,0.9951556727535187,0.6243248456790124,0.28719135802469137
oos_geometry,8,profile_context,9,1.0371474759404034,0.6166255102093943,0.29333967281001117
oos_geometry,8,profile_continuous,9,1.0259273110977538,0.6113126336039749,0.29250473410141553
oos_geometry,8,profile_type2,9,1.020115944237682,0.6435813094269373,0.298993443298995
oos_geometry,8,profile_type3,9,1.025916055754168,0.63176889486131,0.2893694541226341
oos_geometry,8,profile_type4,9,1.0171412969771734,0.634249992132401,0.29123012312785757
oos_geometry,8,selected_profile,9,0.9974109733028224,0.6274097271743744,0.2889846254989051
semi,2,equal,42,0.8867417831241149,0.43551930873359446,0.2619090565519137
semi,2,profile_context,42,0.9056293603862828,0.4368014457683308,0.2528317853128111
semi,2,profile_continuous,42,0.899996581577198,0.4248412667801163,0.24670730140819605
semi,2,profile_type2,42,0.8983746018257877,0.4309036315536316,0.2568659726516869
semi,2,profile_type3,42,0.888997701451762,0.43061306569092284,0.25506258159829587
semi,2,profile_type4,42,0.8886491264427211,0.42462094602487466,0.2483528310314025
semi,2,selected_profile,42,0.8959194293024316,0.43741012506012505,0.2607072424929568
semi,4,equal,18,0.7071051056914669,0.27392246047216806,0.15139971843188219
semi,4,profile_context,18,0.6966738696097751,0.26926952164671447,0.1389693963598449
semi,4,profile_continuous,18,0.6954061451632692,0.268307202799093,0.13905209447218578
semi,4,profile_type2,18,0.7080966172829736,0.26316201290530783,0.14285608370403693
