condition,heldout_building,worker_id,coannotated_training_images,relative_log_pairs,known
manual,2t7WUuJeko7,W001,70,0.09755276138515184,True
manual,2t7WUuJeko7,W002,63,0.08319967328179671,True
manual,2t7WUuJeko7,W006,69,0.02291967043179921,True
manual,2t7WUuJeko7,W008,68,-0.0759394089139976,True
manual,2t7WUuJeko7,W010,69,-0.03197310768540271,True
manual,2t7WUuJeko7,W011,69,0.050007453730734654,True
manual,2t7WUuJeko7,W012,68,0.043137178823044735,True
manual,2t7WUuJeko7,W013,68,-0.013921301206616521,True
manual,2t7WUuJeko7,W014,58,-0.023525140469743903,True
manual,2t7WUuJeko7,W015,70,0.028772581516641377,True
manual,2t7WUuJeko7,W017,68,0.0808441034430046,True
manual,2t7WUuJeko7,W018,57,0.01604883041541214,True
manual,2t7WUuJeko7,W021,30,0.021813309167346258,True
manual,2t7WUuJeko7,W027,58,0.08576064282270514,True
manual,2t7WUuJeko7,W028,67,0.05036175999208586,True
manual,2t7WUuJeko7,W029,68,-0.13974728198930522,True
manual,2t7WUuJeko7,W030,68,-0.012744934512576002,True
manual,2t7WUuJeko7,W031,72,-0.006569161220399603,True
manual,2t7WUuJeko7,W032,70,0.05178416281661138,True
manual,2t7WUuJeko7,W033,70,0.022065723095376518,True
manual,2t7WUuJeko7,W034,86,-0.09875515836059408,True
manual,2t7WUuJeko7,W035,68,-0.020949222838929894,True
manual,2t7WUuJeko7,W036,70,-0.014418750035884989,True
manual,2t7WUuJeko7,W037,69,-0.03197712500997759,True
manual,7y3sRwLe3Va,W001,67,0.09996724816512986,True
manual,7y3sRwLe3Va,W002,60,0.08522948569633033,True
manual,7y3sRwLe3Va,W006,66,0.023848846260115398,True
manual,7y3sRwLe3Va,W008,68,-0.0759394089139976,True
manual,7y3sRwLe3Va,W010,66,-0.03326931475372985,True
manual,7y3sRwLe3Va,W011,66,0.0520347829360347,True
manual,7y3sRwLe3Va,W012,65,0.0393556230471676,True
manual,7y3sRwLe3Va,W013,66,-0.008818294372901233,True
manual,7y3sRwLe3Va,W014,56,-0.0242603011094234,True
manual,7y3sRwLe3Va,W015,67,0.029923484777307035,True
manual,7y3sRwLe3Va,W017,66,0.08302907921173446,True
manual,7y3sRwLe3Va,W018,55,0.0055559808959022815,True
manual,7y3sRwLe3Va,W021,29,0.022402858063761022,True
manual,7y3sRwLe3Va,W027,55,0.08340852886016467,True
manual,7y3sRwLe3Va,W028,64,0.04283312248397908,True
manual,7y3sRwLe3Va,W029,65,-0.1454903209751671,True
manual,7y3sRwLe3Va,W030,65,-0.0243773320434535,True
manual,7y3sRwLe3Va,W031,70,-0.0015393306349205617,True
manual,7y3sRwLe3Va,W032,67,0.048449327887833654,True
manual,7y3sRwLe3Va,W033,67,0.01605452690232132,True
manual,7y3sRwLe3Va,W034,84,-0.09336780114495542,True
manual,7y3sRwLe3Va,W035,66,-0.016036159833114964,True
manual,7y3sRwLe3Va,W036,67,-0.014995500037320388,True
manual,7y3sRwLe3Va,W037,66,-0.030258041546676554,True
manual,B6ByNegPMKs,W001,66,0.1021139882461207,True
manual,B6ByNegPMKs,W002,59,0.08738054545042767,True
manual,B6ByNegPMKs,W006,65,0.024175542784226567,True
manual,B6ByNegPMKs,W008,66,-0.07799182537113267,True
manual,B6ByNegPMKs,W010,65,-0.03372505879145218,True
manual,B6ByNegPMKs,W011,65,0.052747588181733814,True
manual,B6ByNegPMKs,W012,64,0.046997029252905914,True
manual,B6ByNegPMKs,W013,63,-0.014901674531026136,True
manual,B6ByNegPMKs,W014,53,-0.025453430672181927,True
manual,B6ByNegPMKs,W015,66,0.03032785619321659,True
manual,B6ByNegPMKs,W017,64,0.08533544252317153,True
manual,B6ByNegPMKs,W018,53,0.017101212737734246,True
manual,B6ByNegPMKs,W021,27,0.023683021381690223,True
manual,B6ByNegPMKs,W027,53,0.09192659292573156,True
manual,B6ByNegPMKs,W028,62,0.05395902856294913,True
manual,B6ByNegPMKs,W029,63,-0.149588639875876,True
manual,B6ByNegPMKs,W030,64,-0.013452986429941336,True
manual,B6ByNegPMKs,W031,70,-0.0067376012516919,True
manual,B6ByNegPMKs,W032,67,0.048449327887833654,True
manual,B6ByNegPMKs,W033,66,0.023258464884315787,True
manual,B6ByNegPMKs,W034,82,-0.11260818996258253,True
manual,B6ByNegPMKs,W035,63,-0.022424520221953126,True
manual,B6ByNegPMKs,W036,65,-0.0028544078208886884,True
manual,B6ByNegPMKs,W037,65,-0.0353427624852693,True
manual,S9hNv5qa7GM,W001,67,0.10145487184055792,True
manual,S9hNv5qa7GM,W002,62,0.08438824004296525,True
manual,S9hNv5qa7GM,W006,67,0.023530861643313857,True
manual,S9hNv5qa7GM,W008,68,-0.0759394089139976,True
manual,S9hNv5qa7GM,W010,64,-0.029379940298556062,True
manual,S9hNv5qa7GM,W011,66,0.0520347829360347,True
manual,S9hNv5qa7GM,W012,65,0.04490993959659452,True
manual,S9hNv5qa7GM,W013,66,-0.01429755259057913,True
manual,S9hNv5qa7GM,W014,58,-0.023525140469743903,True
manual,S9hNv5qa7GM,W015,68,0.029529754714447732,True
manual,S9hNv5qa7GM,W017,66,0.08302907921173446,True
manual,S9hNv5qa7GM,W018,57,0.01604883041541214,True
manual,S9hNv5qa7GM,W021,30,0.021813309167346258,True
manual,S9hNv5qa7GM,W027,58,0.08576064282270514,True
manual,S9hNv5qa7GM,W028,64,0.05727368874564462,True
manual,S9hNv5qa7GM,W029,66,-0.14352423555658375,True
manual,S9hNv5qa7GM,W030,65,-0.03225903265857078,True
manual,S9hNv5qa7GM,W031,72,-0.006569161220399603,True
manual,S9hNv5qa7GM,W032,67,0.053855529329275835,True
manual,S9hNv5qa7GM,W033,67,0.022948352019191577,True
manual,S9hNv5qa7GM,W034,86,-0.09875515836059408,True
manual,S9hNv5qa7GM,W035,66,-0.021515418050792864,True
manual,S9hNv5qa7GM,W036,67,-0.01742645412790645,True
manual,S9hNv5qa7GM,W037,66,-0.0308096901212746,True
manual,UwV83HsGsw3,W001,65,0.07968980710703821,True
manual,UwV83HsGsw3,W002,60,0.07667690621246502,True
manual,UwV83HsGsw3,W006,65,0.018621226234799657,True
manual,UwV83HsGsw3,W008,66,-0.07799182537113267,True
manual,UwV83HsGsw3,W010,65,-0.03372505879145218,True
manual,UwV83HsGsw3,W011,65,0.05246798547954028,True
manual,UwV83HsGsw3,W012,64,0.03843888842757512,True
manual,UwV83HsGsw3,W013,64,-0.014694706829206329,True
manual,UwV83HsGsw3,W014,54,-0.025042891467791897,True
manual,UwV83HsGsw3,W015,66,0.02644026061954388,True
manual,UwV83HsGsw3,W017,64,0.0797039826883359,True
manual,UwV83HsGsw3,W018,52,0.010628481148227075,True
manual,UwV83HsGsw3,W021,28,0.016826727695693003,True
manual,UwV83HsGsw3,W027,54,0.08135694492987457,True
manual,UwV83HsGsw3,W028,63,0.0542846104129587,True
manual,UwV83HsGsw3,W029,64,-0.14080906921063063,True
manual,UwV83HsGsw3,W030,63,-0.01335498627740351,True
manual,UwV83HsGsw3,W031,70,-0.011935871868463238,True
manual,UwV83HsGsw3,W032,66,0.05430748246534541,True
manual,UwV83HsGsw3,W033,66,0.008412352875287282,True
manual,UwV83HsGsw3,W034,84,-0.10020050396476382,True
manual,UwV83HsGsw3,W035,64,-0.02211306855220378,True
manual,UwV83HsGsw3,W036,66,-0.01728125922467956,True
manual,UwV83HsGsw3,W037,65,-0.0353427624852693,True
manual,VFuaQ6m2Qom,W001,69,0.10000358657712755,True
manual,VFuaQ6m2Qom,W002,62,0.08178364637448017,True
manual,VFuaQ6m2Qom,W006,68,0.0364771859673641,True
manual,VFuaQ6m2Qom,W008,69,-0.06186939697652838,True
manual,VFuaQ6m2Qom,W010,67,-0.03255357726021175,True
manual,VFuaQ6m2Qom,W011,67,0.035897732509133994,True
manual,VFuaQ6m2Qom,W012,67,0.04128138711676593,True
manual,VFuaQ6m2Qom,W013,67,-0.01653787264662414,True
manual,VFuaQ6m2Qom,W014,58,-0.023525140469743903,True
manual,VFuaQ6m2Qom,W015,69,0.02677843898057238,True
manual,VFuaQ6m2Qom,W017,66,0.08330490349903347,True
manual,VFuaQ6m2Qom,W018,57,0.01604883041541214,True
manual,VFuaQ6m2Qom,W021,30,0.021813309167346258,True
manual,VFuaQ6m2Qom,W027,58,0.08576064282270514,True
manual,VFuaQ6m2Qom,W028,67,0.05036175999208586,True
manual,VFuaQ6m2Qom,W029,67,-0.1281778922788809,True
manual,VFuaQ6m2Qom,W030,64,0.014052660581152957,True
manual,VFuaQ6m2Qom,W031,70,-0.02646290679681689,True
manual,VFuaQ6m2Qom,W032,68,0.040077801666913215,True
manual,VFuaQ6m2Qom,W033,68,0.03856987454953399,True
manual,VFuaQ6m2Qom,W034,86,-0.09472491526645836,True
manual,VFuaQ6m2Qom,W035,66,-0.0013803915873749403,True
manual,VFuaQ6m2Qom,W036,68,-0.023381416958404205,True
manual,VFuaQ6m2Qom,W037,66,-0.023609889570823137,True
manual,VLzqgDo317F,W001,70,0.09755276138515184,True
manual,VLzqgDo317F,W002,63,0.08319967328179671,True
manual,VLzqgDo317F,W006,69,0.02291967043179921,True
manual,VLzqgDo317F,W008,70,-0.07399224458286946,True
manual,VLzqgDo317F,W010,69,-0.03197310768540271,True
manual,VLzqgDo317F,W011,69,0.050007453730734654,True
manual,VLzqgDo317F,W012,68,0.043137178823044735,True
manual,VLzqgDo317F,W013,67,-0.014106918556038076,True
manual,VLzqgDo317F,W014,58,-0.023525140469743903,True
manual,VLzqgDo317F,W015,69,0.02914625140646789,True
manual,VLzqgDo317F,W017,68,0.0808441034430046,True
manual,VLzqgDo317F,W018,57,0.01604883041541214,True
manual,VLzqgDo317F,W021,30,0.021813309167346258,True
manual,VLzqgDo317F,W027,58,0.08576064282270514,True
manual,VLzqgDo317F,W028,67,0.05036175999208586,True
manual,VLzqgDo317F,W029,68,-0.13974728198930522,True
manual,VLzqgDo317F,W030,68,-0.012744934512576002,True
manual,VLzqgDo317F,W031,74,-0.006408937775999612,True
manual,VLzqgDo317F,W032,70,0.05178416281661138,True
manual,VLzqgDo317F,W033,70,0.022065723095376518,True
