method,baseline,algorithm,condition,target,design,n_images,n_buildings,method_MAE,target_only_MAE,delta_MAE,CI_low,CI_high
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,owner_valid_active_seconds,leave_building,69,18,75.7685990338,78.2985507246,-2.52995169082,-9.82398809524,5.68731439394
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,owner_valid_active_seconds,leave_supported_room_conservative,69,18,75.7685990338,78.2985507246,-2.52995169082,-9.82398809524,5.68731439394
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,owner_valid_active_seconds,same_room_leave_view,40,12,111.0875,111.0875,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,point_count_disagreement,leave_building,59,18,0.286046814072,0.280863418903,0.00518339516865,-0.0480036586933,0.0615044086072
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,point_count_disagreement,leave_supported_room_conservative,59,18,0.286046814072,0.280863418903,0.00518339516865,-0.0480036586933,0.0615044086072
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,point_count_disagreement,same_room_leave_view,33,11,0.207297708879,0.207297708879,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,reference_geometry_error,leave_building,60,18,0.0538737390802,0.0577954385571,-0.00392169947697,-0.0140397037959,0.00705853307752
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,reference_geometry_error,leave_supported_room_conservative,60,18,0.0538737390802,0.0577954385571,-0.00392169947697,-0.0140397037959,0.00705853307752
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,reference_geometry_error,same_room_leave_view,31,9,0.0520565585902,0.0520565585902,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,scope_entropy,leave_building,69,18,0.426316880311,0.445293956846,-0.018977076535,-0.125824019448,0.0828556132377
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,scope_entropy,leave_supported_room_conservative,69,18,0.426316880311,0.445293956846,-0.018977076535,-0.125824019448,0.0828556132377
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,scope_entropy,same_room_leave_view,40,12,0.246733298042,0.246733298042,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,scope_non_normal_rate,leave_building,69,18,0.28290800252,0.248174753203,0.0347332493173,-0.0152860540427,0.0869323331292
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,scope_non_normal_rate,leave_supported_room_conservative,69,18,0.28290800252,0.248174753203,0.0347332493173,-0.0152860540427,0.0869323331292
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,scope_non_normal_rate,same_room_leave_view,40,12,0.155172101449,0.155172101449,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,scope_p_normal,leave_building,69,18,0.28290800252,0.248174753203,0.0347332493173,-0.0152860540427,0.0869323331292
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,scope_p_normal,leave_supported_room_conservative,69,18,0.28290800252,0.248174753203,0.0347332493173,-0.0152860540427,0.0869323331292
