condition,information,metric,human_scene,n,groups,delta,lo,hi
manual,B,fixed_future_cov,储藏与家务辅助,2,2,0.0648806042883,0.0254727095517,0.104288499025
manual,B,fixed_future_cov,卧室,6,5,0.00296242595771,-0.0187945535389,0.0146341158212
manual,B,fixed_future_cov,卫浴,19,8,-0.00904015609384,-0.0587343415244,0.0154694423596
manual,B,fixed_future_cov,厨房与用餐,1,1,0.0187563016737,,
manual,B,fixed_future_cov,复合／待定,3,3,-0.000518925518927,-0.00155677655678,0
manual,B,fixed_future_cov,工作与学习,1,1,0.0833333333333,,
manual,B,fixed_future_cov,起居与休闲,3,3,0.164615354575,-0.000401330122692,0.402777777778
manual,B,fixed_future_cov,通行与连接,15,9,-0.0118212387122,-0.0255665468675,0.00618541669666
manual,B,mode_entropy,储藏与家务辅助,2,2,-0.115823586745,-0.2022417154,-0.0294054580897
manual,B,mode_entropy,卧室,6,5,-0.013925901016,-0.0506236486411,0.0131873086591
manual,B,mode_entropy,卫浴,19,8,0.015769100167,-0.0433633524668,0.130979028462
manual,B,mode_entropy,厨房与用餐,1,1,-0.00223835450696,,
manual,B,mode_entropy,复合／待定,3,3,0.0094017094017,0,0.0282051282051
manual,B,mode_entropy,工作与学习,1,1,-0.168128654971,,
manual,B,mode_entropy,起居与休闲,3,3,-0.22416875487,-0.416666666667,-0.0351429287331
manual,B,mode_entropy,通行与连接,15,9,0.0331326538746,-0.018301771239,0.0774713765033
manual,B,same_topology_median_d,储藏与家务辅助,2,2,-0.00364089810887,-0.00638293877987,-0.000898857437862
manual,B,same_topology_median_d,卧室,5,4,0.000914911038104,-0.00896032581415,0.00818445540204
manual,B,same_topology_median_d,卫浴,15,7,-0.000299921659208,-0.00912319416849,0.0107574760754
manual,B,same_topology_median_d,厨房与用餐,1,1,-0.00635575730405,,
manual,B,same_topology_median_d,复合／待定,2,2,0.00214195395624,0.000640029250409,0.00364387866208
manual,B,same_topology_median_d,工作与学习,0,0,,,
manual,B,same_topology_median_d,起居与休闲,2,2,-0.0174119206318,-0.0236481895158,-0.0111756517478
manual,B,same_topology_median_d,通行与连接,13,8,0.0119104856066,-0.0109346909377,0.0246437463496
manual,B,topology_disagreement,储藏与家务辅助,2,2,0,0,0
manual,B,topology_disagreement,卧室,6,5,-0.0149157536242,-0.0552514619883,0.000971718088324
manual,B,topology_disagreement,卫浴,19,8,-0.00786267461073,-0.0574842647612,0.0178345734353
manual,B,topology_disagreement,厨房与用餐,1,1,0,,
manual,B,topology_disagreement,复合／待定,3,3,-0.0443833943833,-0.13315018315,0
manual,B,topology_disagreement,工作与学习,1,1,-0.186009896536,,
manual,B,topology_disagreement,起居与休闲,3,3,0.0253704894677,-0.245105517417,0.32121698582
manual,B,topology_disagreement,通行与连接,15,9,0.02579007489,-0.0170473287705,0.0998090522086
