condition,prefix_k,target,feature,baseline,method_MAE,baseline_MAE,n,groups,delta,lo,hi
manual,2,future_new_geometry_rate,prefix_only,cold_portrait,0.284962573804,0.262914877836,144,21,0.0220476959682,0.00583378046315,0.0423877767652
manual,2,future_new_geometry_rate,portrait_plus_prefix,prefix_only,0.249745806766,0.284962573804,144,21,-0.035216767038,-0.0505175677731,-0.0216525384237
manual,2,future_new_geometry_rate,portrait_plus_prefix,cold_portrait,0.249745806766,0.262914877836,144,21,-0.0131690710698,-0.0199888423952,-0.00493091289722
manual,2,future_new_geometry_rate,cold_portrait,horizon_only,0.262914877836,0.327416248079,144,21,-0.064501370243,-0.091242747878,-0.0430256797427
manual,2,future_new_point_rate,prefix_only,cold_portrait,0.257765001021,0.260073338055,144,21,-0.00230833703369,-0.0504385174369,0.0321710494471
manual,2,future_new_point_rate,portrait_plus_prefix,prefix_only,0.250853452429,0.257765001021,144,21,-0.00691154859203,-0.036054460447,0.0344460354193
manual,2,future_new_point_rate,portrait_plus_prefix,cold_portrait,0.250853452429,0.260073338055,144,21,-0.00921988562572,-0.0167035343984,-0.00210894368989
manual,2,future_new_point_rate,cold_portrait,horizon_only,0.260073338055,0.286254153367,144,21,-0.0261808153124,-0.0640656970009,0.0263520515467
manual,2,future_unsupported_geometry_rate,prefix_only,cold_portrait,0.130217582521,0.306744654438,144,21,-0.176527071917,-0.212591826544,-0.129441342397
manual,2,future_unsupported_geometry_rate,portrait_plus_prefix,prefix_only,0.137026306863,0.130217582521,144,21,0.00680872434234,-0.00825223714718,0.0193062150182
manual,2,future_unsupported_geometry_rate,portrait_plus_prefix,cold_portrait,0.137026306863,0.306744654438,144,21,-0.169718347575,-0.194697787837,-0.136788731815
manual,2,future_unsupported_geometry_rate,cold_portrait,horizon_only,0.306744654438,0.393445076793,144,21,-0.0867004223555,-0.12081388678,-0.0538618386997
manual,2,new_supported_future_mode,prefix_only,cold_portrait,0.302221208553,0.313056811035,144,21,-0.0108356024815,-0.0313306700119,0.0114581746125
manual,2,new_supported_future_mode,portrait_plus_prefix,prefix_only,0.309447414097,0.302221208553,144,21,0.00722620554429,-0.0116382930025,0.0265579077942
manual,2,new_supported_future_mode,portrait_plus_prefix,cold_portrait,0.309447414097,0.313056811035,144,21,-0.00360939693723,-0.00804790428768,0.00104297073345
manual,2,new_supported_future_mode,cold_portrait,horizon_only,0.313056811035,0.320662011394,144,21,-0.00760520035939,-0.0292003153485,0.0169375635876
manual,2,prefix_future_mass_TV,prefix_only,cold_portrait,0.229232415572,0.248393236938,144,21,-0.0191608213663,-0.0371660054507,0.00321655361562
manual,2,prefix_future_mass_TV,portrait_plus_prefix,prefix_only,0.21333532057,0.229232415572,144,21,-0.0158970950016,-0.0299569842798,-0.00615529397477
manual,2,prefix_future_mass_TV,portrait_plus_prefix,cold_portrait,0.21333532057,0.248393236938,144,21,-0.0350579163679,-0.0457591196345,-0.0235402542423
manual,2,prefix_future_mass_TV,cold_portrait,horizon_only,0.248393236938,0.284635413521,144,21,-0.0362421765827,-0.0601385368903,-0.0138433844176
manual,3,future_new_geometry_rate,prefix_only,cold_portrait,0.266164677318,0.287461750324,133,20,-0.0212970730057,-0.0493520950366,0.00902746690037
manual,3,future_new_geometry_rate,portrait_plus_prefix,prefix_only,0.262473224568,0.266164677318,133,20,-0.00369145274955,-0.0288914095651,0.0185717051301
manual,3,future_new_geometry_rate,portrait_plus_prefix,cold_portrait,0.262473224568,0.287461750324,133,20,-0.0249885257552,-0.0395553987401,-0.0125445511565
manual,3,future_new_geometry_rate,cold_portrait,horizon_only,0.287461750324,0.329628293969,133,20,-0.0421665436452,-0.0723289411692,-0.00654413696466
