image_id,building,condition,kind,n,k,half_TV,half_within_geometry,half_future_coverage,late_new_geometry,late_support_promotions,full_within_geometry
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,not_supported_multimodal,3,2,0,0.0168650437786,1,0,0,0.0179958424951
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,not_supported_multimodal,3,2,0,0.0572654646765,1,0,0,0.065568976242
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,not_supported_multimodal,5,3,0.162666666667,0.058640265729,0.78,0.22,0,0.0626401137484
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,not_supported_multimodal,24,12,0,0.0228374443128,1,0,0,0.022511757592
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,different_point_only_multimodal,24,12,0.168333333333,0.0257225100885,0.715,0.23,0.055,0.0227007242427
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual,not_supported_multimodal,5,3,0.321333333333,0,0,0.665,0.335,0
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,not_supported_multimodal,6,3,0.401666666667,0.0871720435997,0,0.716666666667,0.283333333333,0.0871720435997
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,not_supported_multimodal,6,3,0.223333333333,0.0169791925938,0.506666666667,0.353333333333,0.0466666666667,0.0177253478985
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,not_supported_multimodal,4,2,0,0,1,0,0,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,manual,not_supported_multimodal,5,3,0.238,0.063115813866,0.295,0.375,0.165,0.059708590451
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,semi,not_supported_multimodal,4,2,0.3275,0,0,0.56,0.44,0
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual,not_supported_multimodal,5,3,0.242,0.045463421696,0.295,0.405,0.15,0.0489397819144
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,not_supported_multimodal,5,3,0.159333333333,0.0611466689401,0.805,0.195,0,0.0498200930069
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,not_supported_multimodal,5,3,0.156666666667,0.0530164721044,0.825,0.175,0,0.0499534341062
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,mixed_point_and_geometry_multimodal,24,12,0.1675,0.0401376937375,0.620833333333,0.125833333333,0.245,0.0823840309565
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,same_point_only_multimodal,24,12,0.160833333333,0.0546311896953,0.881666666667,0.0508333333333,0.103333333333,0.0794073947257
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,manual,not_supported_multimodal,5,3,0.317333333333,0.0668441816134,0.21,0.445,0.24,0.0664213357058
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,semi,not_supported_multimodal,4,2,0.25,0.000579064154469,0.24,0.24,0.26,0.000794145126129
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,not_supported_multimodal,5,3,0,0.0479241518314,1,0,0,0.0481958237761
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,not_supported_multimodal,4,2,0.25,0.0484407519875,0.245,0.245,0.255,0.0428401304102
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,same_point_only_multimodal,24,12,0.1925,0.046649768186,0.596666666667,0.169166666667,0.165833333333,0.0945328213567
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,same_point_only_multimodal,23,12,0.255688405797,0.0732220307922,0.548181818182,0.214545454545,0.214545454545,0.0902451309604
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,same_point_only_multimodal,6,3,0.313333333333,0.0274853281051,0,0.48,0.52,0.0296620246809
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,not_supported_multimodal,4,2,0.3275,0.0267439092136,0,0.575,0.425,0.0267439092136
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,same_point_only_multimodal,24,12,0.312916666667,0.0628277848711,0.226666666667,0.460833333333,0.250833333333,0.0835475578406
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,not_supported_multimodal,5,3,0.237333333333,0.0833400966027,0.3,0.38,0.16,0.0812562313061
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,not_supported_multimodal,6,3,0.36,0.00567787693021,0.163333333333,0.563333333333,0.136666666667,0.00728249432353
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,same_point_only_multimodal,5,3,0.147333333333,0.049318555846,0.335,0.055,0.5,0.0661293412115
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,same_point_only_multimodal,19,10,0.224210526316,0.0763386627367,0.685555555556,0.182222222222,0.207777777778,0.097113490016
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM,manual,not_supported_multimodal,2,2,0,,,,,
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,manual,not_supported_multimodal,3,2,0.226666666667,0.0243538101763,0,0.36,0.64,0.0243538101763
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,manual,not_supported_multimodal,2,2,0,0.0676319616488,,,,0.0676319616488
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,not_supported_multimodal,20,10,0.05,0.0371377182297,1,0,0.012,0.0360594464715
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,S9hNv5qa7GM,manual,not_supported_multimodal,2,2,0,0.0686243012273,,,,0.0686243012273
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM,manual,not_supported_multimodal,3,2,0,0.0632157568098,1,0,0,0.0613472900077
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,manual,not_supported_multimodal,4,2,0.5,,0,1,0,
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,semi,not_supported_multimodal,4,2,0.34,0.00902094649736,0,0.595,0.405,0.00902094649736
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,manual,not_supported_multimodal,5,3,0.157333333333,0.0461667495194,0.82,0.18,0,0.0493877253044
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,mixed_point_and_geometry_multimodal,24,12,0.235,0.0402895445785,0.45,0.205833333333,0.1825,0.0533910068111
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,mixed_point_and_geometry_multimodal,24,12,0.2,0.0523474991029,0.724166666667,0.101666666667,0.1325,0.0527088124171
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,manual,different_point_only_multimodal,6,3,0.305,0.0253270693135,0,0.466666666667,0.533333333333,0.0467829540047
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,semi,not_supported_multimodal,4,2,0.32,0.0339200933769,0,0.58,0.42,0.0339200933769
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,manual,not_supported_multimodal,5,3,0.313333333333,0.0807933801821,0,0.655,0.345,0.0807933801821
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,not_supported_multimodal,23,12,0.0630434782609,0.0240589833489,0.918181818182,0.0818181818182,0,0.023919853283
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,manual,different_point_only_multimodal,5,3,0.161333333333,0.0400655768072,0.3,0.055,0.5,0.0511403046723
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom,manual,not_supported_multimodal,2,2,0,,,,,
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,VFuaQ6m2Qom,manual,not_supported_multimodal,2,2,0,,,,,
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,manual,different_point_only_multimodal,7,4,0.204285714286,0.0578141168428,0.42,0.156666666667,0.29,0.0565653472616
