image_id,building,condition,cut,n,point_count,mode_a,mode_b,people_a,people_b,min_cross_distance,median_cross_distance,cross_pairs_compatible_at_cut,two_mode_silhouette,medoid_a,medoid_b,medoid_distance,weak_numeric_separation,physical_meaning
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,0.05,5,8,1,2,2,2,0.0626401137484,0.0638566686054,0,0.652156808211,9ba553c8c79977374da6,a3e7b70ed81a76c41c0f,0.0626401137484,False,not adjudicated
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,0.05,24,8,1,2,17,7,0.0140107028057,0.029946803563,0.90756302521,0.400385708609,6c26d77b8fe5e104,5f9c3715d22ae336,0.0266905567722,True,not adjudicated
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.05,24,8,4,5,14,2,0.0305433509656,0.049779689589,0.535714285714,0.688168523749,1106d9b3309125ae,babc4e1b7d60b5ce,0.0707192158713,True,not adjudicated
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,0.2,24,8,2,3,2,19,0.156125389869,0.273049386734,0.394736842105,0.740688001618,8a6c9350ded9f505,3d27ec416166fb40,0.281058880298,False,not adjudicated
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,0.05,5,8,1,2,2,2,0.0496817869012,0.0688807171264,0.5,0.310008893071,c9e40b1fe2b3537ffc79,ca89b9306226c9c332c3,0.0496817869012,False,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.05,24,8,1,6,2,11,0.135305083969,0.150530526893,0,0.945796597564,cd3a2f4a0e0ad07e,185f571fb1f1fa61,0.140500603597,False,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.05,24,8,1,7,2,2,0.142541369086,0.159874441928,0,0.721186536073,cd3a2f4a0e0ad07e,8426a252a40fabd5,0.142541369086,False,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.05,24,8,6,7,11,2,0.0519026640766,0.0675161307588,0,0.853156877112,185f571fb1f1fa61,8426a252a40fabd5,0.0580970753385,False,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,24,8,1,2,2,2,0.222554562678,0.245109601325,0,0.75163733406,cd3a2f4a0e0ad07e,2d656d0b379aca23,0.224320655231,False,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,24,8,1,3,2,2,0.212598726212,0.22196255297,0,0.734215278915,cd3a2f4a0e0ad07e,8ded0001dfe26e8d,0.222110084027,False,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,24,8,1,4,2,13,0.135305083969,0.155682929968,0,0.843551944582,cd3a2f4a0e0ad07e,185f571fb1f1fa61,0.140500603597,False,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,24,8,2,3,2,2,0.150564284134,0.185340732616,0,0.560047883316,2d656d0b379aca23,8ded0001dfe26e8d,0.192769197303,False,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,24,8,2,4,2,13,0.0976767862942,0.145790380194,0.0384615384615,0.800384002421,2d656d0b379aca23,185f571fb1f1fa61,0.145790380194,False,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.1,24,8,3,4,2,13,0.0860349238325,0.102736149332,0.461538461538,0.726433878662,8ded0001dfe26e8d,185f571fb1f1fa61,0.102915663504,False,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.2,24,8,1,2,2,2,0.222554562678,0.245109601325,0,0.75163733406,cd3a2f4a0e0ad07e,2d656d0b379aca23,0.224320655231,False,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.2,24,8,1,3,2,15,0.135305083969,0.159061356103,0.866666666667,0.752191207288,cd3a2f4a0e0ad07e,185f571fb1f1fa61,0.140500603597,True,not adjudicated
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,semi,0.2,24,8,2,3,2,15,0.0976767862942,0.163988112177,0.966666666667,0.706134761964,2d656d0b379aca23,185f571fb1f1fa61,0.145790380194,True,not adjudicated
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.05,24,8,1,6,6,5,0.312321939865,0.329407448099,0,0.956443446348,e2c06769623e335c,75ca740199bbfca6,0.339236982488,False,not adjudicated
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.05,24,8,1,7,6,5,0.345408461423,0.355032042482,0,0.967763566349,e2c06769623e335c,0a8c62a27fbaac21,0.355032042482,False,not adjudicated
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.05,24,8,6,7,5,5,0.019916665543,0.0340241303063,0.72,0.315935204135,75ca740199bbfca6,0a8c62a27fbaac21,0.0260359860017,True,not adjudicated
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.1,24,8,1,3,7,2,0.336961970003,0.381941856131,0,0.909481393322,e2c06769623e335c,cd59ff6392d0007b,0.380344956109,False,not adjudicated
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.1,24,8,1,4,7,12,0.27270208246,0.341495200028,0,0.894442874604,e2c06769623e335c,75ca740199bbfca6,0.339236982488,False,not adjudicated
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.1,24,8,3,4,2,12,0.0504117062228,0.0916927973452,0.666666666667,0.453454193171,cd59ff6392d0007b,75ca740199bbfca6,0.0717443459902,True,not adjudicated
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,manual,0.2,24,8,1,2,8,15,0.230089652868,0.340131390865,0,0.830103270962,e2c06769623e335c,75ca740199bbfca6,0.339236982488,False,not adjudicated
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.05,24,8,3,8,2,2,0.356183057449,0.36348695663,0,0.88423814833,5429d9e5ae4acde8,89af3c23558522cb,0.356294338573,False,not adjudicated
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.05,24,8,3,9,2,13,0.464838239715,0.464999075273,0,0.980632374107,5429d9e5ae4acde8,b17159a624da813a,0.465091547993,False,not adjudicated
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.05,24,8,8,9,2,13,0.14961959161,0.166448058281,0,0.932972143715,89af3c23558522cb,b17159a624da813a,0.176604659729,False,not adjudicated
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.1,24,8,1,2,2,3,0.0926784862803,0.125078476366,0.166666666667,0.474439946552,a81657f0ac5d7807,5429d9e5ae4acde8,0.130866972081,False,not adjudicated
