candidate,condition,training_workers,actual_workers,rule,images,buildings,mean_unified,mean_stable_multi
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W027;W028;W032;W033;W036;W037,D10_distribution,4,1,0.5,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W027;W028;W032;W033;W036;W037,D20_distribution,4,1,0.5,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W027;W028;W032;W033;W036;W037,G10_geometry,4,1,0.5,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W027;W028;W032;W033;W036;W037,P_pattern,4,1,0.5,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W027;W032;W033,D10_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W027;W032;W033,D20_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W027;W032;W033,G10_geometry,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W027;W032;W033,P_pattern,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W028;W036,D10_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W028;W036,D20_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W028;W036,G10_geometry,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W028;W036,P_pattern,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W028;W037,D10_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W028;W037,D20_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W028;W037,G10_geometry,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W028;W037,P_pattern,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W032;W033,D10_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W032;W033,D20_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W032;W033,G10_geometry,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W032;W033,P_pattern,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W036;W037,D10_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W036;W037,D20_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W036;W037,G10_geometry,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W028;W032;W033;W036;W037,W036;W037,P_pattern,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029,D10_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029,D20_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029,G10_geometry,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029,P_pattern,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029;W032;W033;W036;W037,D10_distribution,38,11,0.131578947368,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029;W032;W033;W036;W037,D20_distribution,38,11,0.131578947368,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029;W032;W033;W036;W037,G10_geometry,38,11,0.117105263158,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029;W032;W033;W036;W037,P_pattern,38,11,0.131578947368,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029;W036,D10_distribution,6,6,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029;W036,D20_distribution,6,6,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029;W036,G10_geometry,6,6,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W029;W036,P_pattern,6,6,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W036,D10_distribution,4,4,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W036,D20_distribution,4,4,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W036,G10_geometry,4,4,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W027;W036,P_pattern,4,4,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032,D10_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032,D20_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032,G10_geometry,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032,P_pattern,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032;W033;W036;W037,D10_distribution,4,3,0.25,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032;W033;W036;W037,D20_distribution,4,3,0.25,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032;W033;W036;W037,G10_geometry,4,3,0.23125,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032;W033;W036;W037,P_pattern,4,3,0.25,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032;W036;W037,D10_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032;W036;W037,D20_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032;W036;W037,G10_geometry,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W032;W036;W037,P_pattern,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W033,D10_distribution,2,2,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W033,D20_distribution,2,2,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W033,G10_geometry,2,2,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W033,P_pattern,2,2,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W036,D10_distribution,5,4,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W036,D20_distribution,5,4,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W036,G10_geometry,5,4,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W029;W036,P_pattern,5,4,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W033,D10_distribution,9,7,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W033,D20_distribution,9,7,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W033,G10_geometry,9,7,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W033,P_pattern,9,7,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W033;W037,D10_distribution,3,3,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W033;W037,D20_distribution,3,3,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W033;W037,G10_geometry,3,3,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W033;W037,P_pattern,3,3,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W037,D10_distribution,2,2,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W037,D20_distribution,2,2,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W037,G10_geometry,2,2,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W032;W037,P_pattern,2,2,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W033;W036,D10_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W033;W036,D20_distribution,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W033;W036,G10_geometry,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W033;W036,P_pattern,1,1,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W033;W037,D10_distribution,4,4,0,0
continuous_tail_manual__log_active_seconds_high,manual,W027;W029;W032;W033;W036;W037,W033;W037,D20_distribution,4,4,0,0
