image_id,building,condition,information,k_classes,axis,training_workers,target_members,n_members,n_others,training_contrast,target_contrast,aligned_target_contrast,direction_replicated,metric
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,2,quality,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,18,6,2.40688967036,0.581214989002,0.581214989002,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,T,6,time,W006;W013;W021,W006;W013;W021,3,14,-1.41505514843,-1.5150054945,1.5150054945,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,oos,T,6,time,W006;W013;W021,W006;W013;W021,3,16,-1.41505514843,-0.0972366769178,0.0972366769178,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,oos,T,6,time,W006;W013;W021,W006;W013;W021,3,16,-1.41505514843,-1.64040167371,1.64040167371,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,B,3,benefit,W006;W011;W021,W006;W011;W021,3,21,-2.25445465809,-0.872681138728,0.872681138728,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,B,3,benefit,W006;W011;W021,W006;W011,2,2,-2.25445465809,0,-0,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,B,3,edit,W006;W011;W021,W006;W011;W021,3,21,-4.56913231125,-4.83913467098,4.83913467098,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,semi,B,3,edit,W006;W011;W021,W006;W011,2,2,-4.56913231125,0,-0,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,QB,4,benefit,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029;W030;W031;W034;W035;W037,8,16,-1.48203433673,-0.735057165072,0.735057165072,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,QB,4,edit,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029;W030;W031;W034;W035;W037,8,16,3.21278816598,2.16868194331,2.16868194331,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,QB,4,quality,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029;W030;W031;W034;W035;W037,8,16,1.70878153933,0.852249623342,0.852249623342,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual,QB,4,quality,W001;W012;W029;W030;W031;W034;W035;W037,W012;W030;W031;W035,4,2,1.70878153933,-0.255143591944,-0.255143591944,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,manual,QB,4,quality,W001;W012;W029;W030;W031;W034;W035;W037,W031;W034,2,4,1.70878153933,4.9485443395,4.9485443395,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual,QB,4,quality,W001;W012;W029;W030;W031;W034;W035;W037,W001;W012;W029,3,2,1.70878153933,-2.71633077136,-2.71633077136,False,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual,QB,4,quality,W001;W012;W029;W030;W031;W034;W035;W037,W031;W034;W037,3,2,1.70878153933,1.30672808282,1.30672808282,True,historical axis unchanged; not substituted for current d_mask
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,TB,4,benefit,W001;W002;W010;W012;W013;W017;W018;W030,W001;W002;W010;W012;W013;W017;W018;W030,8,16,0.27813391778,2.65717613133,2.65717613133,True,historical axis unchanged; not substituted for current d_mask
