room_id,building,condition,image_a,image_b,n_common,common_workers,point_disagreement_a,same_point_dispersion_a,supported_modes_a,stable_fraction_a,point_disagreement_b,same_point_dispersion_b,supported_modes_b,stable_fraction_b
supported_component:jtcxE69GiFV_c6baa663ada7439f9a409a86c7fd809b,jtcxE69GiFV,manual,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,2,W002;W036,0,0.0637867206435,1,,0,0.0362415159279,1,
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,manual,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,5,W002;W008;W017;W030;W034,0.8,0.0689065641553,2,0,0.9,0.0553756988093,1,0
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,manual,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,5,W002;W008;W017;W030;W034,0.8,0.0689065641553,2,0,1,,0,0
supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,manual,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,24,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,0.760869565217,0.049401991035,3,0,0.822510822511,0.126127869842,1,0
supported_component:rPc6DW4iMge_2c16cbd610cf4e1b92b2830f51c07e32,rPc6DW4iMge,manual,rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,5,W002;W015;W032;W034;W037,0,0.0258667891908,1,0.266666666667,0.6,0.0539869115898,2,0
supported_component:uNb9QFRL6hY_00b4950b469b4520b29f895aa029419c,uNb9QFRL6hY,manual,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,5,W006;W008;W017;W031;W032,0.4,0.0312724166825,1,0,0.8,0.0091297374718,2,0
supported_component:uNb9QFRL6hY_14f2a8bc76f24d2ea495369bfde2f653,uNb9QFRL6hY,manual,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,6,W010;W013;W014;W018;W034;W035,0,0.121583853278,2,0,0.333333333333,0.0702619573572,1,0
supported_component:wc2JMjhGNzB_02bbd23673904a6980dc0e22b11c6a35,wc2JMjhGNzB,manual,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,6,W013;W014;W028;W029;W034;W035,0.866666666667,0.120113155797,1,0,0.866666666667,0.202664833495,0,0
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm,manual,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,6,W011;W013;W014;W018;W034;W035,0.933333333333,0,1,0,0.933333333333,0,1,0
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm,manual,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,6,W011;W013;W014;W018;W034;W035,0.933333333333,0,1,0,0.866666666667,0.0827838543687,1,0
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm,manual,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,5,W011;W015;W028;W029;W036,0.7,0.0844010701439,1,0,0.8,0.107284209524,1,0
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm,manual,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,5,W011;W015;W028;W029;W036,0.7,0.0844010701439,1,0,0.9,0.0326731645792,1,0
supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm,manual,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,24,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,0.826086956522,0.123682529476,6,0,0.833333333333,0.12539681599,3,0
