family,condition,target,baseline,images,buildings,loss,baseline_loss,delta,lo,hi
bilayout,manual,candidate_v2,constant,61,15,0.7293735632500818,0.6598838137050655,0.06948974954501641,0.01098163028098911,0.1748139988225079
bilayout,manual,candidate_v2,feedback_counts,60,15,0.7243328891234166,0.6196211072191667,0.10471178190425003,0.018079886745169183,0.23125438194192593
bilayout,manual,candidate_v2,feedback_all,60,15,0.7243328891234166,0.6228995662874334,0.1014333228359833,0.02848340229798495,0.22533959954685176
bilayout,manual,core10_p_by_19,constant,133,20,0.3074150140220738,0.2995676691729323,0.007847344849141414,-0.009439149477647357,0.028775000506305506
bilayout,manual,core10_p_by_19,feedback_counts,131,20,0.3038217013405558,0.300696145983455,0.0031255553571007517,-0.012049741475402111,0.02228477001835813
bilayout,manual,core10_p_by_19,feedback_all,131,20,0.3038217013405558,0.2992496904693897,0.004572010871166089,-0.00946638911603205,0.022510150615193056
bilayout,manual,full_p_by_8,constant,133,20,0.39312315435028994,0.3356766917293233,0.05744646262096662,-0.0099589396595556,0.1205867015194814
bilayout,manual,full_p_by_8,feedback_counts,131,20,0.391395495434676,0.3465688719461275,0.044826623488548545,0.007911007020787715,0.08298163138582747
bilayout,manual,full_p_by_8,feedback_all,131,20,0.391395495434676,0.33798092527624546,0.053414570158430534,0.012435371471796238,0.1041710739398863
bilayout,manual,late_quarter_new,constant,133,20,0.18538144928081685,0.19960526315783306,-0.014223813877016215,-0.03620693126438016,0.009821374806067462
bilayout,manual,late_quarter_new,feedback_counts,131,20,0.187135135078911,0.17526413629604734,0.011870998782863695,-0.0038914059137005125,0.031910332297024994
bilayout,manual,late_quarter_new,feedback_all,131,20,0.187135135078911,0.15411173114333523,0.033023403935575756,0.016392377410601004,0.05406155040490902
bilayout,semi,candidate_v2,constant,14,7,0.6202999234787715,0.6407763866972143,-0.020476463218442865,-0.13400847110341238,0.1398520390380219
bilayout,semi,candidate_v2,feedback_counts,14,7,0.6202999234787715,0.6635677655900716,-0.04326784211129997,-0.17583036208204442,0.10575980481887996
bilayout,semi,candidate_v2,feedback_all,14,7,0.6202999234787715,0.7955856951665,-0.1752857716877286,-0.47588820449231506,0.00362308823805713
bilayout,semi,core10_p_by_19,constant,42,12,0.28491692242155237,0.27107142857142863,0.013845493850123805,-0.0007420198130064782,0.03113515065180751
bilayout,semi,core10_p_by_19,feedback_counts,42,12,0.28491692242155237,0.2695149333947572,0.015401989026795243,-0.002646234596949297,0.04028062148164556
bilayout,semi,core10_p_by_19,feedback_all,42,12,0.28491692242155237,0.279938236479713,0.004978685941839412,-0.017219554356846224,0.033060163170995874
bilayout,semi,full_p_by_8,constant,42,12,0.27718265630484046,0.23761904761904762,0.03956360868579286,-0.01932585069992519,0.11306188212787298
bilayout,semi,full_p_by_8,feedback_counts,42,12,0.27718265630484046,0.32070927466949045,-0.043526618364649994,-0.08181411821483087,-0.004801392791959957
bilayout,semi,full_p_by_8,feedback_all,42,12,0.27718265630484046,0.3489841040714048,-0.07180144776656429,-0.1538421392168295,-0.013074064666241544
bilayout,semi,late_quarter_new,constant,42,12,0.19739448180663335,0.17043650793644524,0.0269579738701881,0.010048476997094881,0.05367118069960143
bilayout,semi,late_quarter_new,feedback_counts,42,12,0.19739448180663335,0.1752000797523689,0.02219440205426443,-0.003923880781698019,0.05472067710442233
bilayout,semi,late_quarter_new,feedback_all,42,12,0.19739448180663335,0.16761605627939438,0.029778425527238955,0.009181559733985647,0.059318720428183716
da3,manual,candidate_v2,constant,61,15,0.6765906795091008,0.6598838137050655,0.016706865804035336,-0.06853279190008789,0.10886610387310201
da3,manual,candidate_v2,feedback_counts,60,15,0.6719373363956025,0.6196211072191667,0.052316229176435934,-0.0396739263257751,0.16123619392259889
da3,manual,candidate_v2,feedback_all,60,15,0.6719373363956025,0.6228995662874334,0.04903777010816927,-0.05123082027243094,0.16324248659816576
da3,manual,core10_p_by_19,constant,133,20,0.30889092169552007,0.2995676691729323,0.009323252522587741,-0.008555391777042058,0.03275241040103772
da3,manual,core10_p_by_19,feedback_counts,131,20,0.31000698648955854,0.300696145983455,0.009310840506103514,-0.012437340718637155,0.03320006478595682
da3,manual,core10_p_by_19,feedback_all,131,20,0.31000698648955854,0.2992496904693897,0.010757296020168852,-0.011115342514781856,0.03735676095501668
da3,manual,full_p_by_8,constant,133,20,0.3270605191723284,0.3356766917293233,-0.008616172556994895,-0.09921667978391904,0.05928131896293186
da3,manual,full_p_by_8,feedback_counts,131,20,0.32739768428484184,0.3465688719461275,-0.019171187661285657,-0.049160319299913206,0.010999025984846035
da3,manual,full_p_by_8,feedback_all,131,20,0.32739768428484184,0.33798092527624546,-0.010583240991403673,-0.038960427414991984,0.02625760197074495
da3,manual,late_quarter_new,constant,133,20,0.2041302631157466,0.19960526315783306,0.004524999957913532,-0.012045388312349069,0.022608572849540633
da3,manual,late_quarter_new,feedback_counts,131,20,0.2041539930770939,0.17526413629604734,0.02888985678104656,0.013929985328442689,0.04494991139650222
da3,manual,late_quarter_new,feedback_all,131,20,0.2041539930770939,0.15411173114333523,0.05004226193375863,0.03371172580855537,0.06860974487100235
da3,semi,candidate_v2,constant,14,7,0.5923656768659071,0.6407763866972143,-0.04841070983130719,-0.2964718791180161,0.13103908957634997
da3,semi,candidate_v2,feedback_counts,14,7,0.5923656768659071,0.6635677655900716,-0.07120208872416427,-0.35948564325117804,0.11779284892782214
da3,semi,candidate_v2,feedback_all,14,7,0.5923656768659071,0.7955856951665,-0.20322001830059291,-0.7248886267604165,0.06930012738704999
da3,semi,core10_p_by_19,constant,42,12,0.28228203233258004,0.27107142857142863,0.011210603761151423,-0.016065361412866366,0.0459773336187066
da3,semi,core10_p_by_19,feedback_counts,42,12,0.28228203233258004,0.2695149333947572,0.012767098937822857,-0.009136170884522022,0.04688169995969044
da3,semi,core10_p_by_19,feedback_all,42,12,0.28228203233258004,0.279938236479713,0.002343795852867025,-0.040674063151969336,0.044765832636055665
da3,semi,full_p_by_8,constant,42,12,0.2954506147684667,0.23761904761904762,0.05783156714941905,-0.004597752913393405,0.13156168129138748
da3,semi,full_p_by_8,feedback_counts,42,12,0.2954506147684667,0.32070927466949045,-0.025258659901023807,-0.0599662248626723,0.02153825014331289
da3,semi,full_p_by_8,feedback_all,42,12,0.2954506147684667,0.3489841040714048,-0.053533489302938095,-0.1314752352416171,0.009241094728556694
da3,semi,late_quarter_new,constant,42,12,0.16859114545052095,0.17043650793644524,-0.0018453624859242877,-0.019724604444668614,0.014010109083201395
