worker_id,current20_member,canonical_rows,manual_rows,manual_images,manual_buildings,semi_rows,oos_rows,manual_integer_equal_images,manual_legacy_gap_over_0p05_images,manual_legacy_gap_over_0p05_buildings
1,True,105,71,71,20,25,9,14,14,9
2,True,102,70,70,19,23,9,14,15,10
6,True,101,70,70,19,22,9,12,12,8
8,True,101,70,70,20,22,9,16,10,7
10,True,102,70,70,19,23,9,11,12,8
11,True,102,71,71,18,22,9,14,13,7
12,True,101,70,70,19,22,9,14,12,7
13,True,102,70,70,19,23,9,10,15,9
14,False,89,58,58,12,22,9,7,13,8
15,True,102,71,71,21,22,9,14,14,6
17,True,101,70,70,20,22,9,17,9,6
18,False,89,58,58,12,22,9,7,13,8
19,False,57,30,30,12,18,9,5,6,3
21,False,57,30,30,12,18,9,5,6,3
26,False,56,29,29,12,18,9,5,6,3
27,False,90,58,58,12,23,9,11,10,5
28,True,102,70,70,18,23,9,13,14,9
29,True,102,70,70,18,23,9,12,13,8
30,True,102,70,70,18,23,9,16,12,7
31,True,108,76,76,19,23,9,18,12,7
32,True,103,71,71,18,23,9,17,12,7
33,True,102,71,71,18,22,9,16,12,7
34,True,121,88,88,19,24,9,16,19,10
35,True,101,70,70,18,22,9,12,13,8
36,True,101,70,70,18,22,9,12,12,8
37,True,102,71,71,18,22,9,12,16,9
