path,rows,hit_columns,all_columns
analysis_results/aggregation_preflight_readiness_20260817_v1/DATA_HIERARCHY_AND_DENOMINATOR.csv,327,gt_user_correction_status|gt_user_verification_scope,stage|task_id|base_task_id|condition|dataset_group|mp3d_building_scene_id|building_scene_id_source|pack_building_id_raw|pack_building_id_is_base_task_id|building_support_raw|observed_submission_count|valid_geometry_count|primary_analysis_eligible_count|corner_count_set|topology_status|consensus_status|reference_status|gt_provenance_class|gt_user_correction_status|gt_user_verification_scope|gt_source_artifact|gt_source_sha256|aggregation_context_present
analysis_results/bi_layout_prediction_vs_hohonet_20260515/b0_relabel_audit_filled_v1_张一正.csv,120,bilayout_undercoverage,task_id|image_id|scene_id|source_group|contact_sheet_file|panel_index|dedup_key|is_duplicate|duplicate_group_id|dedup_primary|dedup_reason|audit_priority|hohonet_corner_count|bilayout_corner_count|hohonet_crossdoor_score|bilayout_crossdoor_score|overextend_reduced|overparse_reduced|bilayout_undercoverage|bilayout_new_error|both_wrong|oos_suspect|open_boundary_ambiguity|expert_verdict|usable_for_B1|audit_notes
analysis_results/bi_layout_prediction_vs_hohonet_20260515/b0_relabel_audit_filled_v1_张珈玮.csv,120,bilayout_undercoverage,task_id|image_id|scene_id|source_group|contact_sheet_file|panel_index|dedup_key|is_duplicate|duplicate_group_id|dedup_primary|dedup_reason|audit_priority|hohonet_corner_count|bilayout_corner_count|hohonet_crossdoor_score|bilayout_crossdoor_score|overextend_reduced|overparse_reduced|bilayout_undercoverage|bilayout_new_error|both_wrong|oos_suspect|open_boundary_ambiguity|expert_verdict|usable_for_B1|audit_notes
analysis_results/bilayout_relabel_audit/b0_relabel_audit_template_v1.csv,0,bilayout_undercoverage,task_id|image_id|scene_id|source_group|hohonet_corner_count|bilayout_corner_count|hohonet_crossdoor_score|bilayout_crossdoor_score|overextend_reduced|overparse_reduced|bilayout_undercoverage|bilayout_new_error|both_wrong|oos_suspect|open_boundary_ambiguity|expert_verdict|usable_for_B1|audit_notes
analysis_results/bilayout_relabel_audit/b0_relabel_audit_worklist_v1.csv,120,bilayout_undercoverage,task_id|image_id|scene_id|source_group|contact_sheet_file|panel_index|dedup_key|is_duplicate|duplicate_group_id|dedup_primary|dedup_reason|audit_priority|hohonet_corner_count|bilayout_corner_count|hohonet_crossdoor_score|bilayout_crossdoor_score|overextend_reduced|overparse_reduced|bilayout_undercoverage|bilayout_new_error|both_wrong|oos_suspect|open_boundary_ambiguity|expert_verdict|usable_for_B1|audit_notes
analysis_results/c2a_rp_block2_reestimate_20260817_v2/c2a_rp_block2_quality_report.csv,40,layout_used|model_issue_primary,dataset_group|dataset_group_source|export_dataset_group|project_version|task_id|title|image_url|export_project_id|export_source_file|export_source_path|export_init_type|export_is_anchor|export_has_expert_ref|condition|runtime_condition_source|annotator_id|active_time|active_time_source|active_time_source_file|active_time_project_ids|active_time_match_status|active_time_session_count|active_time_event_count|active_time_page_gate_reasons|active_time_page_gate_sources|active_time_script_versions|active_time_page_gate_ineligible_event_count|active_time_location_paths|active_time_route_task_ids|active_time_dom_task_ids|active_time_store_task_ids|active_time_store_match_statuses|active_time_store_mismatch_event_count|active_time_labeling_root_missing_event_count|active_time_editor_missing_event_count|active_time_main_view_missing_event_count|lead_time_seconds|iou|iou_manual|iou_corner|rmse_px|layout_2d_iou|layout_3d_iou|layout_depth_rmse|layout_delta1|layout_used|layout_gate_reason|reliability_used|reliability_gate_reason|pointwise_rmse_px|pointwise_rmse_used|pointwise_best_shift|pointwise_gate_reason|boundary_mse|boundary_rmse_px|pred_n_points|pred_n_pairs|pred_pair_coverage|pred_odd_points|ann_n_points|ann_n_pairs|ann_pair_coverage|ann_odd_points|pairing_warning|pairing_failure_reason|boundary_method_used|consensus_uid|iou_to_consensus|consensus_uid_loo|iou_to_consensus_loo|iou_to_others_median|quality|scope|difficulty|model_issue|tool_issue|scope_filled|difficulty_filled|difficulty_has_trivial|difficulty_conflict|model_issue_required|model_issue_filled|model_issue_has_acceptable|model_issue_conflict|model_issue_missing_required|has_model_issue|model_issue_types|model_issue_primary|scope_missing|difficulty_missing|model_issue_missing|difficulty_conflict_v2|model_issue_conflict_v2|is_oos|is_occlusion|is_fail|is_residual|is_normal|n_corners|has_manual_poly|task_scope_n_total|task_scope_n_in_scope|task_scope_n_oos|task_scope_n_unknown|task_scope_oos_rate|task_scope_unknown_rate|task_scope_majority|task_scope_is_mixed|task_scope_has_unknown|analysis_role
analysis_results/experiment_visual_audit/generated_demo_recheck/table_a1_anomaly_audit.csv,5,layout_used,task_id|annotator_id|scope_bucket|layout_used|layout_gate_reason|metric_primary|active_time|difficulty|model_issue|anomaly_reasons|n_anomaly_reasons
analysis_results/experiment_visual_audit/generated_demo_recheck/table_field_audit.csv,1,n_layout_usable_rows,n_rows|n_tasks|n_annotators|n_t_rows|n_i_rows|n_m_rows|n_oos_rows|n_scope_missing_rows|n_type3_rows|n_layout_gate_fail_rows|n_layout_usable_rows|n_difficulty_missing_rows|n_difficulty_conflict_rows|n_model_issue_required_rows|n_model_issue_missing_required_rows|n_model_issue_conflict_rows|n_type4_rows|n_active_time_missing_rows|n_active_time_zero_rows|n_short_time_rows|n_long_time_rows|n_unknown_id_rows|n_multi_session_rows|n_missing_script_version_rows|n_mixed_scope_tasks|quality_metric_column|reliability_metric_column|session_count_column|project_id_column|type4_source
analysis_results/post_block2_analysis_pack_20260817_v2/post_block2_submission_master.csv,2501,gt_user_correction_status|gt_user_verification_scope,stage|round_id|project_id|task_id|base_task_id|condition|dataset_group|worker_id|annotation_id|canonical_annotation_id|canonical_geometry|corners_px|n_corners|geometry_hash|canonical_valid|canonicalization_status|source_artifact|source_sha256|geometry_source|task_stratum|image_id|runtime_task_id|observed_status|upstream_source_export|upstream_task_key|upstream_task_label|upstream_annotator_id|upstream_annotation_match_status|upstream_active_time_key|upstream_annotation_sort_key|upstream_lead_time_seconds|upstream_active_time|upstream_active_time_source|upstream_active_time_match_status|upstream_active_time_source_file|upstream_active_time_session_count|upstream_active_time_event_count|upstream_primary_active_time_eligible|upstream_sensitivity_active_time_eligible|upstream_raw_canonical_annotation_id|upstream_duplicate_group_size|upstream_duplicate_geometry_type|upstream_duplicate_time_ambiguous|upstream_eligible_for_primary_analysis|gt_population_role|gt_provenance_class|gt_user_correction_status|gt_user_verification_scope|gt_source_artifact|gt_source_sha256|gt_provenance_version|frozen_gt_sidecar_status|consensus_status|consensus_cluster_status|consensus_medoid_annotation_id|consensus_medoid_geometry_sha256|consensus_producer|consensus_parameters_json|consensus_input_artifact|consensus_input_sha256|consensus_output_artifact|consensus_output_sha256|exclusion_reason|exclusion_source_rule|exclusion_source_artifact|exclusion_source_sha256|exclusion_stage|exclusion_time_or_version|upstream_duplicate_annotation_ids|upstream_parse_error|frozen_c1_cluster_status|frozen_c1_cluster_membership_json|frozen_c1_medoid_annotation_id|frozen_c1_medoid_geometry_sha256|frozen_c1_gt_sidecar_status|c1_iou_to_gt|c1_gt_reference_status|c1_gt_primary_analysis_eligible|c1_gt_quality_interpretation_status|c1_gt_source_artifact|c1_gt_source_sha256|upstream_source_export_sha256|upstream_response_hash|upstream_annotation_version_id|upstream_duplicate_review_status|upstream_deployment_id|upstream_language_group|upstream_server_instance_id|upstream_server_url|upstream_planned_task_id|upstream_formal_assignment_eligible|upstream_assignment_batch_id|upstream_selected_design_id|upstream_design_manifest_sha256|upstream_ordered_geometry|upstream_timing_status|planned_task_id|deployment_id|server_instance_id|method_contract_version|method_contract_sha256|c2a_assignment_manifest_sha256|c2a_block_assignment_sha256|annotation_lead_time_seconds|active_time_seconds|active_time_status|active_time_event_count|active_time_session_count|active_time_script_version|active_time_page_gate_status|active_time_store_mismatch|active_time_source_artifact|active_time_source_sha256
analysis_results/post_block2_analysis_pack_20260817_v2/post_block2_task_context_master.csv,327,gt_user_correction_status|gt_user_verification_scope,stage|task_id|base_task_id|condition|dataset_group|observed_annotation_count|observed_worker_ids|valid_geometry_count|owner_valid_active_time_count|consensus_status|consensus_cluster_status|cluster_membership_json|cluster_count|largest_cluster_support|largest_cluster_medoid_annotation_id|largest_cluster_medoid_geometry_sha256|consensus_producer|consensus_parameters_json|consensus_input_artifact|consensus_input_sha256|consensus_output_artifact|consensus_output_sha256|gt_provenance_class|gt_user_correction_status|gt_user_verification_scope|gt_source_artifact|gt_source_sha256|source_artifact|source_sha256
