id,code,image_id,worker,condition,stage,excluded_worker,old_valid,old_reason,old_method,opposite_hemisphere_status,opposite_matching_tied,opposite_matching_margin,same_hemisphere_pairs,short_spans_lt10,event_values_changed,self_boundary_distance,pair_indices_changed
9c8a68204bbf22bf,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W001,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
84b0461c974c6f08,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W010,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W011,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
e43b14b1a0c01b0f,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W012,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
a73527487e1ba30e,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W013,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
9bf982556e9845da,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W014,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
6c26d77b8fe5e104,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W015,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
cbfa1db9b3b7ec4d,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W017,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
b86432f92a43add3,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W018,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
de8eb69ecb323323,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W019,manual,P1,True,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
f5958e31992e703a,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W002,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
9130e3a10b708f2c,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W021,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
d44439bb3a62b0e4,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W026,manual,P1,True,False,shape_invalid,circular_x_pairing,shape_or_count,,,,,,,
2099f09dd0969482,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W027,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
3040d441f80810e4,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W028,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
be7a92e1f36d2292,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W029,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
674ea0b8b27fa7c7,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W030,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
9c964b13299f32cb,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W031,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
6a317a400188cb9b,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W032,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
5f9c3715d22ae336,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W033,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
2c487c4855775399,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W034,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
f25bd8df99652c2b,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W035,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
4bfc0d70b116500c,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W036,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
922f49b7c63582f6,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W037,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
59650fcf724f11bc,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W006,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
13d54802362fd649,7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,W008,manual,P1,False,True,,raw_order_pairing,available,False,inf,0.0,0.0,False,0.0,False
1870bb9b73b8e731,7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,W001,oos,P1,False,True,,circular_x_pairing,available,False,91.46407766990319,0.0,0.0,False,0.0,False
