code,image_id,condition,N,k,local_radius,ospa_uncovered,local_uncovered,ospa_covered_but_local_uncovered,local_covered_but_ospa_uncovered
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3,2,6.0,0.0,0.0,0.0,0.0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3,2,9.0,0.0,0.0,0.0,0.0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3,2,12.0,0.0,0.0,0.0,0.0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,2,6.0,0.0,0.3333333333333333,0.3333333333333333,0.0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,2,9.0,0.0,0.0,0.0,0.0
2t7WUuJeko7-09,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,2,12.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,2,6.0,0.2,0.5,0.3,0.0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,2,9.0,0.2,0.2,0.0,0.0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,2,12.0,0.2,0.2,0.0,0.0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,4,6.0,0.2,0.4,0.2,0.0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,4,9.0,0.2,0.2,0.0,0.0
7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,4,12.0,0.2,0.2,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,2,6.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,2,9.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,2,12.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,4,6.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,4,9.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,4,12.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,8,6.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,8,9.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,8,12.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,12,6.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,12,9.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,12,12.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,16,6.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,16,9.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-04,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,16,12.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,2,6.0,0.4906126482213439,0.8460144927536232,0.35540184453227924,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,2,9.0,0.4906126482213439,0.8204874835309619,0.329874835309618,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,2,12.0,0.4906126482213439,0.8091238471673255,0.3185111989459816,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,4,6.0,0.3491341991341992,0.7356437041219651,0.38650950498776593,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,4,9.0,0.3491341991341992,0.6957039337474121,0.34656973461321294,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,4,12.0,0.3491341991341992,0.6822651985695464,0.3331309994353472,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,8,6.0,0.2640354786252619,0.6005651480479856,0.33652966942272367,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,8,9.0,0.2640354786252619,0.5486385595081247,0.2846030808828628,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,8,12.0,0.2640354786252619,0.5409761227839031,0.27694064415864117,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,12,6.0,0.227933965348153,0.5308515854854527,0.3029176201372997,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,12,9.0,0.227933965348153,0.47369783153536016,0.24576386618720716,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,12,12.0,0.227933965348153,0.47157295412444156,0.24363898877628856,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,16,6.0,0.2124534821903243,0.4929269814853339,0.28047349929500964,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,16,9.0,0.2124534821903243,0.4292467004137485,0.2167932182234242,0.0
7y3sRwLe3Va-08,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos,24,16,12.0,0.2124534821903243,0.42903867045743477,0.21658518826711046,0.0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,2,6.0,0.6152832674571805,0.8814229249011859,0.26613965744400536,0.0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,2,9.0,0.6152832674571805,0.7865612648221344,0.17786561264822143,0.006587615283267567
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,2,12.0,0.6152832674571805,0.633399209486166,0.07279314888010546,0.054677206851119986
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,4,6.0,0.42956898174289476,0.7802606813476379,0.35069169960474317,0.0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,4,9.0,0.42956898174289476,0.634857895727461,0.21610671936758902,0.010817805383022794
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,4,12.0,0.42956898174289476,0.46939111613024664,0.09608507434594399,0.056262939958592106
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,8,6.0,0.2706704275219553,0.6222002635046114,0.35152983598265614,0.0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,8,9.0,0.2706704275219553,0.4468246368653557,0.1903175822024254,0.014163372859025025
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,8,12.0,0.2706704275219553,0.3383533307227613,0.11488377855823004,0.04720087535742404
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,12,6.0,0.19454446538340733,0.5106107660455487,0.31606630066214136,0.0
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,12,9.0,0.19454446538340733,0.34671116730445034,0.16536545968501817,0.013198757763975166
7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos,24,12,12.0,0.19454446538340733,0.2776572123304523,0.12285866643788301,0.03974591949083803
