image_id,condition,code,id_a,id_b,worker_a,worker_b,n_a,n_b,legacy,stable,delta,local_max_stable,cardinality_floor
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7-06,b7ad646fe3dc3b0d378e,3651a92290f6ddca5577,W008,W031,8,8,1.3935326591882502,1.3935326591882637,1.354472090042691e-14,2.431040882111623,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7-06,b7ad646fe3dc3b0d378e,17be19782ab6f1fa54ca,W008,W034,8,8,1.631978038373524,1.6319780383735625,3.8413716652030416e-14,4.202771667951148,0.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7-06,3651a92290f6ddca5577,17be19782ab6f1fa54ca,W031,W034,8,8,1.12006342353811,1.1200634235383589,2.489120021209601e-13,2.8007005572909636,0.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7-09,8bdb2a37829bea126cde,06925f70038be9cf6628,W008,W031,8,8,1.2564104548619055,1.2564104548617248,-1.8074430840897548e-13,3.5165355928074957,0.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7-09,8bdb2a37829bea126cde,022a2edfc36f1862ff6d,W008,W034,8,8,2.6182521785187274,2.6182521785187625,3.5083047578154947e-14,6.620613692190566,0.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7-09,06925f70038be9cf6628,022a2edfc36f1862ff6d,W031,W034,8,8,3.2421882803332327,3.24218828033361,3.774758283725532e-13,10.136471852041627,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va-03,9ba553c8c79977374da6,bd14297e6f34d6705898,W006,W010,8,8,2.134434115628985e-07,0.0,-2.134434115628985e-07,0.0,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va-03,9ba553c8c79977374da6,a3e7b70ed81a76c41c0f,W006,W027,8,8,3.870716336910932,3.8707163369110225,9.059419880941277e-14,6.543726440636141,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va-03,9ba553c8c79977374da6,98fc2a900301cecb1f95,W006,W028,8,8,2.04204846001296,2.0420484600130666,1.0658141036401503e-13,3.9433462464341926,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va-03,9ba553c8c79977374da6,d5c88ef7632f0c3ce88f,W006,W030,8,12,11.51961958165512,11.519619581655228,1.0835776720341528e-13,19.625905531069915,10.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va-03,bd14297e6f34d6705898,a3e7b70ed81a76c41c0f,W010,W027,8,8,3.870716336910932,3.8707163369110225,9.059419880941277e-14,6.543726440636141,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va-03,bd14297e6f34d6705898,98fc2a900301cecb1f95,W010,W028,8,8,2.04204846001296,2.0420484600130666,1.0658141036401503e-13,3.9433462464341926,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va-03,bd14297e6f34d6705898,d5c88ef7632f0c3ce88f,W010,W030,8,12,11.51961958165512,11.519619581655228,1.0835776720341528e-13,19.625905531069915,10.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va-03,a3e7b70ed81a76c41c0f,98fc2a900301cecb1f95,W027,W028,8,8,3.757455574393106,3.757455574393106,0.0,7.541591787662436,0.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va-03,a3e7b70ed81a76c41c0f,d5c88ef7632f0c3ce88f,W027,W030,8,12,12.070453384536089,12.070453384536131,4.263256414560601e-14,15.381969795518152,10.0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va-03,98fc2a900301cecb1f95,d5c88ef7632f0c3ce88f,W028,W030,8,12,10.795175787342629,10.795175787342417,-2.113864638886298e-13,19.292237124040163,10.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,f5958e31992e703a,W001,W002,8,8,2.0891861187608214,2.089186118760632,-1.8918200339612667e-13,3.3303906619405135,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,59650fcf724f11bc,W001,W006,8,8,2.728475275605777,2.7284752756057715,-5.329070518200751e-15,4.086902904095311,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,13d54802362fd649,W001,W008,8,8,2.1293882834897957,2.1293882834897535,-4.218847493575595e-14,3.6349943647126324,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,84b0461c974c6f08,W001,W010,8,8,2.455223092839657,2.4552230928396357,-2.1316282072803006e-14,4.480602315742317,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,b36f0dc2bb36d9b6,W001,W011,8,8,2.039932751852373,2.0399327518522767,-9.636735853746359e-14,2.7655355249811757,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,e43b14b1a0c01b0f,W001,W012,8,8,1.979279482610428,1.9792794826103828,-4.529709940470639e-14,3.1297801382963266,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,a73527487e1ba30e,W001,W013,8,8,2.728475275605777,2.7284752756057715,-5.329070518200751e-15,4.086902904095311,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,9bf982556e9845da,W001,W014,8,8,2.728475275605777,2.7284752756057715,-5.329070518200751e-15,4.086902904095311,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,6c26d77b8fe5e104,W001,W015,8,8,2.454993370021235,2.4549933700212394,4.440892098500626e-15,4.086902904095311,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,cbfa1db9b3b7ec4d,W001,W017,8,8,2.454993370021235,2.4549933700212394,4.440892098500626e-15,4.086902904095311,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,b86432f92a43add3,W001,W018,8,8,2.0891861187608214,2.089186118760632,-1.8918200339612667e-13,3.3303906619405135,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,9130e3a10b708f2c,W001,W021,8,8,2.039932751852373,2.0399327518522767,-9.636735853746359e-14,2.7655355249811757,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,2099f09dd0969482,W001,W027,8,8,2.735387422429543,2.735387422429536,-7.105427357601002e-15,4.306465146789958,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,3040d441f80810e4,W001,W028,8,8,2.056220054102081,2.056220054102016,-6.52811138479592e-14,3.539444035962786,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,be7a92e1f36d2292,W001,W029,8,8,2.1954827061099094,2.195482706109846,-6.350475700855895e-14,4.050750831195678,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,674ea0b8b27fa7c7,W001,W030,8,8,1.3329769839884509,1.332976983988299,-1.5187850976872141e-13,3.1789955222043296,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,9c964b13299f32cb,W001,W031,8,8,2.188416184153871,2.188416184153559,-3.1175062531474396e-13,3.5329467522143694,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,6a317a400188cb9b,W001,W032,8,8,2.110086857971682,2.1100868579716607,-2.1316282072803006e-14,3.3992070547522326,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,5f9c3715d22ae336,W001,W033,8,8,1.7627326640398402,1.7627326640397483,-9.192646643896296e-14,3.0523922816567692,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,2c487c4855775399,W001,W034,8,8,2.5023727016986554,2.502372701698433,-2.2248869413488137e-13,4.516539927716737,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,f25bd8df99652c2b,W001,W035,8,8,1.692300633351075,1.6923006333509907,-8.43769498715119e-14,3.7049635799121883,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,4bfc0d70b116500c,W001,W036,8,8,2.0421016328851715,2.0421016328850983,-7.327471962526033e-14,3.2844149100599696,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,9c8a68204bbf22bf,922f49b7c63582f6,W001,W037,8,8,2.7539487459161487,2.753948745916161,1.2434497875801753e-14,4.709789334902859,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,59650fcf724f11bc,W002,W006,8,8,0.7753688735386317,0.7753688735390714,4.39648317751562e-13,2.5559653051456124,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,13d54802362fd649,W002,W008,8,8,0.7456761972538101,0.7456761972537416,-6.850076061937216e-14,1.25578809548131,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,84b0461c974c6f08,W002,W010,8,8,0.7785390705428542,0.7785390705424974,-3.568256801145253e-13,1.1700143123983235,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,b36f0dc2bb36d9b6,W002,W011,8,8,0.8671726056024711,0.8671726056024283,-4.285460875053104e-14,1.369808728597331,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,e43b14b1a0c01b0f,W002,W012,8,8,1.606568102272313,1.6065681022722367,-7.638334409421077e-14,2.456999139736722,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,a73527487e1ba30e,W002,W013,8,8,0.7753688735386317,0.7753688735390714,4.39648317751562e-13,2.5559653051456124,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,f5958e31992e703a,9bf982556e9845da,W002,W014,8,8,0.7753688735386317,0.7753688735390714,4.39648317751562e-13,2.5559653051456124,0.0
