stage,cutoff,initial_correct,n,final_correct_n,final_correct_rate,exact_retention_rate,issue_report_rate,mean_delta_U,median_delta_U
P1,0.9,False,104,59,0.5673076923076923,0.16346153846153846,0.7403846153846154,0.020433298795650486,0.0603803654307138
P1,0.9,True,364,320,0.8791208791208791,0.26373626373626374,0.4725274725274725,-0.02215193466355426,0.0
P1,0.95,False,182,61,0.33516483516483514,0.13736263736263737,0.7197802197802198,0.009272814488046791,0.0015775584298222001
P1,0.95,True,286,225,0.7867132867132867,0.3076923076923077,0.4125874125874126,-0.026663962865771378,0.0
P1,0.99,False,416,1,0.002403846153846154,0.22115384615384615,0.5625,-0.003055165289154731,0.0
P1,0.99,True,52,28,0.5384615384615384,0.40384615384615385,0.28846153846153844,-0.08975562274034093,-0.00120822944357635
C1,0.9,False,0,0,,,,,
C1,0.9,True,87,73,0.8390804597701149,0.367816091954023,0.4367816091954023,-0.04401070173999254,-0.0197431687580625
C1,0.95,False,0,0,,,,,
C1,0.95,True,87,53,0.6091954022988506,0.367816091954023,0.4367816091954023,-0.04401070173999254,-0.0197431687580625
C1,0.99,False,4,0,0.0,0.0,0.75,-0.08898188992130197,-0.057154813818607
C1,0.99,True,83,40,0.4819277108433735,0.3855421686746988,0.42168674698795183,-0.04184341556258003,-0.0189731686068607
