split,image_id,evaluation_status,gt_provenance,image_path,model_path,model_sha256,gt_path,gt_sha256,model_point_count,gt_point_count,model_pair_count,gt_pair_count,pair_count_delta,topology_mismatch,model_pairing_coverage,gt_pairing_coverage,layout_mask_iou,layout_mask_difference,boundary_rmse_px,metric_status,metric_reason
test,7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,evaluable,partial_local_correction_not_full_human_review,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.txt,d1103f17b451d28af0c51664bfda90166e40e1fd66a3afbaf469b0d081229407,D:/Work/HOHONET/export_label/groudTruth.json,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,16,16,8,8,0,False,1.0,1.0,0.97002041,0.02997959,5.648307,evaluable,
test,7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,evaluable,partial_local_correction_not_full_human_review,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.txt,ed8e4195d259b348324b91e89b58d506d11f4869868f32ff39085b555bfb904a,D:/Work/HOHONET/export_label/groudTruth.json,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,16,12,8,6,2,True,1.0,1.0,0.89919951,0.10080049,26.888519,evaluable,
test,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,evaluable,partial_local_correction_not_full_human_review,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.txt,feb56e1841d692330ae6a21c3906f4749728c902b757b60076e4e4915c4220b4,D:/Work/HOHONET/export_label/groudTruth.json,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,8,12,4,6,-2,True,1.0,1.0,0.82935156,0.17064844,23.148098,evaluable,
test,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,evaluable,partial_local_correction_not_full_human_review,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.txt,5b2748d1f803d6f5e46074a323beffc6aeecd6d2ecb1002e5039a5d360974f8a,D:/Work/HOHONET/export_label/groudTruth.json,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,8,8,4,4,0,False,1.0,1.0,0.98896942,0.01103058,2.315049,evaluable,
test,7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,evaluable,partial_local_correction_not_full_human_review,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.txt,72fe06fa70dace0d8c9f7a1030ccf88361d870cc88f3d133df0142af2c99bee2,D:/Work/HOHONET/export_label/groudTruth.json,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,16,16,8,8,0,False,1.0,1.0,0.9516605,0.0483395,7.724154,evaluable,
test,7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,evaluable,partial_local_correction_not_full_human_review,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.txt,5ca4e79a595a4c0bcc0cf8d12972f3f02054a3d20cd6773e40aad81e07042626,D:/Work/HOHONET/export_label/groudTruth.json,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,16,16,8,8,0,False,1.0,1.0,0.82061831,0.17938169,35.282616,evaluable,
test,7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,evaluable,partial_local_correction_not_full_human_review,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.txt,1acd7df99a1e58148a7fce314732c0271aeffcd612d7f397c9bf6135ac015391,D:/Work/HOHONET/export_label/groudTruth.json,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,12,12,6,6,0,False,1.0,1.0,0.90551307,0.09448693,11.826409,evaluable,
test,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,evaluable,partial_local_correction_not_full_human_review,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.txt,bcd305c1884a353918aff0e021957b8e434dd7bac647b20f470822b76e6f30a9,D:/Work/HOHONET/export_label/groudTruth.json,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,20,20,10,10,0,False,1.0,1.0,0.83896072,0.16103928,50.309547,evaluable,
test,7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,evaluable,partial_local_correction_not_full_human_review,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.txt,3a1ef9cfa91ba6e43f3d14a08aa97271316c4b0fa7a3d7684618ea79df095b4f,D:/Work/HOHONET/export_label/groudTruth.json,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,8,8,4,4,0,False,1.0,1.0,0.97081442,0.02918558,4.000702,evaluable,
test,7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,evaluable,partial_local_correction_not_full_human_review,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.png,D:/Work/HOHONET/output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.txt,8906b14262bb34765312f87075eb554e0a44ae222dc8070a00fd4434cb4d23a5,D:/Work/HOHONET/export_label/groudTruth.json,5ead984f15bdff3f08b31755a6017d007aa2fc33fbd0302b8cfcbc12a41604e0,20,12,10,6,4,True,1.0,1.0,0.61164831,0.38835169,94.370857,evaluable,
