building_id,historical_image_n,unassisted_image_n,usable_image_n,historical_response_n,raw_n,usable_n,raw_unique_workers,usable_unique_workers,dense_image_n,dense_raw_n,dense_usable_n,dense_usable_unique_workers,dense_min_n,dense_max_n,cross_image_eligible,split_2_2_possible,split_2_4_or_3_3_possible,dense_pair_n,dense_pair_shared_workers_min,dense_pair_shared_workers_median,dense_pair_shared_workers_max,dense_workers_on_multiple_images,dense_worker_image_counts_json,dense_image_ids_json,raw_stage_counts_json,raw_condition_counts_json,empty_n,coordinate_invalid_n,confirmed_ambiguous_excluded_n,confirmed_point_removed_n,unconfirmed_odd_usable_n
2t7WUuJeko7,3,3,3,7,7,7,4,4,0,0,0,0,0,0,False,False,False,0,0,,0,0,{},[],"{""C2-A-RP"":7}","{""manual"":7}",0,0,0,0,0
7y3sRwLe3Va,12,11,11,154,120,117,26,25,3,78,75,25,25,25,True,False,False,3,25,25,25,25,"{""1"":3,""10"":3,""11"":3,""12"":3,""13"":3,""14"":3,""15"":3,""17"":3,""18"":3,""19"":3,""2"":3,""21"":3,""27"":3,""28"":3,""29"":3,""30"":3,""31"":3,""32"":3,""33"":3,""34"":3,""35"":3,""36"":3,""37"":3,""6"":3,""8"":3}","[""7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a"",""7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce"",""7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09""]","{""C1"":42,""P1"":78}","{""manual"":68,""oos"":52}",3,0,0,0,1
B6ByNegPMKs,11,9,9,174,110,107,26,25,3,78,75,25,25,25,True,False,False,3,25,25,25,25,"{""1"":3,""10"":3,""11"":3,""12"":3,""13"":3,""14"":3,""15"":3,""17"":3,""18"":3,""19"":3,""2"":3,""21"":3,""27"":3,""28"":3,""29"":3,""30"":3,""31"":3,""32"":3,""33"":3,""34"":3,""35"":3,""36"":3,""37"":3,""6"":3,""8"":3}","[""B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086"",""B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993"",""B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624""]","{""C1"":32,""P1"":78}","{""manual"":110}",3,0,0,0,1
S9hNv5qa7GM,10,10,10,56,56,56,20,20,2,40,40,20,20,20,True,False,False,1,20,20,20,20,"{""1"":2,""10"":2,""11"":2,""12"":2,""13"":2,""15"":2,""17"":2,""2"":2,""28"":2,""29"":2,""30"":2,""31"":2,""32"":2,""33"":2,""34"":2,""35"":2,""36"":2,""37"":2,""6"":2,""8"":2}","[""S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e"",""S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf""]","{""C2-A-RP"":7,""C2-B"":49}","{""manual"":56}",0,0,0,0,0
UwV83HsGsw3,11,11,11,188,180,174,26,26,6,153,149,26,23,26,True,True,True,15,23,25,25,25,"{""1"":6,""10"":6,""11"":6,""12"":6,""13"":6,""14"":6,""15"":6,""17"":6,""18"":6,""19"":5,""2"":6,""21"":5,""26"":1,""27"":6,""28"":6,""29"":6,""30"":6,""31"":6,""32"":6,""33"":6,""34"":6,""35"":6,""36"":6,""37"":6,""6"":6,""8"":6}","[""UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282"",""UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940"",""UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65"",""UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596"",""UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972"",""UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407""]","{""C1"":50,""P1"":130}","{""manual"":102,""oos"":78}",5,0,1,0,5
VFuaQ6m2Qom,5,5,5,36,36,35,20,19,1,20,19,19,19,19,False,False,False,0,0,,0,0,"{""1"":1,""10"":1,""11"":1,""12"":1,""13"":1,""15"":1,""17"":1,""2"":1,""29"":1,""30"":1,""31"":1,""32"":1,""33"":1,""34"":1,""35"":1,""36"":1,""37"":1,""6"":1,""8"":1}","[""VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d""]","{""C2-A-RP"":6,""C2-B"":30}","{""manual"":36}",0,1,0,0,0
VLzqgDo317F,1,1,1,2,2,2,2,2,0,0,0,0,0,0,False,False,False,0,0,,0,0,{},[],"{""C2-B"":2}","{""manual"":2}",0,0,0,0,0
X7HyMhZNoso,4,3,3,66,36,35,26,25,1,26,25,25,25,25,False,False,False,0,0,,0,0,"{""1"":1,""10"":1,""11"":1,""12"":1,""13"":1,""14"":1,""15"":1,""17"":1,""18"":1,""19"":1,""2"":1,""21"":1,""27"":1,""28"":1,""29"":1,""30"":1,""31"":1,""32"":1,""33"":1,""34"":1,""35"":1,""36"":1,""37"":1,""6"":1,""8"":1}","[""X7HyMhZNoso_987fd31155514f6facb131bd5c14881d""]","{""C1"":10,""P1"":26}","{""manual"":36}",1,0,0,0,0
Z6MFQCViBuw,4,3,3,50,15,15,15,15,0,0,0,0,0,0,False,False,False,0,0,,0,0,{},[],"{""C1"":15}","{""manual"":15}",0,0,0,0,0
b8cTxDM8gDG,5,4,4,89,63,62,26,26,2,52,51,26,25,26,True,False,False,1,25,25,25,25,"{""1"":2,""10"":2,""11"":2,""12"":2,""13"":2,""14"":2,""15"":2,""17"":2,""18"":2,""19"":2,""2"":2,""21"":2,""26"":1,""27"":2,""28"":2,""29"":2,""30"":2,""31"":2,""32"":2,""33"":2,""34"":2,""35"":2,""36"":2,""37"":2,""6"":2,""8"":2}","[""b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15"",""b8cTxDM8gDG_f63819c407e64c2897b703080766cb60""]","{""C1"":11,""P1"":52}","{""manual"":37,""oos"":26}",1,0,0,0,1
