image_id,building_id,threshold,pointset_n,q_valid_n,q_invalid_n,complete_q_coverage,partition_scope,full_image_status,partition_status,cluster_count,cluster_membership_json,candidate_partitions_json,enumeration_truncated,partition_search_nodes,clique_search_nodes,task_crowd_structure_status,structure_reason,candidate_partition_count,singleton_clusters,supported_m2_clusters,supported_m3_clusters
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,0.975,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]","[[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,0.95,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]","[[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,0.925,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]","[[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,0.9,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]","[[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,0.85,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]","[[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,0.8,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]","[[[""17be19782ab6f1fa54ca"", ""3651a92290f6ddca5577"", ""b7ad646fe3dc3b0d378e""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,0.975,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]","[[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,0.95,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]","[[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,0.925,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]","[[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,0.9,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]","[[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,0.85,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]","[[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,0.8,3,3,0,True,all_pointset_responses,unique,unique,1,"[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]","[[[""022a2edfc36f1862ff6d"", ""06925f70038be9cf6628"", ""8bdb2a37829bea126cde""]]]",False,2,4,unimodal,unique_complete_link_partition,1,0.0,1.0,1.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,0.975,1,1,0,True,all_pointset_responses,unique,unique,1,"[[""8768c3642fee588c06f4""]]","[[[""8768c3642fee588c06f4""]]]",False,2,2,unimodal,unique_complete_link_partition,1,1.0,0.0,0.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,0.95,1,1,0,True,all_pointset_responses,unique,unique,1,"[[""8768c3642fee588c06f4""]]","[[[""8768c3642fee588c06f4""]]]",False,2,2,unimodal,unique_complete_link_partition,1,1.0,0.0,0.0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,0.925,1,1,0,True,all_pointset_responses,unique,unique,1,"[[""8768c3642fee588c06f4""]]","[[[""8768c3642fee588c06f4""]]]",False,2,2,unimodal,unique_complete_link_partition,1,1.0,0.0,0.0
