config,k,lookahead,early_stable_later_stable_n,early_stable_later_changing_n,early_stable_later_unknown_n,early_changing_later_stable_n,early_changing_later_changing_n,early_changing_later_unknown_n,early_unknown_later_stable_n,early_unknown_later_changing_n,early_unknown_later_unknown_n,paired_n,early_stable_n,early_stable_later_evaluable_n,early_stable_to_later_stable_rate,early_stable_to_later_changing_rate,early_stable_to_later_unknown_rate,early_stable_to_later_stable_rate_among_evaluable,later_lookahead,min_support,epsilon,summary_level,images
ospa30_t6,2.0,1.0,2722,1237,279,0,867,123,0,0,5772,11000,4238,3959,0.6422840962718264,0.29188296366210476,0.0658329400660689,0.6875473604445567,5,2,0.1,k_h_config,55
ospa30_t6,2.0,2.0,2722,776,163,0,1328,138,0,0,5873,11000,3661,3498,0.7435127014476919,0.2119639442775198,0.04452335427478831,0.7781589479702687,5,2,0.1,k_h_config,55
ospa30_t6,2.0,3.0,2722,446,84,0,1658,111,0,0,5979,11000,3252,3168,0.8370233702337023,0.13714637146371464,0.025830258302583026,0.8592171717171717,5,2,0.1,k_h_config,55
ospa30_t6,3.0,1.0,2532,2405,396,0,1740,234,0,0,3693,11000,5333,4937,0.4747796737296081,0.4509656853553347,0.0742546409150572,0.5128620619809601,5,2,0.1,k_h_config,55
ospa30_t6,3.0,2.0,2532,586,134,0,3559,325,0,0,3864,11000,3252,3118,0.7785977859778598,0.18019680196801968,0.04120541205412054,0.8120590121872996,5,2,0.1,k_h_config,55
ospa30_t6,3.0,3.0,2532,342,73,0,3803,219,0,0,4031,11000,2947,2874,0.8591788259246692,0.11605022056328469,0.02477095351204615,0.8810020876826722,5,2,0.1,k_h_config,55
ospa30_t6,4.0,1.0,2355,2963,472,0,2264,313,0,0,2633,11000,5790,5318,0.4067357512953368,0.5117443868739205,0.08151986183074265,0.4428356525009402,5,2,0.1,k_h_config,55
ospa30_t6,4.0,2.0,2355,1582,191,0,3645,378,0,0,2849,11000,4128,3937,0.5704941860465116,0.38323643410852715,0.04626937984496124,0.5981711963423927,5,2,0.1,k_h_config,55
ospa30_t6,4.0,3.0,2355,362,62,0,4865,314,0,0,3042,11000,2779,2717,0.8474271320618928,0.1302626844188557,0.022310183519251528,0.8667648141332351,5,2,0.1,k_h_config,55
q_0.925,2.0,1.0,3624,1234,192,0,953,76,0,0,4921,11000,5050,4858,0.7176237623762376,0.24435643564356435,0.03801980198019802,0.7459860024701523,5,2,0.1,k_h_config,55
q_0.925,2.0,2.0,3624,754,119,0,1433,82,0,0,4988,11000,4497,4378,0.8058705803869246,0.16766733377807427,0.026462085835001113,0.8277752398355414,5,2,0.1,k_h_config,55
q_0.925,2.0,3.0,3624,448,63,0,1739,63,0,0,5063,11000,4135,4072,0.8764207980652963,0.10834340991535671,0.015235792019347038,0.8899803536345776,5,2,0.1,k_h_config,55
q_0.925,3.0,1.0,3451,2416,267,0,1950,182,0,0,2734,11000,6134,5867,0.5626018910987937,0.39387023149657646,0.04352787740462993,0.5882052156127493,5,2,0.1,k_h_config,55
q_0.925,3.0,2.0,3451,593,91,0,3773,236,0,0,2856,11000,4135,4044,0.8345828295042321,0.143409915356711,0.022007255139056832,0.8533630069238378,5,2,0.1,k_h_config,55
q_0.925,3.0,3.0,3451,349,51,0,4017,183,0,0,2949,11000,3851,3800,0.8961308750973773,0.0906258114775383,0.013243313425084394,0.908157894736842,5,2,0.1,k_h_config,55
q_0.925,4.0,1.0,3244,3137,309,0,2431,217,0,0,1662,11000,6690,6381,0.48490284005979073,0.4689088191330344,0.04618834080717489,0.5083842657890613,5,2,0.1,k_h_config,55
q_0.925,4.0,2.0,3244,1642,136,0,3926,276,0,0,1776,11000,5022,4886,0.645957785742732,0.32696136997212266,0.027080844285145362,0.6639377814162915,5,2,0.1,k_h_config,55
q_0.925,4.0,3.0,3244,387,54,0,5181,218,0,0,1916,11000,3685,3631,0.8803256445047489,0.10502035278154681,0.014654002713704206,0.8934177912420821,5,2,0.1,k_h_config,55
