task_id,project_id,task_label,dataset_group,condition,stage_filter_bucket,annotation_id,worker_id,is_valid_geometry,parse_error,n_corners,geometry_hash,canonical_geometry,active_time,active_time_source,active_time_match_status,active_time_source_file,active_time_session_count,active_time_event_count,lead_time_seconds,task_valid_annotation_count,task_median_active_time,low_time_threshold,same_hash_cluster_size,same_hash_annotation_count,same_hash_worker_count,is_exact_duplicate_geometry,same_worker_duplicate_annotation_anomaly,exact_copy_low_time_event,fallback_low_time_duplicate_audit,event_basis
3053,28,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,explicit_p1,3133,17,True,,8,bddbbb01506f87864636a071ed7f26bc4b60f4e1c70f58b2d0f195989c502856,"[[63.0,366.0],[70.0,192.5],[354.0,147.0],[354.0,409.0],[663.0,123.0],[666.0,435.0],[974.0,365.0],[975.0,190.0]]",1109.0,log,project+task+annotator,active_times_2026-05-19.jsonl,1,104,1411.904,14,145.5,36.375,2,2,2,True,False,False,False,exact_geometry_duplicate_time_not_low_or_not_primary
3053,28,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,explicit_p1,3190,10,True,,8,ab45d014adf43fe445ce62c4e318700f4ce81901eb17f3a0f473acd968048ae4,"[[63.5,366.5],[66.5,191.0],[348.5,391.0],[351.5,145.5],[630.0,424.0],[636.0,130.5],[972.5,363.5],[975.5,188.0]]",79.0,log,project+task+annotator,active_times_2026-05-21.jsonl,1,4,59.673,14,145.5,36.375,1,1,1,False,False,False,False,
3053,28,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,explicit_p1,3221,15,True,,8,fd549233a269ce04597c793401a541432c404c8004edcfae58f5158d5c81780d,"[[66.5,360.0],[68.0,194.5],[351.5,147.5],[359.0,412.5],[662.5,123.0],[665.0,429.5],[973.0,191.0],[973.5,362.5]]",992.0,log,project+task+annotator,active_times_2026-05-21.jsonl;active_times_2026-06-01.jsonl,2,39,997.564,14,145.5,36.375,1,1,1,False,False,False,False,
3053,28,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,explicit_p1,3302,6,True,,8,bddbbb01506f87864636a071ed7f26bc4b60f4e1c70f58b2d0f195989c502856,"[[63.0,366.0],[70.0,192.5],[354.0,147.0],[354.0,409.0],[663.0,123.0],[666.0,435.0],[974.0,365.0],[975.0,190.0]]",98.0,log,project+task+annotator,active_times_2026-05-22.jsonl,1,4,4.971,14,145.5,36.375,2,2,2,True,False,False,False,exact_geometry_duplicate_time_not_low_or_not_primary
3053,28,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,explicit_p1,3358,13,True,,8,3193da6ccf052428fc6b6ca0dc5c9a7cce116f0a1e0b4669b50d7ccd5ce51742,"[[68.0,194.5],[69.5,341.5],[351.0,415.5],[351.5,147.5],[662.5,123.0],[665.0,429.5],[973.0,191.0],[973.5,362.5]]",132.0,log,project+task+annotator,active_times_2026-05-25.jsonl;active_times_2026-06-11.jsonl,2,7,89.179,14,145.5,36.375,1,1,1,False,False,False,False,
3053,28,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,explicit_p1,3453,12,True,,8,f41bae47d4152188f4878139694180b7bf06f7d2e31ab3dcb9fb780f5564f244,"[[64.5,317.0],[66.5,192.0],[352.5,152.0],[352.5,348.5],[661.0,423.5],[665.5,121.0],[974.0,192.0],[974.0,369.0]]",37.24,lead_time_fallback,fallback_no_direct_log,,0,0,37.24,14,145.5,36.375,1,1,1,False,False,False,False,
3053,28,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,explicit_p1,3528,14,True,,8,f77ded83a89597c9a518e24410ece62af12081a8ddc3562d5227c70456824269,"[[66.5,360.0],[68.0,194.5],[351.5,147.5],[354.5,421.5],[665.0,429.5],[667.0,127.5],[973.0,191.0],[973.5,362.5]]",23.209,lead_time_fallback,fallback_no_direct_log,,0,0,23.209,14,145.5,36.375,1,1,1,False,False,False,False,
3053,28,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,explicit_p1,3541,11,True,,8,284d0caa6dab8da63e56e8427d8decd3caf782117537f3529e9af8280542e485,"[[69.5,336.0],[70.5,193.5],[352.5,148.5],[357.0,385.5],[661.5,122.5],[665.0,436.0],[973.5,191.5],[973.5,366.5]]",115.0,log,project+task+annotator,active_times_2026-05-31.jsonl,1,4,96.342,14,145.5,36.375,1,1,1,False,False,False,False,
3053,28,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,explicit_p1,3696,21,True,,8,f08408d10ead410462bda511c8df654bff15690451d3d4d0cafabce610d26e2a,"[[68.0,191.5],[72.0,335.5],[352.5,148.5],[357.0,385.5],[661.5,122.5],[665.0,436.0],[973.5,191.5],[973.5,366.5]]",159.0,log,project+task+annotator,active_times_2026-06-04.jsonl,1,9,81.468,14,145.5,36.375,1,1,1,False,False,False,False,
3053,28,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.jpg,PreScreen_manual,manual,explicit_p1,3742,8,True,,8,910c8dc2326e07a13a8919a3c56075abe73bc018750008d86c52f2bc23985aa1,"[[72.0,192.0],[72.0,362.5],[354.5,147.0],[354.5,410.5],[666.5,124.0],[666.5,436.5],[979.0,192.0],[979.0,366.5]]",380.0,log,project+task+annotator,active_times_2026-06-12.jsonl,1,12,308.923,14,145.5,36.375,1,1,1,False,False,False,False,
