code,image_id,condition,stage,id,worker,count,view,cut,cluster,cluster_size,N,n_same_count_others,close_neighbors,pair_source
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,C2-A-RP,b7ad646fe3dc3b0d378e,W008,8,count_only,0.0,1,3,3,2,2,conditional_unique_x_assignment
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,C2-A-RP,3651a92290f6ddca5577,W031,8,count_only,0.0,1,3,3,2,2,conditional_unique_x_assignment
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,C2-A-RP,17be19782ab6f1fa54ca,W034,8,count_only,0.0,1,3,3,2,2,conditional_unique_x_assignment
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,C2-A-RP,b7ad646fe3dc3b0d378e,W008,8,split_fixed,3.0,1,2,3,2,1,conditional_unique_x_assignment
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,C2-A-RP,3651a92290f6ddca5577,W031,8,split_fixed,3.0,1,2,3,2,2,conditional_unique_x_assignment
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,C2-A-RP,17be19782ab6f1fa54ca,W034,8,split_fixed,3.0,2,1,3,2,1,conditional_unique_x_assignment
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,C2-A-RP,b7ad646fe3dc3b0d378e,W008,8,split_fixed,6.0,1,3,3,2,2,conditional_unique_x_assignment
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,C2-A-RP,3651a92290f6ddca5577,W031,8,split_fixed,6.0,1,3,3,2,2,conditional_unique_x_assignment
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,C2-A-RP,17be19782ab6f1fa54ca,W034,8,split_fixed,6.0,1,3,3,2,2,conditional_unique_x_assignment
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,C2-A-RP,b7ad646fe3dc3b0d378e,W008,8,split_fixed,9.0,1,3,3,2,2,conditional_unique_x_assignment
