task_id,project_id,dataset_group,condition,task_final_scope,task_scope_adjudication_source,geometry_gold_status,geometry_evidence_role,manual_anchor_role,manual_anchor_primary_possible,dry_run,provisional_only
3053,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3054,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3055,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3056,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3057,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3058,28,PreScreen_manual,manual,in_scope,final_gold,ready,unresolved_excluded,False,False,True,True
3059,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3060,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3061,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3062,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3063,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3064,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3065,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3066,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3067,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3068,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3069,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
3070,28,PreScreen_manual,manual,in_scope,final_gold,ready,manual_prescreen_candidate,True,True,True,True
