annotator_id,included_for_smoke_preview,n_scope_preview_rows,n_geometry_preview_rows,n_geometry_present_rows,dry_run,provisional_only
1,False,0,0,0,True,True
2,False,0,0,0,True,True
6,True,48,28,28,True,True
7,False,0,0,0,True,True
8,True,48,28,28,True,True
9,False,0,0,0,True,True
10,True,48,28,28,True,True
11,True,48,28,28,True,True
12,True,48,28,28,True,True
13,True,48,28,28,True,True
14,True,48,28,28,True,True
15,True,48,28,28,True,True
16,False,0,0,0,True,True
17,True,48,28,28,True,True
18,False,0,0,0,True,True
19,False,0,0,0,True,True
21,False,0,0,0,True,True
26,False,0,0,0,True,True
27,True,48,1,1,True,True
28,True,48,1,1,True,True
29,True,48,1,1,True,True
30,True,48,1,1,True,True
31,True,48,1,1,True,True
32,True,48,1,1,True,True
33,True,48,1,1,True,True
34,True,48,1,1,True,True
35,True,48,1,1,True,True
36,True,48,1,1,True,True
37,True,48,1,1,True,True
