stage,worker_id_left,worker_id_right,shared_task_count,source_artifact,source_sha256
P1,1,10,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,11,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,12,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,13,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,14,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,15,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,17,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,18,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,19,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,2,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,21,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,26,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,27,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,28,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,29,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,30,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,31,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,32,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,33,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,34,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,35,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,36,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,37,0,post_block2_submission_master.csv,bound_after_materialization
P1,1,6,57,post_block2_submission_master.csv,bound_after_materialization
P1,1,8,57,post_block2_submission_master.csv,bound_after_materialization
P1,10,11,57,post_block2_submission_master.csv,bound_after_materialization
P1,10,12,57,post_block2_submission_master.csv,bound_after_materialization
P1,10,13,57,post_block2_submission_master.csv,bound_after_materialization
P1,10,14,57,post_block2_submission_master.csv,bound_after_materialization
P1,10,15,57,post_block2_submission_master.csv,bound_after_materialization
P1,10,17,57,post_block2_submission_master.csv,bound_after_materialization
P1,10,18,57,post_block2_submission_master.csv,bound_after_materialization
P1,10,19,57,post_block2_submission_master.csv,bound_after_materialization
P1,10,2,57,post_block2_submission_master.csv,bound_after_materialization
P1,10,21,57,post_block2_submission_master.csv,bound_after_materialization
P1,10,26,0,post_block2_submission_master.csv,bound_after_materialization
P1,10,27,0,post_block2_submission_master.csv,bound_after_materialization
P1,10,28,0,post_block2_submission_master.csv,bound_after_materialization
P1,10,29,0,post_block2_submission_master.csv,bound_after_materialization
P1,10,30,0,post_block2_submission_master.csv,bound_after_materialization
P1,10,31,0,post_block2_submission_master.csv,bound_after_materialization
P1,10,32,0,post_block2_submission_master.csv,bound_after_materialization
P1,10,33,0,post_block2_submission_master.csv,bound_after_materialization
