analysis_role,outer_fold,building_id,base_task_id,condition,method,selected_worker_id,status,public_gt_quality,delivery_adjusted_quality,structurally_valid,corner_count,a0_reconstruction_match,severe_geometric_error_status,topology_error_status,training_buildings_excluded_test_building,inner_tuning,gt_used_for_selection
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,A0_current_largest_cluster_medoid,6,estimated,0.8273930469565495,0.8273930469565495,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,A1_global_medoid_over_all_legal_submissions,28,estimated,0.8348290399578412,0.8348290399578412,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,A2_cross_fitted_worker_quality_weighted_medoid,6,estimated,0.8273930469565495,0.8273930469565495,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,A3_cluster_support_plus_worker_quality_selector,6,estimated,0.8273930469565495,0.8273930469565495,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,A4_image_evidence_weighted_cluster_selector,,source_absent_no_frozen_preoutcome_image_evidence,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,A5_topology_preserving_variable_corner_selector,6,estimated,0.8273930469565495,0.8273930469565495,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,A_oracle_evaluator_only,30,evaluator_only,0.8405263323574779,0.8405263323574779,True,6,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,True
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,A0_current_largest_cluster_medoid,30,estimated,0.8170038437484628,0.8170038437484628,True,6,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,A1_global_medoid_over_all_legal_submissions,,not_evaluable_reference,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,A2_cross_fitted_worker_quality_weighted_medoid,,not_evaluable_reference,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
