analysis_role,outer_fold,method,n_tasks,n_evaluable,mean_public_gt_quality,coverage,status
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,A0_current_largest_cluster_medoid,8,8,0.9172494134029999,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,A1_global_medoid_over_all_legal_submissions,8,6,0.9517932092743218,0.75,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,A2_cross_fitted_worker_quality_weighted_medoid,8,6,0.9505538771074398,0.75,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,A3_cluster_support_plus_worker_quality_selector,8,8,0.9042898140552772,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,A4_image_evidence_weighted_cluster_selector,8,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,A5_topology_preserving_variable_corner_selector,8,8,0.9365303442750788,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,A_oracle_evaluator_only,8,6,0.9236311895768222,0.75,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,A0_current_largest_cluster_medoid,9,9,0.8592913506606565,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,A1_global_medoid_over_all_legal_submissions,9,7,0.9032817666201888,0.7777777777777778,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,A2_cross_fitted_worker_quality_weighted_medoid,9,7,0.9007419220212132,0.7777777777777778,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,A3_cluster_support_plus_worker_quality_selector,9,9,0.8690113293458928,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,A4_image_evidence_weighted_cluster_selector,9,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,A5_topology_preserving_variable_corner_selector,9,8,0.8908465244314829,0.8888888888888888,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,A_oracle_evaluator_only,9,6,0.8592190986485257,0.6666666666666666,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:UwV83HsGsw3,A0_current_largest_cluster_medoid,4,4,0.8550853838382639,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:UwV83HsGsw3,A1_global_medoid_over_all_legal_submissions,4,2,0.834355968031691,0.5,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:UwV83HsGsw3,A2_cross_fitted_worker_quality_weighted_medoid,4,2,0.8399485768939232,0.5,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:UwV83HsGsw3,A3_cluster_support_plus_worker_quality_selector,4,4,0.9625415241855259,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:UwV83HsGsw3,A4_image_evidence_weighted_cluster_selector,4,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:UwV83HsGsw3,A5_topology_preserving_variable_corner_selector,4,4,0.9406676665635277,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:UwV83HsGsw3,A_oracle_evaluator_only,4,3,0.9637395958763776,0.75,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:X7HyMhZNoso,A0_current_largest_cluster_medoid,3,3,0.9321704625326493,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:X7HyMhZNoso,A1_global_medoid_over_all_legal_submissions,3,3,0.9251682168543098,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:X7HyMhZNoso,A2_cross_fitted_worker_quality_weighted_medoid,3,3,0.9367538194348897,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:X7HyMhZNoso,A3_cluster_support_plus_worker_quality_selector,3,3,0.9321704625326493,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:X7HyMhZNoso,A4_image_evidence_weighted_cluster_selector,3,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:X7HyMhZNoso,A5_topology_preserving_variable_corner_selector,3,3,0.9321704625326493,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:X7HyMhZNoso,A_oracle_evaluator_only,3,2,0.9543981441879338,0.6666666666666666,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:Z6MFQCViBuw,A0_current_largest_cluster_medoid,5,5,0.9757952586667656,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:Z6MFQCViBuw,A1_global_medoid_over_all_legal_submissions,5,4,0.969744073333457,0.8,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:Z6MFQCViBuw,A2_cross_fitted_worker_quality_weighted_medoid,5,4,0.9631490989871061,0.8,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:Z6MFQCViBuw,A3_cluster_support_plus_worker_quality_selector,5,5,0.9757952586667656,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:Z6MFQCViBuw,A4_image_evidence_weighted_cluster_selector,5,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:Z6MFQCViBuw,A5_topology_preserving_variable_corner_selector,5,4,0.969744073333457,0.8,estimated
