assumption_set_id,variance_source,effect_size,n_tasks,n_workers,n_pairs,n_buildings,analysis_model,power,simulation_replicates,seed
optimistic,empirical_A2_minus_A0_paired_delta,0.005,40,5,,5,paired_task_delta_building_cluster_simulation,0.137,1000,20301317
optimistic,empirical_A2_minus_A0_paired_delta,0.01,40,5,,5,paired_task_delta_building_cluster_simulation,0.397,1000,20301817
optimistic,empirical_A2_minus_A0_paired_delta,0.015,40,5,,5,paired_task_delta_building_cluster_simulation,0.755,1000,20302317
optimistic,empirical_A2_minus_A0_paired_delta,0.02,40,5,,5,paired_task_delta_building_cluster_simulation,0.918,1000,20302817
optimistic,empirical_A2_minus_A0_paired_delta,0.025,40,5,,5,paired_task_delta_building_cluster_simulation,0.983,1000,20303317
optimistic,empirical_A2_minus_A0_paired_delta,0.03,40,5,,5,paired_task_delta_building_cluster_simulation,0.998,1000,20303817
optimistic,empirical_A2_minus_A0_paired_delta,0.005,50,5,,6,paired_task_delta_building_cluster_simulation,0.173,1000,20311317
optimistic,empirical_A2_minus_A0_paired_delta,0.01,50,5,,6,paired_task_delta_building_cluster_simulation,0.548,1000,20311817
optimistic,empirical_A2_minus_A0_paired_delta,0.015,50,5,,6,paired_task_delta_building_cluster_simulation,0.866,1000,20312317
optimistic,empirical_A2_minus_A0_paired_delta,0.02,50,5,,6,paired_task_delta_building_cluster_simulation,0.98,1000,20312817
optimistic,empirical_A2_minus_A0_paired_delta,0.025,50,5,,6,paired_task_delta_building_cluster_simulation,1.0,1000,20313317
optimistic,empirical_A2_minus_A0_paired_delta,0.03,50,5,,6,paired_task_delta_building_cluster_simulation,1.0,1000,20313817
optimistic,empirical_A2_minus_A0_paired_delta,0.005,60,5,,8,paired_task_delta_building_cluster_simulation,0.221,1000,20321317
optimistic,empirical_A2_minus_A0_paired_delta,0.01,60,5,,8,paired_task_delta_building_cluster_simulation,0.645,1000,20321817
optimistic,empirical_A2_minus_A0_paired_delta,0.015,60,5,,8,paired_task_delta_building_cluster_simulation,0.945,1000,20322317
optimistic,empirical_A2_minus_A0_paired_delta,0.02,60,5,,8,paired_task_delta_building_cluster_simulation,0.994,1000,20322817
optimistic,empirical_A2_minus_A0_paired_delta,0.025,60,5,,8,paired_task_delta_building_cluster_simulation,1.0,1000,20323317
optimistic,empirical_A2_minus_A0_paired_delta,0.03,60,5,,8,paired_task_delta_building_cluster_simulation,1.0,1000,20323817
optimistic,empirical_A2_minus_A0_paired_delta,0.005,70,5,,9,paired_task_delta_building_cluster_simulation,0.255,1000,20331317
optimistic,empirical_A2_minus_A0_paired_delta,0.01,70,5,,9,paired_task_delta_building_cluster_simulation,0.762,1000,20331817
optimistic,empirical_A2_minus_A0_paired_delta,0.015,70,5,,9,paired_task_delta_building_cluster_simulation,0.976,1000,20332317
optimistic,empirical_A2_minus_A0_paired_delta,0.02,70,5,,9,paired_task_delta_building_cluster_simulation,0.998,1000,20332817
