assumption_set_id,variance_source,effect_size,n_tasks,n_workers,n_pairs,n_buildings,analysis_model,power,simulation_replicates,seed
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,50,10,5,5,fixed_pair_effects_clustered_simulation,0.302,1000,20311867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,50,10,5,5,fixed_pair_effects_clustered_simulation,0.495,1000,20312367
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,50,10,5,5,fixed_pair_effects_clustered_simulation,0.738,1000,20312867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,50,10,5,5,fixed_pair_effects_clustered_simulation,0.893,1000,20313367
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,50,10,5,5,fixed_pair_effects_clustered_simulation,0.969,1000,20313867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,50,10,5,5,fixed_pair_effects_clustered_simulation,0.998,1000,20314867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,50,14,7,5,fixed_pair_effects_clustered_simulation,0.322,1000,20311887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,50,14,7,5,fixed_pair_effects_clustered_simulation,0.639,1000,20312387
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,50,14,7,5,fixed_pair_effects_clustered_simulation,0.871,1000,20312887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,50,14,7,5,fixed_pair_effects_clustered_simulation,0.96,1000,20313387
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,50,14,7,5,fixed_pair_effects_clustered_simulation,0.994,1000,20313887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,50,14,7,5,fixed_pair_effects_clustered_simulation,1.0,1000,20314887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,50,16,8,5,fixed_pair_effects_clustered_simulation,0.376,1000,20311897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,50,16,8,5,fixed_pair_effects_clustered_simulation,0.672,1000,20312397
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,50,16,8,5,fixed_pair_effects_clustered_simulation,0.874,1000,20312897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,50,16,8,5,fixed_pair_effects_clustered_simulation,0.983,1000,20313397
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,50,16,8,5,fixed_pair_effects_clustered_simulation,0.994,1000,20313897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,50,16,8,5,fixed_pair_effects_clustered_simulation,1.0,1000,20314897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,50,18,9,5,fixed_pair_effects_clustered_simulation,0.385,1000,20311907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,50,18,9,5,fixed_pair_effects_clustered_simulation,0.672,1000,20312407
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,50,18,9,5,fixed_pair_effects_clustered_simulation,0.918,1000,20312907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,50,18,9,5,fixed_pair_effects_clustered_simulation,0.982,1000,20313407
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,50,18,9,5,fixed_pair_effects_clustered_simulation,0.999,1000,20313907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,50,18,9,5,fixed_pair_effects_clustered_simulation,1.0,1000,20314907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,50,20,10,5,fixed_pair_effects_clustered_simulation,0.433,1000,20311917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,50,20,10,5,fixed_pair_effects_clustered_simulation,0.723,1000,20312417
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,50,20,10,5,fixed_pair_effects_clustered_simulation,0.935,1000,20312917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,50,20,10,5,fixed_pair_effects_clustered_simulation,0.985,1000,20313417
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,50,20,10,5,fixed_pair_effects_clustered_simulation,0.998,1000,20313917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,50,20,10,5,fixed_pair_effects_clustered_simulation,1.0,1000,20314917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,50,24,12,5,fixed_pair_effects_clustered_simulation,0.423,1000,20311937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,50,24,12,5,fixed_pair_effects_clustered_simulation,0.768,1000,20312437
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,50,24,12,5,fixed_pair_effects_clustered_simulation,0.944,1000,20312937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,50,24,12,5,fixed_pair_effects_clustered_simulation,0.994,1000,20313437
