feature,context,image,building,stage,n_high,n_low,k,available_high,available_low,expected_pairwise_D,simulated_pairwise_D,medoid_reference_distance,reference_n,group_separation,group_definition
corners,P1|0|manual|7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,4,2,6,10,10,0.025166954465,0.0257579068479,0.0140688683539,160,-0.00109425657503,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,3,3,6,10,10,0.0249906961373,0.0250213861674,0.013558881889,160,-0.00109425657503,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,2,4,6,10,10,0.0249603386862,0.0247431366353,0.0130289373194,160,-0.00109425657503,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,10,5,15,10,10,0.0252294834122,0.0253702473452,0.015245443661,160,-0.00109425657503,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,5,10,15,10,10,0.0250228676333,0.0248716003664,0.0129231854819,160,-0.00109425657503,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,4,2,6,10,10,0.191054761289,0.191247551329,0.1470058348,160,0.00471852571974,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,3,3,6,10,10,0.188274239765,0.183091842114,0.127081826879,160,0.00471852571974,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,2,4,6,10,10,0.184864581478,0.182642062555,0.126104372379,160,0.00471852571974,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,10,5,15,10,10,0.190785131248,0.190863330374,0.105390890554,160,0.00471852571974,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,5,10,15,10,10,0.184594951437,0.184286967185,0.093696080469,160,0.00471852571974,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,4,2,6,9,10,0.178916277945,0.180014507795,0.187456291094,160,-0.00877019422011,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,3,3,6,9,10,0.178269028702,0.181925431881,0.194134226781,160,-0.00877019422011,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,2,4,6,9,10,0.178791138688,0.173475969847,0.203185298531,160,-0.00877019422011,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,5,10,15,9,10,0.179292292643,0.178392270169,0.15946773659,160,-0.00877019422011,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,4,2,6,10,10,0.379018311199,0.378273709865,0.294134308731,160,2.11249972474e-05,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,3,3,6,10,10,0.39278486315,0.391412526684,0.297183283264,160,2.11249972474e-05,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,2,4,6,10,10,0.406548598435,0.402812693463,0.292679324594,160,2.11249972474e-05,crossfitted_rank_split_not_natural_type
corners,P1|0|manual|B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,10,5,15,10,10,0.379017104056,0.379741259699,0.314201593813,160,2.11249972474e-05,crossfitted_rank_split_not_natural_type
