context,stage,condition,original_N,replicate,epsilon,standardized_N,first_k
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,0,0.005,20,18
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,0,0.01,20,14
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,0,0.02,20,7
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,1,0.005,20,9
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,1,0.01,20,4
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,1,0.02,20,2
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,2,0.005,20,18
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,2,0.01,20,14
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,2,0.02,20,7
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,3,0.005,20,18
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,3,0.01,20,14
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,3,0.02,20,7
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,4,0.005,20,18
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,4,0.01,20,14
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,4,0.02,20,7
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,5,0.005,20,18
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,5,0.01,20,14
C1|0|manual|UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,C1,manual,23,5,0.02,20,7
