annotator_id,language,completion_status,n_correct_in_scope,n_correct_oos,n_scope_false_positive,n_scope_false_negative,n_unknown_or_missing,n_not_applicable_unresolved,scope_accuracy_on_adjudicated_tasks
1,zh,complete,47,8,1,1,0,0,0.964912
2,zh,complete,47,9,1,0,0,0,0.982456
6,zh,complete,44,4,4,5,0,0,0.842105
8,zh,complete,48,3,0,6,0,0,0.894737
10,zh,complete,46,5,2,4,0,0,0.894737
11,zh,complete,40,7,8,2,0,0,0.824561
12,zh,complete,45,4,3,5,0,0,0.859649
13,zh,complete,43,4,5,5,0,0,0.824561
14,zh,complete,43,7,5,2,0,0,0.877193
15,zh,complete,45,6,3,3,0,0,0.894737
17,zh,complete,45,4,3,5,0,0,0.859649
18,zh,complete,47,4,1,5,0,0,0.894737
19,zh,known_bad_complete,45,8,3,1,0,0,0.929825
21,zh,known_bad_complete,43,6,5,3,0,0,0.859649
26,en,incomplete_excluded,24,2,23,7,0,0,0.464286
27,en,complete,48,9,0,0,0,0,1.0
28,en,complete,34,4,14,5,0,0,0.666667
29,en,complete,27,3,21,6,0,0,0.526316
30,en,complete,16,6,32,3,0,0,0.385965
31,en,complete,48,1,0,8,0,0,0.859649
32,en,complete,37,6,11,3,0,0,0.754386
33,en,complete,35,8,13,1,0,0,0.754386
34,en,complete,45,0,3,9,0,0,0.789474
35,en,complete,38,8,10,1,0,0,0.807018
36,en,complete,41,9,7,0,0,0,0.877193
37,en,complete,30,4,18,5,0,0,0.596491
