stage,stage_zh,language_cohort,project_id,runtime_task_id,base_task_id,building_id,worker_id,canonical_annotation_id,raw_annotation_id,initialization_artifact_id,initialization_import_sha256,initialization_prediction_sha256,initial_geometry_hash,final_geometry_hash,exact_geometry_equal,geometry_edit_rmse_px,geometry_edit_rmse_panorama_diagonal_normalized,geometry_edit_distance_not_evaluable_reason,U_initial,U_final,delta_U,initial_structurally_valid,final_structurally_valid,initial_quality_status,final_quality_status,proposal_failure,model_issue_choice,issue_reported,acceptable_reported,semi_role,planned_trap_family,trap_family,trap_family_source,trap_source_type,reference_identity,reference_sha256,reference_type,reference_eligible,formal_assignment_eligible,process_eligible,independence_eligible,analysis_eligible,c1_eligible_worker,current20_worker,stage_role,unmodified_trap_submission_eps_0,strict_blind_trust_eps_0,issue_reported_without_quality_improvement_eps_0,quality_improving_correction_eps_0,negative_metric_change_correction_eps_0,control_false_alarm_eps_0,control_overcorrection_eps_0,non_negative_metric_change_control_handling_eps_0,issue_geometry_edit_concordant_eps_0,unmodified_trap_submission_eps_0_01,strict_blind_trust_eps_0_01,issue_reported_without_quality_improvement_eps_0_01,quality_improving_correction_eps_0_01,negative_metric_change_correction_eps_0_01,control_false_alarm_eps_0_01,control_overcorrection_eps_0_01,non_negative_metric_change_control_handling_eps_0_01,issue_geometry_edit_concordant_eps_0_01,unmodified_trap_submission_eps_0_02,strict_blind_trust_eps_0_02,issue_reported_without_quality_improvement_eps_0_02,quality_improving_correction_eps_0_02,negative_metric_change_correction_eps_0_02,control_false_alarm_eps_0_02,control_overcorrection_eps_0_02,non_negative_metric_change_control_handling_eps_0_02,issue_geometry_edit_concordant_eps_0_02,unmodified_trap_submission_eps_0_05,strict_blind_trust_eps_0_05,issue_reported_without_quality_improvement_eps_0_05,quality_improving_correction_eps_0_05,negative_metric_change_correction_eps_0_05,control_false_alarm_eps_0_05,control_overcorrection_eps_0_05,non_negative_metric_change_control_handling_eps_0_05,issue_geometry_edit_concordant_eps_0_05,diagnostic_pre_stage3,development_only,scientific_conclusion_prohibited,formal_profile_frozen,reviewer_policy_frozen,main_launch_authorized,worker_caused_structural_failure,failure_attribution,frozen_harmonization_validity_status,frozen_harmonization_assertion_source,frozen_initialization_provenance_status,proposal_accepted_unchanged_eps_0,issue_reported_eps_0,geometry_edited_eps_0,non_negative_metric_change_handling_eps_0,proposal_accepted_unchanged_eps_0_01,issue_reported_eps_0_01,geometry_edited_eps_0_01,non_negative_metric_change_handling_eps_0_01,proposal_accepted_unchanged_eps_0_02,issue_reported_eps_0_02,geometry_edited_eps_0_02,non_negative_metric_change_handling_eps_0_02,proposal_accepted_unchanged_eps_0_05,issue_reported_eps_0_05,geometry_edited_eps_0_05,non_negative_metric_change_handling_eps_0_05,proposal_failure_binary,edited_binary,improved_binary,negative_metric_change_binary,worker_issue_response_observed,worker_acceptable_reported,worker_any_issue_reported,worker_issue_tokens,split,gt_source_type,model_sha256,gt_sha256,model_pair_count,gt_pair_count,pair_count_delta,topology_exact_bool,proposal_topology_relation,audit_problem_family,corner_f1_1pct,topdown_2d_iou,layoutnetv2_style_3d_iou,layout_mask_difference,boundary_rmse_px,initialization_acceptable_bool,initialization_correct_bool,operational_initialization_band,worker_issue_family_compatible_with_audit_proxy,compatible_issue_overlap,family_compatibility_boundary
C1,校准一阶段,en,68,3269,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,29,d85d39dda5fe0ff36757,6444,init:c1:558b45e7b03196692282,1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa,558b45e7b03196692282c282b3a0d6c791849d398b9be822534e18623eaf5341,4c9c2b231ca54aaab9afe5fc6e01fdc23140ff49c6af1440da58738ba987332b,e3ddeb2545082d431c5c4e44eca4a24bfa9fe6300b21dec1aa47d2daa9fe5016,False,,,n_pairs_mismatch,1.0,0.930107281442593,-0.0698927185574069,True,True,evaluable,frozen_quality_evaluable,False,acceptable,False,True,calibration_validation_no_trap_truth,,,not_applicable_c1,,gt:70:3334:4883,b54a390fedd976db15baa4ce1d3ff425189248c0ec86c53ca89bf3577506c7ea,public_frozen_gt,True,true,True,true,True,True,True,cross_stage_validation_only_no_blind_trust_label,,,,,True,,,,False,,,,,True,,,,False,,,,,True,,,,False,,,,,True,,,,False,True,True,True,False,False,False,False,not_evaluable,not_evaluable,not_evaluable,missing_required_initialization,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0,1,0.0,1.0,True,True,False,acceptable,test,official_mp3d_layout_label_cor_raw_not_no_occ,0575e6879c4e9b3ff653b32ac6d1e8c7c11343312c525f746121c07b0282447e,b2d9d3227dc72731939ca8fc23a301d6ce4b398afe664f0258b3cf87abc1e9ed,4,6,-2,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.6,0.81497413,0.78441869,0.05224305,8.104721,False,False,wrong_topology,False,,semantic worker tags and geometric audit families are not identical constructs; descriptive bridge only
C1,校准一阶段,en,68,3269,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,32,d0c65178d1ddfcac1748,6380,init:c1:558b45e7b03196692282,1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa,558b45e7b03196692282c282b3a0d6c791849d398b9be822534e18623eaf5341,4c9c2b231ca54aaab9afe5fc6e01fdc23140ff49c6af1440da58738ba987332b,b15e2c1bf7a5f968547f6205d16a54eb2835df34a806c4878a5ceb9244b0b8a5,False,5.398480604250853,0.0047153787524683,,1.0,0.9847077676438524,-0.0152922323561476,True,True,evaluable,frozen_quality_evaluable,False,acceptable,False,True,calibration_validation_no_trap_truth,,,not_applicable_c1,,gt:70:3334:4883,b54a390fedd976db15baa4ce1d3ff425189248c0ec86c53ca89bf3577506c7ea,public_frozen_gt,True,true,True,true,True,True,True,cross_stage_validation_only_no_blind_trust_label,,,,,True,,,,False,,,,,True,,,,False,,,,,False,,,,False,,,,,False,,,,False,True,True,True,False,False,False,False,not_evaluable,not_evaluable,not_evaluable,missing_required_initialization,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,0,1,0.0,1.0,True,True,False,acceptable,test,official_mp3d_layout_label_cor_raw_not_no_occ,0575e6879c4e9b3ff653b32ac6d1e8c7c11343312c525f746121c07b0282447e,b2d9d3227dc72731939ca8fc23a301d6ce4b398afe664f0258b3cf87abc1e9ed,4,6,-2,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.6,0.81497413,0.78441869,0.05224305,8.104721,False,False,wrong_topology,False,,semantic worker tags and geometric audit families are not identical constructs; descriptive bridge only
C1,校准一阶段,en,68,3270,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,27,b5e0d24f44539999b6ed,5816,init:c1:fcec4324b350e25dba88,1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa,fcec4324b350e25dba88a946faa6cebfdd0bb8c2af02af2aa0ab7d50060d4a2e,14a16196da58d32a568d2fb026106c8da29c4b187614f9302c3170f3a9c53392,34b25359212c86b787f56136f8a6426a2f98de31e10ec59cdcab03e3910a4b68,False,,,n_pairs_mismatch,1.0,0.9697406975645104,-0.0302593024354894,True,True,evaluable,frozen_quality_evaluable,False,over_parsing,True,False,calibration_validation_no_trap_truth,,,not_applicable_c1,,gt:70:3555:5104,7dbf3b1219227f20471c2e4446b02fc68b3c72cc7eb938c07564c17441432c76,public_frozen_gt,True,true,True,true,True,True,False,cross_stage_validation_only_no_blind_trust_label,,,,,True,,,,True,,,,,True,,,,True,,,,,True,,,,True,,,,,False,,,,True,True,True,True,False,False,False,False,not_evaluable,valid,explicit_worker_label,missing_required_initialization,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,0,1,0.0,1.0,True,False,True,over_parsing,test,official_mp3d_layout_label_cor_raw_not_no_occ,36faca4dbff4e04a311f4fefcc7f5ea143cb39f769eda7a506a90c0db9e7db0b,24aabf4552cfe5e8f16e0f85b2027ef4f797dfc03e044e95c5a6bed47b809e52,4,8,-4,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.66666667,0.80034599,0.78439299,0.03327096,4.962324,False,False,wrong_topology,False,,semantic worker tags and geometric audit families are not identical constructs; descriptive bridge only
C1,校准一阶段,en,68,3270,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,28,c6c2970a6c0a7eb457e5,5792,init:c1:fcec4324b350e25dba88,1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa,fcec4324b350e25dba88a946faa6cebfdd0bb8c2af02af2aa0ab7d50060d4a2e,14a16196da58d32a568d2fb026106c8da29c4b187614f9302c3170f3a9c53392,14a16196da58d32a568d2fb026106c8da29c4b187614f9302c3170f3a9c53392,True,0.0,0.0,,1.0,1.0,0.0,True,True,evaluable,frozen_quality_evaluable,False,acceptable,False,True,calibration_validation_no_trap_truth,,,not_applicable_c1,,gt:70:3555:5104,7dbf3b1219227f20471c2e4446b02fc68b3c72cc7eb938c07564c17441432c76,public_frozen_gt,True,true,True,true,True,True,True,cross_stage_validation_only_no_blind_trust_label,,,,,False,,,,True,,,,,False,,,,True,,,,,False,,,,True,,,,,False,,,,True,True,True,True,False,False,False,False,not_evaluable,not_evaluable,not_evaluable,missing_required_initialization,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,0,0,0.0,0.0,True,True,False,acceptable,test,official_mp3d_layout_label_cor_raw_not_no_occ,36faca4dbff4e04a311f4fefcc7f5ea143cb39f769eda7a506a90c0db9e7db0b,24aabf4552cfe5e8f16e0f85b2027ef4f797dfc03e044e95c5a6bed47b809e52,4,8,-4,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.66666667,0.80034599,0.78439299,0.03327096,4.962324,False,False,wrong_topology,False,,semantic worker tags and geometric audit families are not identical constructs; descriptive bridge only
C1,校准一阶段,en,68,3270,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,30,2052df34f859227bd40f,6027,init:c1:fcec4324b350e25dba88,1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa,fcec4324b350e25dba88a946faa6cebfdd0bb8c2af02af2aa0ab7d50060d4a2e,14a16196da58d32a568d2fb026106c8da29c4b187614f9302c3170f3a9c53392,f40eb42d46ebdaf8e3a8e355a155d6d1f69453d7bb27473f50eead68f86978ae,False,,,n_pairs_mismatch,1.0,0.9225406807050068,-0.077459319294993,True,True,evaluable,frozen_quality_evaluable,False,corner_drift;fail,True,False,calibration_validation_no_trap_truth,,,not_applicable_c1,,gt:70:3555:5104,7dbf3b1219227f20471c2e4446b02fc68b3c72cc7eb938c07564c17441432c76,public_frozen_gt,True,true,True,true,True,True,True,cross_stage_validation_only_no_blind_trust_label,,,,,True,,,,True,,,,,True,,,,True,,,,,True,,,,True,,,,,True,,,,True,True,True,True,False,False,False,False,not_evaluable,valid,explicit_worker_label,missing_required_initialization,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,0,1,0.0,1.0,True,False,True,corner_drift;fail,test,official_mp3d_layout_label_cor_raw_not_no_occ,36faca4dbff4e04a311f4fefcc7f5ea143cb39f769eda7a506a90c0db9e7db0b,24aabf4552cfe5e8f16e0f85b2027ef4f797dfc03e044e95c5a6bed47b809e52,4,8,-4,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.66666667,0.80034599,0.78439299,0.03327096,4.962324,False,False,wrong_topology,True,fail,semantic worker tags and geometric audit families are not identical constructs; descriptive bridge only
C1,校准一阶段,en,68,3271,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,34,2ed8f62e5ffefe42fff7,6569,init:c1:ed39ce008aa867c33452,1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa,ed39ce008aa867c334525809de2d6e4761980ac74d9f64367022be803ef63edf,75b8d7cc4c055b3b17028419aff94470e6faaf391445e7b8c1b3d11d22ff5fe0,c1b7d979b6a5ef49223ed6ab1b1a46a4bcda527ade548324ea484de3dddf4c81,False,,,n_pairs_mismatch,,0.9426137287419114,,True,True,insufficient_pairs,frozen_quality_evaluable,False,acceptable,False,True,calibration_validation_no_trap_truth,,,not_applicable_c1,,gt:70:3526:5075,18a675a6506c51b8cffb35efd88ba52ce673f8d2fcf295fca0ba734571e916c7,public_frozen_gt,True,true,True,true,True,True,True,cross_stage_validation_only_no_blind_trust_label,,,,,,,,,False,,,,,,,,,False,,,,,,,,,False,,,,,,,,,False,True,True,True,False,False,False,False,not_evaluable,not_evaluable,not_evaluable,missing_required_initialization,False,False,True,,False,False,True,,False,False,True,,False,False,True,,0,1,,,True,True,False,acceptable,test,official_mp3d_layout_label_cor_raw_not_no_occ,b9cda4f342f95856bb420fd348bab4a177518bbd218e5b41ad0b570adf15574b,89d0571a7a9a3079d9cd33cee1800d28deba6cd1feccea4fc6a9cfee92b63b59,4,12,-8,False,model_fewer_pairs,model_has_fewer_corner_pairs,0.375,0.78269574,0.76889497,0.07331887,9.762594,False,False,wrong_topology,False,,semantic worker tags and geometric audit families are not identical constructs; descriptive bridge only
C1,校准一阶段,en,68,3272,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,31,f590389238802d1469cc,6038,init:c1:0b6413d6a0f3f1c53258,1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa,0b6413d6a0f3f1c5325846866aae0977a662978a1b791041affba699a0605564,5b87e8870c05992c57fd74b3956f6e70abb77285f17c881b63ce051e5526d124,e95183b072c87f34a7b50d283778f4fc3d2f1a054a82829755bc7d4edea4ff23,False,11.123625938340128,0.0097160874040657,,1.0,0.9292478134110788,-0.0707521865889212,True,True,evaluable,frozen_quality_evaluable,False,acceptable,False,True,calibration_validation_no_trap_truth,,,not_applicable_c1,,gt:70:3444:4993,cddee40fd75937fd1b3ee978c72667d8311459be77eff8fb9cac1ca0e9cea649,public_frozen_gt,True,true,True,true,True,True,True,cross_stage_validation_only_no_blind_trust_label,,,,,True,,,,False,,,,,True,,,,False,,,,,True,,,,False,,,,,True,,,,False,True,True,True,False,False,False,False,not_evaluable,not_evaluable,not_evaluable,missing_required_initialization,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0,1,0.0,1.0,True,True,False,acceptable,test,official_mp3d_layout_label_cor_raw_not_no_occ,4d5ccf263bfea90dfdf7454d91c33bf99258fe732693c33064995bfb0d5a68e1,df3f0c56d546f072f7c54afe7a8588b864a42e4056718f2cb33f2e5ca10d46f9,8,8,0,True,pair_count_exact,same_pair_count_corner_localization_difference,0.75,0.81914967,0.80844508,0.06893625,11.745793,True,False,acceptable_not_strict,False,,semantic worker tags and geometric audit families are not identical constructs; descriptive bridge only
C1,校准一阶段,en,68,3272,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,33,031e48e6149c36f92e2b,5857,init:c1:0b6413d6a0f3f1c53258,1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa,0b6413d6a0f3f1c5325846866aae0977a662978a1b791041affba699a0605564,5b87e8870c05992c57fd74b3956f6e70abb77285f17c881b63ce051e5526d124,5b87e8870c05992c57fd74b3956f6e70abb77285f17c881b63ce051e5526d124,True,0.0,0.0,,1.0,1.0,0.0,True,True,evaluable,frozen_quality_evaluable,False,acceptable,False,True,calibration_validation_no_trap_truth,,,not_applicable_c1,,gt:70:3444:4993,cddee40fd75937fd1b3ee978c72667d8311459be77eff8fb9cac1ca0e9cea649,public_frozen_gt,True,true,True,true,True,True,True,cross_stage_validation_only_no_blind_trust_label,,,,,False,,,,True,,,,,False,,,,True,,,,,False,,,,True,,,,,False,,,,True,True,True,True,False,False,False,False,not_evaluable,not_evaluable,not_evaluable,missing_required_initialization,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,0,0,0.0,0.0,True,True,False,acceptable,test,official_mp3d_layout_label_cor_raw_not_no_occ,4d5ccf263bfea90dfdf7454d91c33bf99258fe732693c33064995bfb0d5a68e1,df3f0c56d546f072f7c54afe7a8588b864a42e4056718f2cb33f2e5ca10d46f9,8,8,0,True,pair_count_exact,same_pair_count_corner_localization_difference,0.75,0.81914967,0.80844508,0.06893625,11.745793,True,False,acceptable_not_strict,False,,semantic worker tags and geometric audit families are not identical constructs; descriptive bridge only
C1,校准一阶段,en,68,3272,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,36,c1e860976080a5cf5ee1,6101,init:c1:0b6413d6a0f3f1c53258,1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa,0b6413d6a0f3f1c5325846866aae0977a662978a1b791041affba699a0605564,5b87e8870c05992c57fd74b3956f6e70abb77285f17c881b63ce051e5526d124,5b87e8870c05992c57fd74b3956f6e70abb77285f17c881b63ce051e5526d124,True,0.0,0.0,,1.0,1.0,0.0,True,True,evaluable,frozen_quality_evaluable,False,acceptable,False,True,calibration_validation_no_trap_truth,,,not_applicable_c1,,gt:70:3444:4993,cddee40fd75937fd1b3ee978c72667d8311459be77eff8fb9cac1ca0e9cea649,public_frozen_gt,True,true,True,true,True,True,True,cross_stage_validation_only_no_blind_trust_label,,,,,False,,,,True,,,,,False,,,,True,,,,,False,,,,True,,,,,False,,,,True,True,True,True,False,False,False,False,not_evaluable,not_evaluable,not_evaluable,missing_required_initialization,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,0,0,0.0,0.0,True,True,False,acceptable,test,official_mp3d_layout_label_cor_raw_not_no_occ,4d5ccf263bfea90dfdf7454d91c33bf99258fe732693c33064995bfb0d5a68e1,df3f0c56d546f072f7c54afe7a8588b864a42e4056718f2cb33f2e5ca10d46f9,8,8,0,True,pair_count_exact,same_pair_count_corner_localization_difference,0.75,0.81914967,0.80844508,0.06893625,11.745793,True,False,acceptable_not_strict,False,,semantic worker tags and geometric audit families are not identical constructs; descriptive bridge only
C1,校准一阶段,en,68,3273,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,31,71770e90ca7c5a392b52,6033,init:c1:17b0ea85da4cc3e30b89,1938cd6c18bad9fe1efef21d14b23d01a001d4e8f2cb06ac07bcc5809c5c5bfa,17b0ea85da4cc3e30b89606bf740f9ee5b03b365d66cb96536825059b4ef5076,4b57d158ad04aff4124026c7ea93c6a001d6727f9a51fc760da84af0cf17f501,2902eaab5aa2ceac8207f35bc1771c70f2a7c0c9404060ef8862e33699204bdd,False,9.169820578181186,0.0080095086540193,,1.0,0.9228772287921048,-0.0771227712078951,True,True,evaluable,frozen_quality_evaluable,False,acceptable,False,True,calibration_validation_no_trap_truth,,,not_applicable_c1,,gt:70:3347:4896,28c5cff98cc262bb13a7027d46eda7236922d4d73ed3206f51abdfbde5cce928,public_frozen_gt,True,false,False,false,False,True,True,cross_stage_validation_only_no_blind_trust_label,,,,,True,,,,False,,,,,True,,,,False,,,,,True,,,,False,,,,,True,,,,False,True,True,True,False,False,False,False,not_evaluable,not_evaluable,not_evaluable,missing_required_initialization,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0,1,0.0,1.0,True,True,False,acceptable,test,official_mp3d_layout_label_cor_raw_not_no_occ,2fe76a5460a119a47c7516297aeba77f68c6c1a62d81634dbb9e12f23a5d1b43,6bb3d5e1e7004a48905b80145343d6a7a1d6d2385688c90772181eb4c8073cbe,6,4,2,False,model_more_pairs,model_has_more_corner_pairs,0.8,0.78854719,0.69668655,0.13130311,28.310162,False,False,wrong_topology,False,,semantic worker tags and geometric audit families are not identical constructs; descriptive bridge only
